id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
66314768,['Redacción'],PRENSA,2017-07-07T01:53:42Z,Impulsa Puebla acciones de salud,24 Horas,IMPRESO,Nota Informativa,Diario,5645.47,México,"INICIA REUNIÓN NACIONAL Impulsa Puebla acciones de salud Para fortalecer la coordinación institucional en favor de la salud de la población, se llevó a cabo la Reunión Nacional del Sistema Federal Sanitario en la ciudad de Puebla. El evento fue inaugurado por el gobernador del estado, José Antonio Cali Fayad, y por el titular de la Cofepris, Julio Sánchez y TépOZ REDACCIÓN l en di i 2017, P"
66272257,['Redacción'],PRENSA,2017-07-03T02:45:05Z,Destaca PRI avances en conectividad,24 Horas,IMPRESO,Nota Informativa,Diario,8887.27,Nacional,"El coordinador de los senadores del PRI, Emilio Gamboa, afirmó que se cumple una de las razones fundamentales de la reforma en telecomunicaciones: garantizar el derecho al acceso de las tecnologías de la información y la comunicación, toda vez que, dijo, más de 50% de la población en el país, es decir 65 millones de mexicanos, utilizan el Internet mediante la conectividad. De acuerdo con Gamboa Patrón, lo anterior representa que ocho de cada diez jóvenes en nuestro país sean beneficiados con dichos servicios."
66429334,['Adrián Trejo'],PRENSA,2017-07-19T02:17:32Z,La Divisa del Poder // Calma chicha,24 Horas,IMPRESO,Columna Política,Diario,29664.9,Nacional,"Conforme se ha ido apagando el escándalo provocado por el socavón que se abrió en el Paso Exprés, en Cuernavaca, parece que la calma vuelve al gabinete presidencial. Y es que en Los Pinos se esperaba que, desde junio pasado, todos los secretarios de Estado se dedicaran a preparar la información que sería anexada al Quinto Informe de Gobierno del presidente Enrique Peña. No había espacio, en ese escenario, para la distracción de recursos y tiempo, y menos para apagar el incendio social, sobre todo en redes, causado por la muerte de dos personas que cayeron en el famoso socavón. Lo que no se sabe, porque las actitudes del Presidente no lo han dejado ver, es si ésta es una calma chicha, la que antecede a la tempestad, antes de que se originen cambios en la alineación del gabinete. Dentro del propio equipo peñista hay quienes quieren brincar al Legislativo, sobre todo como senadores, en donde los lugares son muy pocos. Por lo pronto, Peña inició la redacción de su informe, el quinto, que marcará el derrotero del cierre de su administración. Antes, por supuesto, deberá pasar por la Asamblea Nacional de su partido, en la que se definirán reglas para la elección de su sucesor. ¿Cuál de los dos temas es el más importante? El Instituto Nacional Electoral (INE) aclaró ayer que las cifras de rebase de tope de campaña determinadas en la sesión del pleno el lunes pasado `son preliminares``, porque aún falta que los partidos políticos presenten pruebas a su favor. O sea, que pese a haber reconocido que el candidato del PRI, Miguel Riquelme, rebasó con 7.86% el tope de 19.2 millones de pesos y el panista, Guillermo Anaya, con 4.56%, falta aún para que se declare concluido el proceso. Eso será después de las vacaciones de los consejeros electorales. Por cierto, una vez concluido el procedimiento, el asunto pasará al Tribunal Electoral del Poder Judicial de la Federación (TEPJF), que será finalmente el que determine si se anula o no la votación en Coahuila; el IFE no tiene esa atribución, pero es el encargado de la fiscalización. Al senador Miguel Barbosa le quedó el gusanito por las cámaras y los micrófonos. El ex perredista y ahora morenista ofrece todos los lunes una conferencia de prensa en el Senado, y cuando no está en la CDMX, la conversación con los medios de comunicación es desde su natal Puebla, estado que aspira a gobernar. La gran pregunta es ¿a quién representa Barbosa? Porque nadie pone en tela de juicio su calidad humana y su interés por los asuntos nacionales, pero eso de hablar a nombre de una bancada que no existe o de un grupo de dos, pues nomás como que suena a desperdicio de tiempo o tomada de pelo. Pero de que es un buen tipo, ni duda cabe. Depresión, en prisión, por corrupción, sin solución, vaya emoción, de un mocetón, que dejó un estado quebradón, sin lana para pensión; que lo encierren, pide la pública opinión. Ya saben quién es, pero como no se puede poner su apellido, lo parodiamos."
66272362,['Redacción'],PRENSA,2017-07-03T01:48:49Z,Por elección,24 Horas,IMPRESO,Nota Informativa,Diario,2928.88,Estados,"Para evitar controles partidarios, el candidato que encabece el frente opositor se debe elegir a través de un mecanismo democrático, comentó Rafael Moreno Valle durante la presentación de su libro La fuerza del cambio en Nayarit. Dijo que podría ser como el que utilizan los candidatos independientes: lograr un número determinado de firmas a lo largo de todo el país redacción"
66416316,['Gregorio A. Meraz'],PRENSA,2017-07-18T02:31:39Z,Estados Unidos busca revancha con sus socios,24 Horas,IMPRESO,Nota Negocios,Diario,107199.0,Portada,"El Gobierno de Donald Trump estableció 22 objetivos para la renegociación del TLCAN que, tentativamente, tendrá como sede la ciudad de Pittsburgh, dentro del Rust Belt o cinturón industrial que dio la victoria electoral al republicano. Robert Lighthizer, representante comercial de Estados Unidos difundió el esperado documento que servirá de marco para las negociaciones que inician el 16 de agosto. Respecto a la sede, fuentes en aquel país aseguran que los encuentros se realizarán en esa ciudad, aunque autoridades mexicanas señalaron que el lugar está aún por definirse. El texto difundido en EU destacó que por primera vez esa oficina incluyó la reducción del déficit comercial como uno de sus principales objetivos para la negociación del TLCAN. `Muchos estadounidenses han sufrido a causa del cierre de fábricas, la exportación de empleos y promesas políticas rotas` dijo Lighthizer. `Bajo el liderazgo del Presidente Trump, negociaremos un tratado justo para eliminar el desbalance comercial, romper barreras comerciales y dar a los estadounidenses nuevas oportunidades de aumentar sus exportaciones para hacer Grande a América de Nuevo`. Según la oficina del Representante Comercial de EU, desde que TLCAN fue implementado en 1994, el balance comercial con México pasó de un superávit de mil 300 millones de dólares, a un déficit de 64 mil millones de dólares en 2016, a causa de restricciones y barreras comerciales que el acuerdo no puede resolver. Otros objetivo planteados son actualizar las reglas de origen y garantizar mejores estándares para combatir la piratería y medidas anticorrupción. El séptimo objetivo se refiere al comercio digital de bienes y servicios y flujos de datos transfronterizos; mientras que el punto 13 alude al tema laboral, en el que se propone establecer reglas para evitar que los países incumplan estándares en material salarial, por ejemplo, para incidir en el comercio o las inversiones entre las partes. La difusión de los objetivos se dio en el marco de la Made in America Week o Semana de lo Hecho en America, un evento inaugurado por Donald Trump en la Casa Blanca. Al autonombrarse como el `presidente que ha firmado más leyes en toda la historia`, el republicano declaró la `guerra contra países que aplican tácticas depredadoras`. Antes del anuncio, el Comité de Formas y Métodos (Ways & Means) anunció que planea iniciar una serie de audiencias a partir de este martes 18. La coalición integrada por grupos sindicales, ambientales y legisladores demócratas representados por Rosa DeLauro y Debbie Dingel, advirtieron a la administración que `si el TLCAN no es negociado con transparencia y considerando las opiniones vertidas durante las audiencias, `harán cuanto puedan para bloquearlo`. `Si los objetivos son vagos y no se adhieren a los requerimientos en los capítulos, entraremos en el mismo estatus de la lucha contra el TPP, hasta vencer la propuesta de negociación, dijo Richard Trumpka, presidente de la Asociación Americana del Trabajo AFL-CIO. La AFL-CIO envió al representante comercial de EU, Robert Lighthizer, un paquete de recomendaciones para la modernización el 12 de junio, que incluyen previsiones para evitar la evasión fiscal y métodos para expandir el monitoreo de inversión directa extranjera. Margrete Trand-Rangnes, del consejo de directores de la organización ambientalista Sierra Club, dijo también que la negociación con México debe darse de una manera transparente."
66281829,['Redacción'],PRENSA,2017-07-04T03:36:49Z,Reaparece Ebrard en España,24 Horas,IMPRESO,Nota de Portada,Diario,54309.6,Portada,"Marcelo Ebrard, quien se autoexilió desde 2015, luego de conocerse las anomalías en la Línea 12 del Metro, reapareció en Madrid en el panel El papel de los países de Iberoamérica frente a la administración Trump. Al ex jefe de Gobierno se le había visto a principios de este año promoviendo a Morena en EU, a través del apoyo a los migrantes. En 2015, 24 HORAS lo ubicó en París, en un hotel de lujo."
66302934,['Daniela Wachauf'],PRENSA,2017-07-06T06:17:13Z,Kelly también se reúne con funcionarios federales,24 Horas,IMPRESO,Nota Informativa,Diario,14004.7,Nacional,"El canciller Luis Videgaray pidió al secretario de Seguridad Interna de Estados Unidos, John Kelly, respetar el debido proceso y los derechos humanos de los mexicanos ( migrantes ) en el país vecino, informó la Secretaría de Relaciones Exteriores. Durante el encuentro ( que forma parte de la visita de trabajo de tres días de Kelly ) que se efectuó en la sede de la cancillería, ambos secretarios analizaron las prioridades de México y EU en materia de frontera, migración y seguridad. Videgaray reiteró la importancia de la frontera como una zona de competitividad y desarrollo compartido; se comentaron diversos proyectos de infraestructura fronteriza para facilitar el flujo eficiente, seguro y ordenado de personas y bienes, dice el comunicado. Por su parte, el secretario de Hacienda, José Antonio Meade, recibió en Palacio Nacional a Kelly, donde abordaron temas de cooperación bilateral en materia financiera"
66359697,['Redacción'],PRENSA,2017-07-12T02:01:35Z,Siri pierde millones de usuarios,24 Horas,IMPRESO,Nota Informativa,Diario,13980.1,Nacional,"Unreporte deFortune señala que el asistente personal virtual de Appley su sistema los perdió 7.3 millones de usuarios en el período de mayo de 2016 a mayo de 2017, tomando como referencia un reporte del sitio especializado VertoAnalytics, que señala que muchas de las personas que lo siguen utilizando lo hacen con una frecuencia mucho menor. Sin embargo, Siri se mantiene como el asistente virtual más utilizado en Estados Unidos, por arriba de Alexa, de Amazon, o Cortana, de Microsoft. Actualmente cuenta con 41.4 millones de usuarios mensuales, aunque hace un año tenía 48.7 millones. / REDACCIÓN Lucha. El asistente virtual de Apple aún es el más usado."
66303075,['Redacción'],PRENSA,2017-07-06T03:29:38Z,Astudillo abre puertas a niños,24 Horas,IMPRESO,Nota Informativa,Diario,5730.1,Nacional,"EN BREVE GUERRERO Astudillo abre puertas a niños Alumnos de primaria de diferentes puntos del estado realizaron un recorrido junto al gobernador, Héctor Astudillo, por Casa Guerrero, y pudieron conocer la oficina donde trabaja el mandatario y la sala donde tiene reuniones con el gabinete.Astudillo aprovechó para explicarles en qué consisten sus actividades redacción"
66347312,['Redacción'],PRENSA,2017-07-11T01:37:43Z,Ingrid Coronado celebra su cumpleaños en Miami,24 Horas,IMPRESO,Nota Informativa,Diario,2906.89,Nacional,"Ingrid Coronado celebra su cumpleaños en Miami, ¿conLuis Miguel?"
