id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
66419718,['Leticia Hernández'],PRENSA,2017-07-18T06:52:21Z,"México, clave para EU en seguridad: expertos",El Financiero,IMPRESO,Nota Informativa,Diario,19458.4,Economía,"En la cuenta regresiva para el inicio formal de la renegociación del TLC AN hay varios temas que pueden ser ásperos al momento de concertar acuerdos, pero la competencia con China en varios frentes y la seguridad nacional, hacen a México un aliado que Estados Unidos debe aprovechar, coincidieron especialistas en un panel organizado por el Instituto Peterson para la Economía Internacional (PIIE). La cercanía geográfica entre Estados Unidos y México obligan a construir una relación muy especial de seguridad, expuso John J. Hamre, Presidente del Centro para Estudios Internacionales y Estratégicos (CSIS) tras ubicar al TLCAN como una prioridad de Seguridad Nacional durante su participación en el panel Una positiva renegociación del TLCAN, transmitido vía web desde Washington. No podemos permitirnos el colapso del TLCAN. Seremos mucho menos seguros si lo hacemos, dijo el especialista tras advertir el imperativo de construir una relación de seguridad con México más que con cualquier otro país. Destacó que la relación entre ambos países ha sido históricamente complicada en el tema de seguridad pero mejoró con el acuerdo comercial facilitando la construcción de relaciones sólidas con los gobiernos de México en los últimos 23 años. Por otro lado, en la necesidad de Estados Unidos para competir con China requiere aliarse con México y tomar ventajas competitivas a nivel regional, apuntó el directivo y recomendó tomar al TPP como guía ya que el extinto acuerdo logró establecer las normas de cooperación que sostendrán las relaciones futuras entre China y Estados Unidos."
66490726,['Redacción'],PRENSA,2017-07-25T04:35:47Z,Murieron 4 mexicanos en el tráiler abandonado,El Financiero,IMPRESO,Nota de Portada,Diario,35498.2,Portada,"Los migrantes que viajaban en el tráiler encontrado en un Walmart de San Antonio, Texas, tomaban turnos para respirar a través de un hueco, detallan los documentos judiciales. Según testimonios de sobrevivientes, la primera hora del trayecto todo era normal, pero luego distintos tripulantes comenzaron a tener problemas para respirar, por lo que buscaron estrategias para contrarrestar la falta de aire, la solución fue respirar por tiempos. Esos datos son parte de los cargos contra James Mathew Bradley, conductor del tráiler encontrado con ocho muertos ( la cifra subió a 10 y más de 20 personas con insolación y deshidratación. Ayer, fiscales federales presentaron cargos contra James Matthew Bradley Jr., de 60 años, por transportar a inmigrantes para obtener ganancias. Sin embargo, el detenido será formalmente acusado por tráfico de personas el 27 de julio, un delito por el que podría alcanzar una sentencia de cadena perpetua. En una audiencia en la Corte Federal en San Antonio, Bradley fue notificado del procedimiento en su contra, luego de que el Servicio de Inmigración y Control de Aduanas confirmó la muerte de 10 personas. En su declaración inicial ante la policía, aseguró que no sabía que había gente en el interior de la caja del tráiler. Dijo a las autoridades que se dio cuenta de la presencia de los inmigrantes al estacionar el camión y bajarse a orinar, porque escuchó gritos y golpes. En su declaración, uno de los inmigrantes señala que en el tráiler estaban al menos 70 personas y, contrario al testimonio del chofer, dijo que las puertas del camión fueron abiertas en el estacionamiento del Walmart y cuando menos seis automóviles recogieron a algunos de ellos. Mientras tanto, el consulado general de México en San Antonio confirmó que 25 de los 39 tripulantes del vehículo son de nacionalidad mexicana, cuatro de las personas que fallecieron y 21 de las que se encuentran en hospitales; sin embargo, aún hay seis personas sin identificar. Redacción ^ LAMENTAMOS LA MUERTE DE MIGRANTES ABANDONADOS. ^ NO PONGAS TU VIDA EN MANOS DE PERSONAS SIN ESCRÚPULOS C0Y0TES «CRIMINALES «TRAFICANTES Embajada de Estados Unidos en México @USEmbassyMEX"
66350650,['Clara Zepeda'],PRENSA,2017-07-11T06:27:47Z,"BMV logra récord, pero el reto será el verano",El Financiero,IMPRESO,Nota Informativa,Diario,53222.6,Mercados,"El Índice de Precios y Cotizaciones (IPC) logró una nueva marca histórica por arriba de los 50 mil puntos, sin embargo, datos estadísticos muestran que julio y agosto podrían poner a prueba la continuidad de este rally. Los últimos dos meses del verano han sido el periodo más endeble en los últimos siete años para la Bolsa Mexicana de Valores (BMV), con rendimientos marginales de 0.6 por ciento en promedio. En el estudio `La BMV en verano`, realizado por la mesa de análisis de Citibanamex Casa de Bolsa, se sostuvo que julio-agosto es el bimestre con menor frecuencia de rendimientos positivos, pues sólo en tres ocasiones en los últimos siete años ha logrado marcar variaciones al alza en ese periodo. `Suponiendo que en estos meses se repita el patrón de relativa debilidad del mercado, los analistas deducen que la posibilidad de que en el actual periodo de julio-agosto la Bolsa Mexicana registre ganancias es de sólo 43 por ciento`, destacó Ricardo López, subdirector de Análisis de la entidad financiera. `Por ello, sería poco probable que la BMV se mantenga al final de este bimestre por encima del nivel psicológico de resistencia en las 50 mil unidades`. (Para ampliar la ilustración haz clic aquí o en la imagen) Señales Mixtas El especialista añadió que hay factores relevantes que hacen dudar que el mercado mexicano registrara? nuevos máximos históricos en las próximas semanas. Algunos de ellos son elevados niveles de valuación, sobrecompra en las métricas y débiles fuerzas al interior del S&P/BMV IPC. Otro de los aspectos que generan duda es que la BMV presento? una de las mejores jornadas de los últimos meses cuando concluyó la primera mitad del año, y es de suponer que dicho desempeño tiene que ver con el cierre de un periodo trimestral y semestral, derivado de algunos rebalanceos en carteras tácticas y la recurrente `foto` de fin de mes. ¿QUIÉNES CATAPULTARON LOS 50 MIL? Los nuevos máximos históricos que alcanzó el Índice de Precios y Cotizaciones (S&P/BMV IPC) cuando rompió el soporte de los 50 mil puntos estuvo impulsado por cuatro emisoras y tres sectores económicos, principalmente. Cemex, Grupo México, América Móvil y Grupo Televisa generaron 778 puntos del rally de poco más de mil 100 unidades que registró el IPC entre el 30 de junio y el 5 de julio. Grupo México y Cemex anunciaron una adquisición y una venta de empresas que operan en Estados Unidos, respectivamente, lo que genero? que ambas compañías registraran ganancias cercanas a 2.5 por ciento en la sesión del pasado lunes, en contraste con un desempeño apático del mercado en general. Ese día las plazas en Nueva York operaron sólo media jornada, previo al feriado del martes, 4 de julio, por el Día de la Independencia de Estados Unidos. Asimismo, los sectores de materiales, telecomunicaciones y consumo frecuente contribuyeron con poco más de mil unidades. En las operaciones del lunes, el principal indicador del mercado mexicano registró una ganancia sólida de 1.11 por ciento, con lo que se ubicó en 50 mil 616.81 unidades. En tanto, el volumen repuntó 85 por ciento respecto al promedio de los últimos 10 días."
66456600,['Enrique Quintana'],PRENSA,2017-07-21T05:48:17Z,Coordenadas // Cuidado con el optimismo exagerado,El Financiero,IMPRESO,Columna Política,Diario,27498.7,Nacional,"En México tenemos la propensión a irnos a los extremos. A veces, unos cuantos signos positivos conducen a hacer fiestas y en otras ocasiones, un par de problemas nos hacen tirarnos al piso. Esta administración ha sido la prueba de ello. Sus primeros 18 meses fueron caracterizados por el triunfalismo. Parecía que con las reformas estructurales que se procesaron en el Congreso, se iban a solucionar los grandes problemas nacionales. Y ¡sorpresa!, nos dimos cuenta que allí seguían. Y, los años que siguieron parecieron dar la imagen de que estábamos en el peor país del mundo, el más corrupto, el más inseguro, el más injusto. Y no sólo los mexicanos nos comportamos así, sino que logramos que nuestros estados de ánimos tan fluctuantes los tengan también los inversionistas foráneos que colocan recursos en papeles mexicanos. Ayer el dólar estuvo en algunos momentos en 17.48 pesos en su cotización interbancaria, cuando en febrero había llegado a 22. Entre mayo de 2016 y febrero de este año, el dólar se encareció en casi 28 por ciento. De entonces a los mínimos a los que llegó el miércoles, cuando se cotizó en 17.45 pesos, la ganancia ya es de 20 por ciento. Ni en el arranque del año había razones objetivas para una depreciación tan importante, ni ahora hay motivos suficientes para pensar que las amenazas que teníamos ya se han conjurado. El secretario de Hacienda, José Antonio Meade, sistemáticamente, ha señalado que aún existen posibilidades de que tengamos episodios de volatilidad. Más allá de la opinión de Meade, diversos análisis, como el de Bank of America que se difundió ayer, han señalado que no hay un cambio en las condiciones objetivas que justifique una apreciación del peso tan fuerte como la que vimos el último mes. El panorama económico y financiero que tenemos frente a nosotros tiene claroscuros. La economía de Estados Unidos crece menos de lo que se esperaba y eso va a afectar a las exportaciones mexicanas. El crecimiento de este año, aun en los escenarios optimistas, estará en un 2 por ciento, por debajo de lo registrado en 2016. Y, el mercado interno, percibido por la gente de manera más directa e inmediata, apunta claramente a la desaceleración. Pero, al mismo tiempo, los efectos de largo plazo de la reforma energética pintan mayores incluso a los de los escenarios optimistas. El potencial que parece detectarse en Yucatán cambia los parámetros del futuro mexicano en materia de hidrocarburos. Igualmente, la perspectiva de las calificadoras parece apuntar a una perspectiva fiscal mucho más favorable que la prevista hace un año. Y, quizás lo más importante, es que factores como la negociación bilateral con Estados Unidos y el proceso electoral mexicano, probablemente produzcan fases de incertidumbre que eventualmente pueden expresarse en alzas en la cotización del dólar. La economía mexicana y sus finanzas públicas siguen con vulnerabilidades. Algunas de ellas derivan del hecho de que Trump sea presidente de Estados Unidos. Ese hecho no ha cambiado. Y otras derivan de problemas estructurales que no se han resuelto. Hay que estar conscientes de ello, antes de pensar que ya sorteamos todos los riesgos e incertidumbres."
66531659,['Ángel Alcántara'],PRENSA,2017-07-28T06:40:04Z,Ingreso Operativo Neto de Fibra Danhos se incrementa 48%,El Financiero,IMPRESO,Nota Informativa,Diario,9187.25,Empresas,"2T16 ZT17 Var.% INGRESOS 673.8 974.1 44.6% N0I 513.7 760.1 48.0% UTILIDAD NETA 2,823.9 648.2 -77.0% MILLONES DE PESOS FUENTE: FIBRA DANHOS Fibra Danhos elevó 48 por ciento su Ingreso Operativo Neto ( N0I ] del segundo trimestre del 2017, con respecto al mismo periodo del año anterior, impulsado por el alza de 23 por ciento en el número de visitantes a sus centros comerciales. En el lapso de abril a junio de 2017 su N0I alcanzó los 760.1 millones de pesos, frente a los 513.7millones registrados en el mismo periodo de 2016; en tanto sus ingresos fueron 974 millones, lo que significó un alza de 44.6 por ciento frente segundo trimestre del 2016. La ocupación de las mismas propiedades registró un nivel estable de 98.4 por ciento, dijo Salvador Daniel Kabbaz, director general de Fibra Danhos. Ángel Alcántara"
66457691,['Daniel Krauze'],PRENSA,2017-07-21T06:43:27Z,Rostros // ¿Por qué los videojuegos son adaptaciones complicadas?,El Financiero,IMPRESO,Recorte de Columnas,Diario,28930.1,Culturas,"CASTLEVANIA ¿PORQUÉ LOS VIDEOJUEGOS SON ADAPTACIONES COMPLICADAS? > DANIEL KRAUZE Desde la reciente Assassins Creed, protagonizada por Michael Fassbender, hasta las atroces adaptaciones de Street Fighter y Mortal Kombat a mediados de los 90, el cine ha intentado traducir diversos videojuegos sin éxito. Parece inverosímil que atracciones como los Piratas del Caribe de Disneylandia se presten para mejores y más lucrativas películas que universos virtuales con la hondura de Warcraft, pero así es. ¿Por qué los videojuegos son adaptaciones tan complicadas? Tal vez la clave esté en los defectos de Castlevania, escrita por WarrenEllis, basada en la serie producida por Konami y disponible en Netflix desde hace algunos días. Desde su primer cartucho para el Nintendo Entertainment System, Castlevania fue concebido como un pastiche del género de horror, desde el cine schlock hasta los personajes insignes de los estudios Universal y Hammer. Dentro de sus niveles aparecían el monstruo de Frankenstein, la criatura de la lagu na negra, la momia y Drácula, entre muchos otros. Siguiendo la costumbre de Konami de no revelar los nombres de sus diseñadores, los créditos colocaban como protagonistas a Lon Chaney, Bela Lugosi, Christopher Lee y hasta Terence Fisher. Castlevania, pues, se antojaba como una adaptación perfecta para una serie animada. No sólo tenía una deuda con el cine: a lo largo de 30 años había acumulado una narrativa llena de giros de tuerca, con un amplio elenco de héroes y villanos. Aunque la serie de Netflix asombra visualmente, y si bien incluye una variedad de guiños que le darán gusto a cualquier fan de los juegos, Castlevania cojea de la misma pata que otras adaptaciones fallidas. El problema central está en los personajes. Al adaptar un videojuego de los 80 el escritor en turno debe rellenar y perfilar lo que en Nintendo eran pixeles casi carentes de rasgos. El protagonista de Castlevania, la serie de televisión, es el mismo que en el videojuego, pero sólo nominalmente: uno es un personaje y el otro apenas un cascarón. Al trasladarlo de medio y darle características, Ellis opta por una suma de clichés más que por la curaduría de una personalidad, detalles físicos y motivaciones singulares. Lo contrario -la especificidad en la caracterización- explica el duradero éxito d ePirates ofthe Caribbean. Muchas otras películas ostentan efectos digitales y costosos espectáculos, pero no todas tienen a Jack Sparrow. Qué peculiar era, con esa pinta andrógina y el acento de Keith Richards tras empinarse una botella de whisky; un sinvergüenza ayudando a los buenos por error. Tantas secuelas han diluido su encanto y, sin embargo, el éxito de la saga es mayormente suyo. Quien quiera adaptar un videojuego a la pantalla grande ( o chica ) hará bien en seguir su ejemplo. Sin personajes concretos no es posible una buena adaptación, así esté basada en un casete de Nintendo o una montaña rusa."
66419735,['Sergio Meana'],PRENSA,2017-07-18T06:05:51Z,Compiten 3 empresas privadas con CFE,El Financiero,IMPRESO,Nota Informativa,Diario,9964.83,Economía,"Rumbo a subasta eléctrica Compiten 3 empresas privadas con CFE Tres empresas son las únicas privadas apuntadas para comprar energía en la Tercera Subasta eléctrica, cuyo fallo estará listo a más tardar el 22 de noviembre, según un nuevo documento del proceso. A diferencia de otras subastas, como las de la Comisión Nacional de Hidrocarburos ( CNH en esta que organiza el Centro Nacional de Control de Energía ( Cenace ) los nombres de las participantes no son públicos. En cuanto al número de empresas, los analistas comprobaron sus predicciones de que el número bajaría, puesto que el mercado en México es incipiente y las empresas de la subasta deben comprometer contratos a 15 años. Veremos cuál estará dispuesla a presentar oferta de compra y en qué cantidades, dijo Marco Salatiello, consultor principal de Fresh Energy. Sergio Meana"
66305607,['Redacción'],PRENSA,2017-07-06T07:17:46Z,Diego Maradona,El Financiero,IMPRESO,Nota Informativa,Diario,5163.73,Deportes,"O Diego Maradona. El ex futbolista fue reconocido como Ciudadano Ilustre de Nápoles. Me sentí napolitano desde el primer día, expresó el argentino, quien ganó con el equipo italiano los únicos dos scudettos de su historia ( 1986-87y1989-90 El alcalde Luigi De Magistris mencionó que unió a los ciudadanos durante su estancia en el club."
66457052,['Esteban Rojas'],PRENSA,2017-07-21T06:04:59Z,Reportes desafiarán a récords de Wall Street,El Financiero,IMPRESO,Nota Informativa,Diario,51315.6,Empresas,"Reportes desafiarán a § récords de Wall Street Si las ganancias trimestrales son débiles, las bolsas podrían caer, según analistas ESTEBAN ROJAS mercados @elfinanciero.com.mx Las expectativas sobre los reportes trimestrales de las empresas han sido uno de los motores para que las bolsas de Wall Street hayan alcanzado máximoshistóricos. Loque está por verse es si los fundamentales de las empresas justifican las elevadas valuaciones actuales, bajo un contexto de datos económicos mixtos, un tibio crecimiento en la inflación, un compás de espera por parte de la Fed y el bloqueo a las iniciativas de Donald Trump. El consenso de analistas estima que las ganancias al interior del S & P 500 habrían aumentado a una tasa anual de 8.7 por ciento en el segundo trimestre, mientras que los ingresos habrían subido 4.7 por ciento. Hasta ahora, los pronósticos incluso han sido superados. En conjunto, las 75 empresas del índice bursátil que han reportado muestran aumentos en utilidades y ventas de 9.07 y 4.99 por ciento, respectivamente. A pesar de estos resultados, hay indicadores que muestran una mayor cautela por parte de los inversionistas. Según una encuesta de Bank of America Merrill Lynch entre administradores de fondos, el 80 por ciento considera que las acciones en Estados Unidos están sobrevaluadas, en tanto que un 20 por ciento neto ha emitido una recomendación de venta. Este último es el nivel más alto desde junio de 2008, es decir, los mercados no habían tenido una visión tan bajista desde entonces sobre las acciones estadounidenses. Es razonable pensar que la debilidad en el ciclo económico pueda transmitirse a los reportes, dijo a Bloomberg Stephen Wood, estratega en Russell Investments en Nueva York. Los fundamentales van a ser puestos a prueba para validar las valuaciones actuales. VALUACIÓN, EL ELEMENTO A SEGUIR Un mejor desempeño en ventas y utilidades permitiría una disminución en las valuaciones clave, que son la relación entre el precio y utilidades ( P/U ) y la correspondiente con la generación de efectivo ( P/EBITDA ). Al cierre de la jornada de ayer, la comparación del precio respecto a las utilidades de los últimos doce meses ( P/U ) ascendió a 21.79 veces en el S & P 500, una cifra superior a las 17.27 veces promedio en los últimos 10 años. Para el cierre del presente año se proyecta que esta relación se ubique en 18.96 veces y será hasta 2018 cuando regrese a su promedio de largo plazo. En tanto, el indicador del P/ EBITDA presenta un mejor desempeño al ubicarse en 6.63 veces, por debajo de su promedio de los últimos 10 años de 8.18 veces. BMV, TAMBIÉN A PRUEBA En México han reportado hasta ahora seis empresas de las 35 que componen al índice de Precios y Cotizaciones de la Bolsa Mexicana de Valores. Sus resultados al segundo trimestre muestran avances agregados de 10.93 y 52.53 por ciento a tasa anual en sus ingresos y utilidades, respectivamente. Mientras tanto, la relación P/U al cierre de ayer se ubicó en 21.58 veces, semejante a su promedio de 21.45 reportado en los últimos 10 años. De acuerdo con un sondeo levantado por Bloomberg, para el cierre del presente año y el 2018 esta valuación podría bajar a 18.80 y 16.89, en cada caso. Es razonable pensar que la debilidad en el ciclo económico pueda transmitirse a los reportes trimestrales STEPHEN WOOD ESTRATEGA EN RUSSELL INVESTMENTS 21.08 Veces es el ratio precio/utilidad del S & P 500, una cifra superior al promedio de 10 años, de 17.3. 9.1% Es el incremento anual en las utilidades de las 75 empresas del S & P 500 que han reportado hasta ahora. TEMPORADA DE BENEFICIOS El segundo trimestre de este año sería el cuarto consecutivo con resultados positivos, sin embargo, la mayoría de los inversionistas piensan que las acciones están sobrevaluadas. Pronósticos de reportes trimestrales* Ratio precio/utilidad S & P 500 Var anual estimada en el S & P 500 VENTAS UTILIDADES Número de veces 14.00 12.99 10.20 i 12.71 5.65 5.77 4.73 7.47 4.99 9.07 2T 2017 3T 4T 1T 2017 2T Consenso de analistas encuestados por Bloomberg Pronósticos de reportes trimestrales* Ratio precio/utilidad S & P 500 Var anual estimada en el S & P 500 VENTAS UTILIDADES Número de veces 22.00 16.57 15.00 26JUL 2013 2014 10 OCT 2016 5 FEB FUENTE: BLOOMBERG 2017 20JUL 21.80 17Í32 Pronósticos de reportes trimestrales* Ratio precio/utilidad S & P 500 Var anual estimada en el S & P 500 VENTAS UTILIDADES Número de veces"
66407888,['Everardo Martínez'],PRENSA,2017-07-17T06:31:28Z,Epccor se inició como contratista en la Conagua Korenfeld,El Financiero,IMPRESO,Nota Informativa,Diario,21986.6,Nacional,"_ t 11.1. t i i i negocio Industrial. Epccor, constructora del libramien- Desde entonces ha participado to de Cuernavaca Paso Exprés, en licitaciones públicas de la SCT, TELEvísrTELETÓN recibió sus primeras contratado- del IMSS, del gobierno de Aguas- Clientes Gobiernos estatales nes durante la presente adminis- calientes, entre otros. municipales y gobierno federal. tración en la Comisión Nacional Cabe señalar que en el listado de j i a rr u 4. j i CRITs, Hotel Presidente en del Agua ( Conagua ) que encabe- contratos del sistema Compranet i ma en Puerto zaba David Korenfeld sólo reporta a la pri- a destacar Vallaría, Aeropuerto GDL y zaba David Korenfeld sólo reporta a la pri- a destacar Vallaría, Aeropuerto GDL y Federman. De acuerdo constructora mera empresa, por lo Tijuana. con los contratos que que, en casos de conEpccor asegura en su fuente: epccor aparecen en Compranet: sorcios, como el Paso desde 2007 a la fecha, l Express donde partí- tiérrez Cortinay éste tiene a Gutsa la firma se adjudicó 12 empresa mexicana cipó con Aldesa, su Infraestructura, la cual fue inhabiproyectos por un monto d® 70 d® registro no aparece. litada por anomalías en la Estela de mil 335 millones de experiencia en el país También se hizo de Luz en la CDMX, se ha señalado pesos, sin incluir el IVA. cargo del puente Ati- su capacidad en las licitaciones, in La primera asignación fue por rantado de Chiapas de 700 metros cluyendo el Paso Express, parte de la Conagua en 2013, cuan- de largo. Una licitación pública con En el portal de Epccor informa do entonces era dirigida por David un valor de 422 millones de pesos que participó en la construcción de Korenfeld Federman, para cons- que terminó en 610 millones de laSalaNezahualyotl, corporativos truir el edificio del organismo de pesos, contratado por la SCT. de Televisa e IBM; aeropuertos de Cuenca del Río Bravo por 83 mi- Debido a que Epccor es propie- GAP y obras de Pemex, entre otras, llones de pesos. dad de los hijos de Juan Diego Gu- EverardoMartínez _ t 11.1. t i i i negocio Industrial. Epccor, constructora del libramien- Desde entonces ha participado to de Cuernavaca Paso Exprés, en licitaciones públicas de la SCT, TELEvísrTELETÓN recibió sus primeras contratado- del IMSS, del gobierno de Aguas- Clientes Gobiernos estatales nes durante la presente adminis- calientes, entre otros. municipales y gobierno federal. tración en la Comisión Nacional Cabe señalar que en el listado de j i a rr u 4. j i CRITs, Hotel Presidente en del Agua ( Conagua ) que encabe- contratos del sistema Compranet i ma en Puerto zaba David Korenfeld sólo reporta a la pri- a destacar Vallaría, Aeropuerto GDL y zaba David Korenfeld sólo reporta a la pri- a destacar Vallaría, Aeropuerto GDL y Federman. De acuerdo constructora mera empresa, por lo Tijuana. con los contratos que que, en casos de conEpccor asegura en su fuente: epccor aparecen en Compranet: sorcios, como el Paso desde 2007 a la fecha, l Express donde partí- tiérrez Cortinay éste tiene a Gutsa la firma se adjudicó 12 empresa mexicana cipó con Aldesa, su Infraestructura, la cual fue inhabiproyectos por un monto d® 70 d® registro no aparece. litada por anomalías en la Estela de mil 335 millones de experiencia en el país También se hizo de Luz en la CDMX, se ha señalado pesos, sin incluir el IVA. cargo del puente Ati- su capacidad en las licitaciones, in La primera asignación fue por rantado de Chiapas de 700 metros cluyendo el Paso Express, parte de la Conagua en 2013, cuan- de largo. Una licitación pública con En el portal de Epccor informa do entonces era dirigida por David un valor de 422 millones de pesos que participó en la construcción de Korenfeld Federman, para cons- que terminó en 610 millones de laSalaNezahualyotl, corporativos truir el edificio del organismo de pesos, contratado por la SCT. de Televisa e IBM; aeropuertos de Cuenca del Río Bravo por 83 mi- Debido a que Epccor es propie- GAP y obras de Pemex, entre otras, llones de pesos. dad de los hijos de Juan Diego Gu- EverardoMartínez aparecen en Compranet: sorcios, como el Paso desde 2007 a la fecha, l Express donde partí- tiérrez Cortinay éste tiene a Gutsa la firma se adjudicó 12 empresa mexicana cipó con Aldesa, su Infraestructura, la cual fue inhabiproyectos por un monto d® 70 d® registro no aparece. litada por anomalías en la Estela de mil 335 millones de experiencia en el país También se hizo de Luz en la CDMX, se ha señalado pesos, sin incluir el IVA. cargo del puente Ati- su capacidad en las licitaciones, inLa primera asignación fue por rantado de Chiapas de 700 metros cluyendo el Paso Express, parte de la Conagua en 2013, cuan- de largo. Una licitación pública con En el portal de Epccor informa do entonces era dirigida por David un valor de 422 millones de pesos que participó en la construcción de Korenfeld Federman, para cons- que terminó en 610 millones de laSalaNezahualyotl, corporativos truir el edificio del organismo de pesos, contratado por la SCT. de Televisa e IBM; aeropuertos de Cuenca del Río Bravo por 83 mi- Debido a que Epccor es propie- GAP y obras de Pemex, entre otras, llones de pesos. dad de los hijos de Juan Diego Gu- EverardoMartínez zaba David Korenfeld sólo reporta a la pri- a destacar Vallaría, Aeropuerto GDL y Federman. De acuerdo constructora mera empresa, por lo Tijuana. con los contratos que que, en casos de conEpccor asegura en su fuente: epccor aparecen en Compranet: sorcios, como el Paso desde 2007 a la fecha, l Express donde partí- tiérrez Cortinay éste tiene a Gutsa la firma se adjudicó 12 empresa mexicana cipó con Aldesa, su Infraestructura, la cual fue inhabiproyectos por un monto d® 70 d® registro no aparece. litada por anomalías en la Estela de mil 335 millones de experiencia en el país También se hizo de Luz en la CDMX, se ha señalado pesos, sin incluir el IVA. cargo del puente Ati- su capacidad en las licitaciones, in Epccor se inició como M. La empresa de ingeniería y construcción contratista en la t -m- ir á* 1 1 Proyectos 500 de infraestructura Gonagllcl CIC IvOrCniClCi Dueño Juan Diego cutiérrez Cortina Líneas de Edificación, Transporte, Agua, _ t 11.1. t i i i negocio Industrial. Epccor, constructora del libramien- Desde entonces ha participado to de Cuernavaca Paso Exprés, en licitaciones públicas de la SCT, TELEvísrTELETÓN recibió sus primeras contratado- del IMSS, del gobierno de Aguas- Clientes Gobiernos estatales nes durante la presente adminis- calientes, entre otros. municipales y gobierno federal. tración en la Comisión Nacional Cabe señalar que en el listado de j i a rr u 4. j i CRITs, Hotel Presidente en del Agua ( Conagua ) que encabe- contratos del sistema Compranet i ma en Puerto zaba David Korenfeld sólo reporta a la pri- a destacar Vallaría, Aeropuerto GDL y Federman. De acuerdo constructora mera empresa, por lo Tijuana. con los contratos que que, en casos de conEpccor asegura en su fuente: epccor aparecen en Compranet: sorcios, como el Paso"
