id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68457633,['Margarita Rodríguez'],PRENSA,2018-01-04T04:38:44Z,Pide STPS verificar juguetes,El Sol de México,IMPRESO,Nota Informativa,Diario,3243.97,Nacional,"POR MARGARITA RODRÍGUEZ Para evitar accidentes y garantizar la salud de los niños durante el Día de Reyes, se recomienda a los padres de familia adquirir juguetes adecuados a la edad de los pequeños, que sean didácticos y que no estén fabricados con sustancias tóxicas. La coordinadora de investigación del Servicio de Pediatría del Hospital General de México Dr. Eduardo Liceaga, Carmen Espinosa Sotero, destacó que antes de comprar un juguete se deben leer las especificaciones para elegir el artículo más adecuado para los menores de edad. Los padres de familia deben poner mucha atención en el etiquetado de los juguetes, ya que muchos de ellos pueden estar compuestos de piezas muy pequeñas, que si se introducen en la boca y se tragan de manera accidental pueden provocar asfixia explicó. Aunque señaló que la Comisión Federal para la Protección contra Riesgos Sanitarios ( Cofepris ) tiene un control estricto en este tipo de artículos, se debe leer conocer esa información sobre todo si se compra en el mercado informal."
68440909,['Rafael Sosa'],PRENSA,2018-01-03T03:43:45Z,Récord de paseantes en Miramar,El Sol de México,IMPRESO,Nota Informativa,Diario,1.0,República,"Récord de paseantes en Miramar POR RAFAEL SOSA EL SOL DETAMPICO CD. MADERO, Tamps. ( OEMInformex El año que concluyó fue uno de los mejores en turismo para Ciudad Madero, al sumar poco más de 2.8 millones de paseantes en los diferentes destinos de este municipio del sur de Tamaulipas. La secretaria de turismo, Malú Aranda Jiménez, indicó que hemos mantenido un censo detallado de afluencia en el que se ha establecido que sobrepasamos los 2.8 millones de paseantes, entre playa Miramar y el Parque Bicentenario, lo que es récord! La contabilidad comenzó desde febrero del 2017 con el regreso del Carnaval Miramar a la zona costera, con más de 90 mil asistentes, seguido de Semana Santa, verano, los puentes vacacionales y las fiestas decembrinas. Realmente la afluencia ha sido permanente en la zona de playa y escolleras, pese a los eventos de norte, lo que representa una excelente noticia para la temporada invernal expuso la funcionaría maderense. Recordó que se trabaja para el regreso del turismo invernal y a partir de enero se realizarán las promociones de Miramar en diversos sitios de Texas a fin de por der contar por lo menos con un charter para el carnaval Miramar 2018 el 15 al 19 de febrero."
68440889,['Filiberto Ramos'],PRENSA,2018-01-03T03:41:37Z,Amagan cerrar la caseta México - Toluca,El Sol de México,IMPRESO,Nota en Portada Sección,Diario,4352.14,República,"AMAGAN CERRAR LA CASETA MÉXICO-TOLUCA POR FILIBERTO RAMOS EL SOL DE TOLUCA OCOYOACAC, Méx. ( OEM-lnformex La asociación Mexicanos al Grito de Guerra y el Frente Revolucionario de Liberación Nacional amagaron con bloquear el acceso a todas casetas qúejl conducen a la Ciudad de México, incluida las de la México-Toluca, en protesta por los incrementos en los costos de combustibles, sin embargo el flujo vehicular permaneció sin afectaciones. La convocatoria fue lanzada en redes sociales y en grupos Tráfico Carretera México-Toluca, donde se hizo la invitación a unirse y evitar el ingreso de vehículos a la metrópoli en protesta a los constantes incrementos en el costo del combustible. También, en municipios conurbados vecinos y comerciantes se prepararon por temor a saqueos como en el 2017, que finalmente no sucedió."
68441400,['Gerardo Campos'],PRENSA,2018-01-03T04:15:41Z,Darán seguro contra inundaciones y sismos,El Sol de México,IMPRESO,Nota Informativa,Diario,2558.62,Ciudad,"NEZAHUALCÓ YOTL DARAN SEGURO CONTRA INUNDACIONES Y SISMOS Para dar protección a los ciudadanos en caso de desastres como los pasados sismos e inundaciones y ante la falta de apoyo de los gobiernos estatal y federal para resarcir los daños; Nezahualcóyotl otorgará a los contribuyentes cumplidos un seguro de protección total, con el cual su casa estará asegurada, además de un apoyo en gastos funerarios, beneficios que serán válidos hasta el 31 de diciembre de 2018. Gerardo Campos"
68440993,['Redacción'],PRENSA,2018-01-03T03:51:45Z,Chertorivski dice que puede ganar,El Sol de México,IMPRESO,Nota Informativa,Diario,4549.84,Ciudad,"f El precandidato al gobierno capitalino de la coalición Por la Ciudad de México al Frente, Salomón Chertorivski, aseguró que quien puede gobernar la ciudad es él, por su experiencia de 19 años"
68427968,['Notimex'],PRENSA,2018-01-02T04:44:59Z,Les solicitan constancia en lugar del holograma,El Sol de México,IMPRESO,Nota Informativa,Diario,9745.69,Ciudad,"OMAR FLORES NOTIMEX Los vehículos nuevos o usados registrados por primera vez en la Ciudad de México que no cuenten con holograma de verificación deben obtener su Constancia Provisional de Verificación Vehicular, para que el conductor conozca qué días no debe transitar. Esto porque durante los siguientes seis meses no habrá verificentros debido a que en ellos se instalan equipos de última generación. La constancia se podrá obtener a partir de mañana para lo que es necesario registrarse en el portal http verificentros.sedema.cdmx.gob.mx. La constancia, que sustituye de manera provisional al holograma, también la deberán tramitar los dueños de transporte público o taxis que sustituyan la unidad, los ya registrados pero no verificados en el segundo semestre 2017, quienes deberán pagar su multa por verificación extemporánea. Asimismo, los automóviles que no hayan sido verificados debido a robo de la unidad, siniestro, reparación mayor o alguna otra problemática no imputable al usuario y los foráneos de entidades que no cuentan con verificación vehicular obligatoria, informó la Secretaría de Medio Ambiente de la Ciudad de México ( Sedema ). Para los casos no contemplados, los particulares podrán acudir al Área de Atención Ciudadana de la Dirección General de Gestión de la Calidad del Aire, ubicado en Tlaxcoaque número 8, delegación Cuauhtémoc. HASTA DENTRO de seis meses funcionarán los 55 verificentros autorizados Conozca los requisitos:"
68456754,['Manuel Cosme'],PRENSA,2018-01-04T03:41:14Z,.,El Sol de México,IMPRESO,Nota Informativa,Diario,28206.8,Ciudad,.
68427643,['Francisco Montaño'],PRENSA,2018-01-02T04:24:20Z,Reconquista,El Sol de México,IMPRESO,Nota de Portada,Diario,71287.2,Portada,"#Luis Miguel intentará recuperar sj despuésd crisis profe: y personal de dos año LUIS ñ/ilGUEl POR FRANCISCO MONTAÑO uchos lo daban por muerto artísticamente, sus problemas con la justicia en Estados Unidos y su enfermedad vocal, lo obligaron a cancelar los conciertos de su gira Deja Vu en el Auditorio Nacional en el 2015 y prácticamente lo hundieron, pero Luis Miguel parece levantar el vuelo y tras grabar un disco con mariachi sus seguidoras se han reconciliado con él y como muestra está la respuesta favorable a los 13 conciertos que inicialmente conforman el tour México por siempre y las ventas de su i^yevo disco. El Sol, como se le conoce, caminó por un empedrado 2017, en el cual sus problemas de demandas, su contrato con Netflix para producir la serie sobre su vida y sus cirugías y cambios de imagen no le dieron mucho descanso al cantante, quien optó por regresar a México y refugiarse en un rancho en San Miguel de Allende, propiedad de uno de sus amigos. LA DECEPCIÓN El cantante de 47 años de edad ha vendido más de 100 millones de discos en su carrera y se ha hecho acreedor a reconocimientos como cinco premios Grammy y cuatro Grammy Latino. Desde 2008, con Cómplices, no presentaba un material de estudio, pero una de las crisis más terribles de su carrera se dio cuando falló catastróficamente a sus fans en los conciertos del 2015 al cobrar carísimas las entradas, empezar tarde sus recitales y cancelarlos con menos de 30 minutos de duración. Esa actitud hizo enojar a su público que a final de cuentas, ya lo perdonó. TRES DEMANDAS Posteriormente, en mayo de 2017, estuvo huyendo de las autoridades de Los Angeles, California, quienes lo habían citado para que hiciera frente a la demanda laboral que interpuso contra él su ex representante William Brockhaus, quien pedía más de un millón de dólares de compensación, Luismi no hizo caso a los citatorios y una juez ordenó su arresto para que enfrentara las acusaciones en su contra, a final de cuentas llegó a un arreglo y pagó lo que debía. Su vida volvió a ser centro de atención cuando se hizo pública la demanda de Alejandro Fernández en su contra por incumplimiento de contrato, pues recibió un anticipo de cinco millones de dólares para realizar una gira en conjunto con El Potrillo que nunca se realizó, la oficina del cantante jalisciense demandó el regreso del efectivo y una multa por daños. Por si fuera poco, Aracely Arámbula también presentó una demanda por manutención, ya que la misma actriz declaró que el cantante desde hace varios años no se hace cargo de los pequeños y mucho menos, ha pasado tiempo de convivencia con ellos. A la par de estos problemas, también por falta de pago, perdió su lujoso yate en junio de este año, la embarcación llamada Único y con valor de 16 millones de dólares fue confiscada por las autoridades por el adeudo al gobierno estadounidense de 120 mil dólares. El yate adquirido por Luis Miguel en el 2007 con un costo de 16 millones de dólares, aunque actualmente sólo está valuado en tres, fije el escenario de las excéntricas fiestas del cantante y transporte de sus viaes del Puerto de Acapulco a Miami, ahí la historia cuenta con invitados como Chayanne, Aracely Arámbula, madre de dos de sus hijos y su primogénita, Michelle Salas, además de otras personalidades y famosas modelos y novias del intérprete. SOLO DESDE PEQUEÑO Luis Miguel Gallego Basteri, nombre real del cantante estuvo bajo la lupa desde su aparición en 1982, cuando debutó a sus doce años de edad en Siempre en Domingo, desde ese día logró conectar con el público con su canción 1+1= 2 enamorados y se convirtió en uno de los cantantes mexicanos y más exitosos de México, su fama traspasó fronteras al cantar con una de las grandes estrellas estadounidenses, Frank Sinatra, conocido como La Voz. Pero su vida ha estado marcada con el escándalo desde que era pequeño, varios pasajes de su vida son una incógnita para el público y las historias siniestras alrededor de su familia marcaron su personalidad y carrera, pues el matrimonio de la modelo italiana Marcela Basteri y el cantante español LuiGallego Sánchez, sus padres, originó su carácter cerrado, pues el divorcio y posteriormente la misteriosa desaparición de su madre permanece oculta. Dos libros no autorizados sobre su vida Luis mi Rey y El gran solitario, citan la relación conflictiva del cantante con su padre hasta su muerte, en ellos se afirma que Luis Miguel de niño era llevado por su progenitor y también representante a fiestas que duraban hasta tres días. Ahora, un nuevo rumor sobre su salud ha llenado los programas de espectáculos de América Latina, pues se dice que no puede cantar porque padece una enfermedad que lo está debilitando auditivamente y aunque lleva más de dos años en tratamiento, no ha podido superar el problema, razón por la que la empresa involucrada en sus próximos conciertos del 2018 le exige un certificado médico que avale que está en condiciones de cumplir con sus compromisos y evitar que una vez más, el público salga defraudado. Lo cierto es que Luis Miguel apuesta por recuperar su lugar en 2018, como prueba la fotografía que se filtró el fin de semana en la que se le ve con el cantante Marc Anthony y el productor Sergio George, sus planes son en grande. K Un nuevo disco, la serie que contará su vida y la temporada de conciertos en la CdMx, Guadalajara y Monterrey son el inicio de su estrategia 13 Conciertos programados de la gira México por siempre 10 temas del nuevo disco en el top 50 de cuentas de streaming En 7 países latinos el nuevo álbum es número uno en ventas TRAS SOBREVIVIR un 2017 lleno de demandas y pérdidas materiales, El Sol está de vuelta"
68428464,['Eduardo Andrade'],PRENSA,2018-01-02T05:52:00Z,La sociedad civil organizada ( II ),El Sol de México,IMPRESO,Artículo,Diario,11101.6,Nacional,"Los principales rubros en los que actúan sus organizaciones son: 1.- Impulsar políticas públicas o legislación, tal es el caso de organizaciones que se oponen al aborto o el del IMCO que impulsó la llamada iniciativa Tres de Tres. 2.-Oponerse a políticas públicas o legislación, como el reciente activismo en contra de la Ley de Seguridad Interior. 3.- Servir de contrapeso a políticas estatales en determinadas áreas sensibles como la defensa de los derechos humanos o el combate a la corrupción y a la impunidad, como el Centro de Derechos Humanos Miguel Agustín Pro, México Unido Contra la Delincuencia, Mexicanos contra la Corrupción, etc. 4. -Evaluar las acciones que realiza el Estado en determinados ámbitos y eventualmente proponer procedimientos correctivos a la manera de México Evalúa o Mexicanos Primero. 5.- Ocupar cargos o funciones públicas o semipúblicas. Raramente se plantea esta opción de modo directo pero en la práctica las organizaciones intentan colocar a sus miembros o dirigentes en el seno de Consejos o Comités de organismos públicos, ya sea con funciones temporales o permanentes. Así ocurre con el grupo de ciudadanos que participa en la presentación de propuestas para consejeros del INE —que es temporal— y con el que encabeza el Sistema Anticorrupción, que tiene carácter permanente. En la Ciudad de México, su flamante Constitución incluye varios consejos ciudadanos en funciones de particular importancia como el Consejo Judicial Ciudadano. La incorporación a puestos que desempeñan funciones directamente vinculadas a la designación de miembros de cuerpos gubernativos o a la vigilancia de los mismos, acercan a las organizaciones que venimos analizando a la tarea de los partidos en cuanto a la propuesta de personas para ocupar cargos públicos. Al efectuar este análisis salta a la vista una notoria diferencia entre las organizaciones sociales. Si lo vemos desde la perspectiva tradicional de la división dicotómica entre sectores, podríamos decir que la sociedad civil resultaría equiparable al llamado `sector privado` para distinguirlo del público, pero esta diferenciación parece más aplicable a la utilización de un criterio económico. Volvemos pues a la idea de que hay una distinción entre `sector privado` y `sociedad civil`; diríamos que aquel se compone por las agrupaciones de producción y servicios y esta por las que no tienen fines lucrativos. Pero dentro de las que pertenecen a la última categoría citada podemos también diferenciar entre aquellas que, o bien colaboran con finalidades estatales, o bien operan al margen de las mismas sin cuestionarlas o enfrentarlas. Así, por ejemplo, la Cruz Roja, el Comité Olímpico Mexicano, la Federación de Futbol, la Academia de la Lengua, los Centros de Integración Juvenil u organizaciones caritativas como Un Kilo de Ayuda o Solo por Ayudar, son organizaciones sociales a las que no se suele etiquetar como de la sociedad civil organizada porque tal connotación suele reservarse para las que manifiestan un activismo en el campo político. Podría decirse que constituyen la organización social para la política, al margen de los partidos. Ello llevaría a intentar una distinción teórica entre Organizaciones No Gubernamentales (ONG`s) `no politizadas` como las mencionadas en el párrafo inmediato anterior y las `politizadas` que no actúan operativamente en funciones de servicio social u organizando tareas colectivas sustantivas, sino que se dedican a la actividad política bajo el rubro general de `sociedad civil organizado.`"
68428494,['Daniel Ávila Ruiz'],PRENSA,2018-01-02T05:29:36Z,"Zona Económica Especial de Progreso, Yucatán",El Sol de México,IMPRESO,Artículo,Diario,11745.5,Nacional,"DANIEL ÁVILA RUIZ / pasado 18 de diciembre el titular del Ejecutivo Federal, Enrique Peña Nieto, emitió la Declaratoria Presidencial de las Zonas Económicas Especiales para Puerto Progreso, Yucatán, dirigida especialmente al sector de las ciencias y las tecnologías de la Información y comunicación, por lo que se prevén cambios muy relevantes para la Península. Una Zona Económica Especial es un área delimitada geográficamente con características naturales y logísticas para convertirse en una región productiva. Con tal objetivo, se ofrecen beneficios diversos a quienes invierten en ellas, como son los fiscales, laborales, aduanales y regulatorios, a fin de atraer inversiones en estas regiones. Asimismo, el establecimiento de dichas zonas prevé la creación de la infraestructura necesaria de comunicaciones, transporte y tecnología; así como de desarrollo urbano, a fin de generar un entorno que propicie la productividad que asegure una mejor calidad de vida. Sin mencionar que se impulsa la creación de miles de empleos formales directos, con seguridad social y sueldos más competitivos de lo que actualmente se percibe en estos lugares. De acuerdo con estudios preliminares de factibilidad, la Zona Económica de Progreso puede generar 33 mil empleos en los próximos veinte años y contribuiría a incrementar de cuatro a 28 por ciento la participación del sector ciencia y tecnología en el Producto Interno Bruto de la entidad. Cabe señalar que esta declaratoria abre la posibilidad para los negocios locales de dar servicios a las empresas foráneas que decidan instalarse en el área, propiciando así el crecimiento y fortalecimiento de las cadenas de valor en la entidad. De esta forma, la zona económica de Progreso, Yucatán, se suma a la de Salina Cruz, Oaxaca; Puerto Chiapas; Lázaro Cárdenas, en Michoacán y Coatzacoalcos, que en conjunto constituyen cinco Zonas Económicas Especiales en el país. No debemos perder de vista que el objetivo fundamental de esta acción es la transformación productiva de la Zona se refleje en beneficios tangibles para la por blación, las empresas de Yucatán y de todo el Sur-Sureste del país. En otras palabras, es una apuesta estratégica y de largo aliento para Democratizar la Productividad a nivel regional, para que sus habitantes tengan las mismas posibilidades de desarrollo y bienestar que los del resto del país. Finalmente, aprovecho esta ocasión para señalar que, como legislador por Yucatán, daremos seguimiento a la aplicación de esta estrategia en el puerto de Progreso; con el propósito de coadyuvar desde el Congreso a potenciar el desarrollo económico de la Península y de todos los yucatecos. *Senador por Yucatán. Secretario del Comité del Instituto Belisario Domínguez e integrante de las comisiones de Relaciones Exteriores AsiaPacífico, Juventud y Deporte, de Turismo, así como de Reforma Agraria. Puede generar 33 mil empleos en los próximos veinte años y contribuiría a incrementar de cuatro a 28 por ciento la participación del sector ciencia y tecnología en el Producto Interno Bruto de la entidad."
