id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68859611,['Javier Juárez'],PRENSA,2018-01-26T03:10:04Z,Atrevido,Esto,IMPRESO,Nota Ocho Columnas,Diario,48113.7,Portada,"POR JAVIER JUAREZ FOTO: JORGE BARRERA El quinto partido se queda corto, Juan Carlos Osorio desea avanzar a la siguiente ronda, romper la famosa marca y por que no, ser campeón del mundo. Si Grecia, contra todos los pronósticos, levantó la Eurocopa en 2004, México puede hacer la hazaña en suelo ruso. El sueño del colombiano esta intacto: Claro que sí ( se puede ser campeón El fútbol lo ha demostrado históricamente, Grecia fue a un torneo de alto nivel y pudo ganarlo, indicó. El caballo negro a veces gana la carrera: Los Mundiales siempre a Podría garantizar que tendremos un equipo combativo, fresco y bien preparado para enfrentara cualquier rival que nos corresponda J C Osorio /Director Técnico tienen grandes sorpresas, ojalá por damos ser nosotros, expresó. La base para creer en ser los mejores del mundo son nuestros jugadores, dependemos de ellos, ese es nuestro énfasis, dijo. Nadie le puede quitar a los mexicanos el sueño de levantar la copa más codiciada a nivel de selecciones nacionales: Tenemos el derecho de aspirar a ser campeones. Es bueno atreverse a pensar de esa forma, destacó. Los obstáculos son muchos, pero el Tricolor los puede saltar: Es mejor dar todo para llegar a esa instancia y queremos ver el compromiso de nuestros jugadores, adelantó Juan Carlos. Sea quienes sean los convocados para la justa mundialista, el colombiano prometió un cuadro que de batalla: Podría garantizar que tendremos un equipo combativo, fresco y bien preparado para enfrentar a cualquier rival que nos corresponda, aseguro el técnico cafetalero. PLANTEL DE LUJO Osorio no se animo a decir que la camada que este en Rusia sea la mejor en la historia de México, pero si es sobresaliente: No soy yo el indicado para analizar las generaciones anteriores, pero con certeza sé que han existido grandes jugadores en el fútbol mexicano. No podemos ignorar a Jorge Campos, Alberto García Aspe, Cuauhtémoc Blanco, Hugo Sánchez y a muchos que han sido grandes jugadores en su momento, indicó. La actual generación reunirá a elementos que brillaron en selecciones juveniles: Que en conjunto sea la de mayor talento, no sé, es un debate, pero si es la de más jugadores con campeones olímpicos, apuntó. La calidad de sus jugadores pueden dar de que hablar Estoy seguro que dentro del grupo de posibles seleccionados y de tenerlos en buena forma, podemos aspirar a tener una gran Selección. Claro que si ( se puede ser campeón El fútbol lo ha demostrado históricamente, Grecia fue a un torneo de alto nivel y pudo ganarlo J COsorio/ Director Técnico El técnico nacional es muy optimista y vaticina i.futuro prometedor para la selección."
68459931,['NTX'],PRENSA,2018-01-04T06:49:13Z,Deseo del `Chicharito` México campeón,Esto,IMPRESO,Nota de Portada,Diario,19327.7,Portada,"Según Javier Hernández, la Selección aspira a más del quinto partido en Rusia 2018, y no descarta que el Tricolor sea campeón del mundo. El atacante Javier Chicharito Hernández, máximo anotador en la historia de la Selección Mexicana con 49 tantos, consideró que el conjunto Tricolor tendrá un gran torneo en la Copa del Mundo Rusia 2018, donde buscará trascender más allá del quinto partido. A través de una entrevista concedida al portal digital del West Ham United, declaró que no sólo aspiramos a los cuartos de final. No queremos poner un límite a nuestras ambiciones, añadió desafiante. Queremos apuntar tan alto como podamos, porque sabemos que tenemos el potencial. Todos los equipos tienen una oportunidad y queremos dar lo mejor de nosotros para llegar a la final e incluso ganar la Copa del Mundo, añadió. Sobre las selecciones nacionales que conforman el Grupo F, donde México se enfrentará al campeón del mundo, Alemania, Suecia y Corea del Sur, Hernández dijo que no se puede decir cuál de esos equipos va a clasificar para la próxima etapa. Alemania es obviamente el favorito, pero los otros tres intentarán pasar. El delantero de 29 años de edad cree que los partidos previos al arranque de la Copa del Mundo Rusia 2018 serán cruciales para ayudarnos a estar listos y estar en forma lo mejor posible para encontrarnos en el nivel más alto en el torneo internacional, expresó. El originario de Guadalajara consideró 2017 como un año increíble, porque me convertí en el goleador récord de todos los tiempos para mi equipo nacional, también alcancé los 100 partidos internacionales, jugué en la Copa Confederaciones donde dejamos una muy buena impresión en todo el mundo, que México está mejorando como equipo de fútbol, argumentó, esperanzado en que 2018 resulte todo un éxito y se logre la mejor participación mexicana en la justa internacional más importante de todo el planeta. ( NTX ) LA CIFRA Javier Hernández estallar su poderte j ¡Goles suma ! Javier Hernández con la Selección Nacional Mexicana, como el máximo romperredes histórico del Tricolor"
68505249,['Juan José Origel'],PRENSA,2018-01-08T02:58:42Z,Vida y Milagros,Esto,IMPRESO,Columna Espectáculos,Diario,9212.49,Espectáculos,"Hoy inician en locación las grabaciones de la telenovela Temos que ser tú. Arath de la Torre y Nora Salinas protagonizan la serie de comedia Simón dice TELEVISIÓN Las grabaciones de las telenovelas ya regresaron a la normalidad con motivo del inicio de año y como es costumbre, en todos los foros o locaciones se partió la tradicional rosca de Reyes. Un ejemplo fue en el exitoso melodrama Me declaro culpable, en el que en estos días hemos visto en los capítulos que están al aire el ingreso del actor Alejandro Aragón, quien tendrá relación en la trama con los personaes de Margarita Magaña y Mikel Mateos; esto además de las confesiones y chantajes de los personaes del gran Enrique Rocha y Pedro Moreno. En una locación cercana a Televisa San Ángel algunos medios acompañaron a Daniela Castro y Ramiro Fumazoni para compartir el tradicional pan y ahí los actores platicaron sobre la importancia de tomar el tiempo para convivir con los compañeros Hoy lunes en la zona de Coyoacán inician las grabaciones de la telenovela Tenías que ser tú, pero el viernes el elenco tuvo estuvo reunido en el foro 4 de San Ángel para partir la tradicional rosca de Reyes y celebrar una misa con motivo del arranque de la producción. Con un mensaje sobre la colaboración e igualdad entre todos, en la ceremonia se contó con la asistencia de todos quienes forman parte, entre ellos el elenco como Ariadne Díaz, Andrés Palacios, Fernando Alonso, Chantal Andere, Arturo Peniche, Raquel Garza, María Marcela, Agustín Arana, Rossana Nájera, Polo Morín, Jéssica Decote, Aldo Guerra, Kelchie Arizmendi, José Carlos Farrera, Sachi Tamashiro, Ricardo Margaleff y por supuesto la productora Ma Pat. Tenías que ser tú la veremos al aire con Las Estrellas a partir del mes de marzo a las ocho y media de la noche Los nuevos programas para la próxima temporada de Noche de buenas están preparándose y uno de ellos es el titulado Simón dice, un formato de comedia de situación en la que cuatro parejas exponen sus experiencias y principalmente sus versiones sobre su vida. El elenco está formado por Nora Salinas, Arath de la Torre, Pierre Angelo, Dalilah Polanco, Ricardo Fastlicht, María Chacón, Carlos Speitzer y Claudia Acosta; ellos en algunas escenas en las que en ocasiones estarán solamente los hombres y en otras las mujeres en las que será la oportunidad de que compartan lo que les ocurra y el mismo tema tendrá diferencias de enfoque entre los personajes. DETEATRO Las obras más exitosas de la cartelera están celebrando develaciones de placa con motivo de sus muchas funciones. El primer ejemplo es el del musical Mentiras, que este miércoles llega a la considerable cifra de 3 mil 100 representaciones con la presencia de Rocío Banquells, Dulce y Manoella Torres como madrinas, sí ellas que forman parte del espectáculo GranDiosas y ofrecerán una actuación al finalizar la obra producida por Morris Gilbert. ¡Hasta la próxima!"
68818449,['Shanik Berman'],PRENSA,2018-01-24T08:07:48Z,Fama,Esto,IMPRESO,Columna Espectáculos,Diario,9147.68,Espectáculos,"Adiós al romanticismo y al príncipe azul ahora que ya podemos congelar los óvulos como Adriana Fonseca y Mariana Seoane A las princesas y los sueños guajiros del amor ahora que las mujeres como Mariana Seoane y Adriana Fonseca ya aprovechan la ingeniería genética y congelan sus óvulos, ¡ahora ya ni falta hace encontrar el galán! Porque para tener el bebé a esos ovulitos le compras una `mayonesita` o sea un semen, te la untas y tienes al bebé de tus sueños, pero qué aburrido. A lo que hemos llegado, antes con un `revolcón` con tu novio en un `borrachazo` tenías a tu hijito amado, hoy tener el bebé ya es como ciencia-ficción. DI CAPRIO DICE NO AL MATRIMONIO Leonardo di Caprio quien ya cumplió 43 años y hará al más temible asesino serial de Estados Unidos, a Charles Manson en la película de Quentin Tarantino dice que no se quiere casar… A lo mejor él, como Mariana Seoane y como Adriana Fonseca que congelaron sus óvulos, él también congeló su `mayonesa` porque no tiene prisa para sentar cabeza ni quiere tener una `torta` en la casa cuando afuera tiene banquetes todos los días. Leonardo ha hecho realidad el sueño del 99 por ciento de los hombres que si pudieran `cuchiplanchar` sin tener la obligación de `checar tarjeta` y llegar a dormir diario ni tener que dar manutención ni aguantar a una vieja malhumorada por el síndrome menstrual, o sea porque está en sus días serían los más felices del mundo. Y si cualquier feo tatuado hasta las orejas, bruto y pobre encuentra y le sobran mujeres… Imagínate Leonardo di Caprio, ¡hasta la pregunta es necia y hasta la pregunta ofende! IRINA NIEGA A GABRIEL Le preguntaron a Irina Baeva porque estaba el coche de Gabriel Soto estacionado en su condominio de ella y solo contestó: `Aquí vivimos mil personas a lo mejor fue a visitar a alguien que vive aquí, a mí no, de cualquier manera comenzaremos el proyecto juntos en gira de Porque los hombres aman a las cabronas y viajaremos juntos por toda la República`. ¿DÓNDE ESTÁ LA MAMÁ DE LUISMI? ¿Será cierto que ahora si Luis Miguel le contó a Javier León Herrera como desapareció del mundo su madre Marcela Basteri? y esto estará escrito en el libro: Luis Miguel que es la historia, autorizado para la realización de la serie biográfica del artista que producen Netflix y Telemundo, ojalá y al menos Luis Miguel si sepa donde se encuentra su madre."
68941858,['Redacción'],PRENSA,2018-01-30T07:12:37Z,Gallos presentó inconformidad,Esto,IMPRESO,Nota Informativa,Diario,1829.75,Deportes,"La Comisión Disciplinaria informó que el club Querétaro presentó una solicitud de inconformidad por la expulsión de Miguel Samudio en el juego del viernes entre Morelia y Gallos, al considerar que fue manifiestamente errónea. La Comisión dio a conocer que estudiará los hechos para poder determinar lo conducente."
68609428,['Redacción'],PRENSA,2018-01-13T06:07:24Z,Federaciones concluyen labor,Esto,IMPRESO,Nota Informativa,Diario,4169.67,Comunidad,"Una gran respuesta se tuvo de las Federaciones Deportivas en relación con su incorporación a los festejos de la conmemoración de los 50 años de los Juegos Olímpicos de México 1968, destacó Horacio de la Vega, director general del INDEPORTE, que junto con Jimena Saldaña, vicepresidenta del COM, son las cabezas de los trabajos de celebración que se realizarán durante este 2018. Las Federaciones Deportivas nacionales acudieron a las reuniones que se desarrollaron este jueves y viernes en las instalaciones del Instituto del Deporte de la Ciudad de México. Se establecieron 4 ejes centrales de temas de la celebración, tales como deporte, infraestructura, cultura e hitos olímpicos. De la Vega Flores dijo que se tuvo una gran interacción con las Federaciones Deportivas para que se incorporen con sus eventos a la serie de celebraciones que se tendrán con motivo de este cincuentenario de los Juegos. El dirigente del deporte capitalino comentó que se les solicitó a las Federaciones ser un puente de conexión con los atletas de su deporte que participaron en los Olímpicos de México 1968, con la finalidad que estén durante la celebración de los 50 años. Recordó que será Felipe Tibio Muñoz el embajador de los trabajos de organización que se encargará de crear el vínculo con los medallistas de México 1968, mexicanos y extranjeros, así como de los deportistas que participaron en los Juegos. Horacio de la Vega informó que en los próximos días se realizará de parte del Jefe de Gobierno, Miguel Ángel Mancera Espinosa, así como del Presidente del Comité Olímpico Mexicano, Carlos Padilla Becerra, el lanzamiento formal del calendario de celebraciones. De igual forma, relató que se hizo llegar a las Federaciones Deportivas la imagen gráfica y logotipos de los Juegos Olímpicos de México 1968, misma que podrán utilizar durante este periodo de celebración de 2018; aclaró que la imagen tiene una reglamentación de cómo deberá utilizarse, siempre sin fines de lucro o comercialización. En la próxima semana las Federaciones Deportivas enviarán a la organización de los trabajos de la celebración de los 50 años, que encabeza Horacio De la Vega Flores y Saldaña de Aja, las listas de eventos, atletas y sugerencias para hacer de este 2018 una enorme fiesta deportiva."
68742317,['Fernando Schwartz'],PRENSA,2018-01-20T07:05:24Z,Puede haber convivencia,Esto,IMPRESO,Nota Informativa,Diario,4535.03,Deportes,"POR FERNANDO SCHWARTZ América llegará en autobús y no en camionetas blindadas a CU, lo cual es una buena medida para el director deportivo de América, Santiago Baños, quien así lo expresó en Agenda Fox Sports: Fue una plática entre directivas. Lo decidimos y aceptamos. Sabemos que se viven momentos difíciles en el país. Es una muestra de apoyo. Podemos convivir todos sin problemas. Esperamos y confiamos en la institución de la UNAM, Seguridad Pública y la Liga, para entrar y salir sin problemas. Hay rivalidad: Yo creo que no es odio. Hay una rivalidad muy fuerte. Cada quien apoya a su equipo. En la cancha en 90 minutos ahí queda. Antes y después son seres humanos, tienen familias, no podemos vivir entre tantas agresiones. Mercado de fichajes: Complicado. Los jugadores que hemos visto no los venden a pesar de ofertas. Es complicado que en este lapso se deshagan de jugadores importantes, eso se da en verano. Si no concretamos dos o tres vistas nos quedamos así. Lo de Silvio lo sigue moviendo Mauricio Culebro, sigue el interés de River. Ibargüen y Ménez: Los veo muy bien, gratamente sorprendido con los dos. Áhorita cuesta lo físico. Pocos días al parejo entrenando en los horarios matutinos con sol, altura y contaminación es complicado. Espero verlos lo más . pronto posible. Es decisión de Miguel y su cuerpo técnico, si juegan o no. Futbolísticamente son diferentes. Los transfers llegaron. América en el arranque: Me gustó más el de visita que el de la fecha 2 en casa, Fuimos erráticos con la pelota, regalamos dos opciones de goles que se concretaron. Tenemos muchos partidos de local. Son 10. Hay que aprovechar el estadio. El rival no se abre tanto. Es más complicado que cuando vamos de visita. Esperemos el domingo mostrar más fútbol y claros lo que pretende Miguel en la cancha. Donovan: Me parece una contratación más de mercadotecnia que de fútbol. Tiene 35 años, viene de un retiro de año y medio. Fue un gran futbolista, veremos que aporta ahora a León. El nuestro Ménez tiene 30años y lo he visto muy bien. Entiende español cuando se le habla despacio, domina bien el italiano y en la cancha todo se entiende con el oui oui."
68942436,['Notimex'],PRENSA,2018-01-30T07:33:46Z,Reconocerán a creador de la guitarra de la película Coco,Esto,IMPRESO,Nota Informativa,Diario,4087.71,Espectáculos,"Reconocerán a creador de la guitarra de la película Coco El laudero Germán Vázquez Rubio, creador de la guitarra mística que usa el personaje de Miguel en la película Coco, recibirá el 18 de febrero un reconocimiento del municipio de Paracho, Michoacán. Marisol Castro Baca, alcaldesa de la localidad ubicada en el oeste de la República Mexicana, destacó que la guitarra utilizada en la más reciente entrega animada de Disney Pixar constituye un caso peculiar por la cantidad de artesanos que las fabrican, además de ser reconocida a nivel nacional e internacional. Notimex."
68621405,['Jorge Barrera'],PRENSA,2018-01-14T07:40:13Z,El juego lo tenían en la bolsa,Esto,IMPRESO,Nota Informativa,Diario,2802.39,Deportes,"Las dudas en zona defensiva del América permitieron que Pachuca rescatara un punto al final del juego. Guido Rodríguez afirmó que van a trabajar para mejorar esa cuestión. Era un partido que teníamos ganado. En los últimos minutos hubo desatenciones nuestras, así que tenemos que trabajar para mejorar eso, sentenció. Reconoció que tuvieron una buena primera mitad, pero que después se las vieron negras en el juego. Hoy se complicó en lo último. Por ahí una jugada medio rara como nos agarraron parados, pero vamos a trabajar para volver a ganar acá en el estadio. Arrancamos bien, después se hizo un poco más parejo. En los primeros minutos estaba más todo para nosotros, aseguró. La próxima jornada enfrentan el primer Clásico ante Pumas y Guido aseveró que van a trabajar de buena forma para ganarles en Ciudad Universitaria. Vamos a trabajar bien esta semana para llegar con Pumas de la mejor manera. ( Fernando Villa/ Foto: Jorge Barrera ) El americanista no pudo pesar en el duelo."
68918712,['Notimex'],PRENSA,2018-01-29T08:04:43Z,Se recupera Wanda Seux,Esto,IMPRESO,Nota Informativa,Diario,7439.45,Espectáculos,"NOTIMEX La actriz y bailarina Wanda Seux se recupera milagrosamente del infarto cerebral fase cuatro que se le produjo el viernes como consecuencia de un cuadro de presión arterial alta y afecciones cardiacas. De acuerdo con Alfredo Cordero, amigo de la exvedette, es bastante alentador el panorama respecto al estado de salud de la también exmodelo paraguaya. Es asombrosa la fuerza y la luz que tiene Wanda porque después de que el viernes se encontraba en un episodio de infarto cerebral fase 4 hoy ya platica, y poco a poco deglute alimentos, explicó. El avance ha sido asombroso y su recuperación extraordinaria. Sin embargo, no sabemos bien su situación hasta que se le realice una nueva tomografía el martes. Dicho estudio revelará cuál es el daño real que hay en su cerebro y de qué manera Wanda Seux podrá rehabilitarse. Ella está articulando palabras, está lúcida y la parálisis facial está disminuyendo. Le emociona poder hablar y, sobre todo, recibir visitas, no ha dejado de sonreír. También informó que el trato que se le da a la exvedette en el Hospital General Xoco es muy bueno, por lo que descartan trasladarla al Instituto Nacional de Neurología y Neurocirugíá, como había dicho la cineasta María josé Cuevas. María josé, el publirrelacionista Rodrigo Fragoso, la conductora América, la señora Pacha, quien es familiar de Wanda en Culiacán, y yo, decidimos que los tratamientos que le den allá técnicamente serán los mismos. Sacarla significaría exponerla y no. hay necesidad El martes le realizarán una nueva tomografía NOTIMEX La actriz y bailarina Wanda Seux se recupera milagrosamente del infarto cerebral fase cuatro que se le produjo el viernes como consecuencia de un cuadro de presión arterial alta y afecciones cardiacas. De acuerdo con Alfredo Cordero, amigo de la exvedette, es bastante alentador el panorama respecto al estado de salud de la también exmodelo paraguaya. Es asombrosa la fuerza y la luz que tiene Wanda porque después de que el viernes se encontraba en un episodio de infarto cerebral fase 4 hoy ya platica, y poco a poco deglute alimentos, explicó. El avance ha sido asombroso y su recuperación extraordinaria. Sin embargo, no sabemos bien su situación hasta que se le realice una nueva tomografía el martes. Dicho estudio revelará cuál es el daño real que hay en su cerebro y de qué manera Wanda Seux podrá rehabilitarse. Ella está articulando palabras, está lúcida y la parálisis facial está disminuyendo. Le emociona poder hablar y, sobre todo, recibir visitas, no ha dejado de sonreír. También informó que el trato que se le da a la exvedette en el Hospital General Xoco es muy bueno, por lo que descartan trasladarla al Instituto Nacional de Neurología y Neurocirugíá, como había dicho la cineasta María josé Cuevas. María josé, el publirrelacionista Rodrigo Fragoso, la conductora América, la señora Pacha, quien es familiar de Wanda en Culiacán, y yo, decidimos que los tratamientos que le den allá técnicamente serán los mismos. Sacarla significaría exponerla y no. hay necesidad El martes le realizarán una nueva tomografía"
