id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68633111,['Redacción'],PRENSA,2018-01-15T05:31:42Z,Inalterable agenda de Peña Nieto,Impacto Diario,IMPRESO,Nota Informativa,Diario,12291.3,Nacional,"El Presidente Enrique Peña Nieto continuará desahogando su agenda normalmente pese a que el pasado viernes presentara, al igual que los secretarios Salvador Cienfuegos Zepeda, José Antonio González Anaya, José Calzada Rovirosa y Rafael Pacchiano Alamán, así como Francisco Guzmán Ortiz, jefe de la Oficina de la Presidencia, y Andrés Massieu Fernández, coordinador general de Políética y Gobierno de la Presidencia, una fuerte irritación en los ojos que requirió atención médica. Ello, al término de la inauguración del Centro Nacional de Tecnologías Aeronáuticas, y de la entrega de Premios de Ciencia y Tecnología, en Colón, Querétaro. Con excepción de titular del Ejecutivo federal, a algunos de los afectados por la ya expuesla situación se les recomendó reposo, de ahí que se hayan visto obligados a reducir sus actividades públicas. Por su parte, la Secretaría de Salud ( Ssa ) se encuentra analizando las posibles causas que provocaron los ya citados síntomas al término de la inauguración del Centro Nacional de Tecnologías Aeronáuticas, y de la entrega de Premios de Ciencia y Tecnología, en Colón, Querétaro."
68457394,['Los Malosos'],PRENSA,2018-01-04T04:44:12Z,Los Malosos,Impacto Diario,IMPRESO,Columna Política,Diario,25051.3,Nacional,"NO NEGRA DE BARRALES EN ENCUESTA PARA JEFE DE GOBIERNO Todo un caso para los líderes del PRD Raúl Flores y Manuel Granados. El infraganti de dos personas en el llenado de presuntas papeletas de la encuesta que definirá al candidato de la alianza Por México al Frente para la Jefatura de Gobierno de la CDMX, en una cafetería de la Zona Rosa, pone en grave peligro la credibilidad del método. ... Los implicados se identificaron como empleados de Alejandra Barrales Magdaleno y fueron descubiertos por clientes de la cafetería, según reportaje de Denisse Mendoza de Crónica (http://ow.ly/JjCL30hyONS). … Las papeletas de los presuntos encuestadores tenían estampados los rostros de los precandidatos: Barrales, Armando Ahued Ortega y Salomón Chertorivski Woldenberg, y al ser cuestionados por otros presentes, respondieron que simplemente llenaban preguntas del cuestionario que los encuestados se negaron a responder, y otras papeletas de los que les plantaron puerta en cara. … La sospecha NO debe quedar en el aire, amerita la aclaración de Barrales y la investigación del presidente local del PRD Flores García y del titular del CEN Granados Covarrubias. Está en juego la credibilidad de la alianza, porque, al parecer, alguien trata de repetir la maniobra de Andrés Manuel López Obrador con Claudia Sheinbaum Pardo que provocó la crisis con Ricardo Monreal Ávila. CORRAL NO BAJA LA GUARDIA, SEGUNDO `MISIL` CONTRA EL GOBIERNO FEDERAL, AHORA DUARTE Para todos aquellos que dudaron de la capacidad de respuesta y tenacidad de Javier Corral Jurado, contra los embates mediáticos del PRI dar a conocer los desvíos multimillonarios del ex secretario adjunto del CEN del PRI Alejandro Gutiérrez, el gober retó al gobierno de Enrique Peña Nieto para acelerar la extradición de César Duarte Jáquez. … Le informamos ayer del paso firme del gober de Chihuahua quien entregó desde septiembre 10 órdenes de aprehensión, acreditadoras de delitos por sumas que rebasan los mil 200 millones de pesos. Al parecer la federación quiere dar largas hasta pasar el proceso electoral. ... Porque en los hechos la PGR de Alberto Elías Beltrán y la SRE de Luis Videgaray Caso NO proceden a la petición de extradición con el gobierno de Donald Trump, que además es todo un arsenal para la campaña de Ricardo Anaya Cortés. … Sin embargo, posiblemente Corral tenga que esperar más tiempo por la red de relaciones públicas desplegadas por Duarte. Por ejemplo, desde la coordinación de la bancada de Emilio Gamboa Patrón en el Senado se operó la relación con medios de comunicación durante toda la legislatura. POR USO POLÍTICO DE POLICÍA FEDERAL AMLO Y ANAYA VAN POR SEPARAR LA SSP DE GOBERNACIÓN De los tres candidatos presidenciales punteros, por lo menos para Andrés Manuel López Obrador y Ricardo Anaya Cortés resulta natural la separación de la Secretaría de Seguridad Pública, de Gobernación, contrario al sinsentido que defienden a rajatabla Miguel Osorio Chong y el Comisionado Nacional de Seguridad Renato Sales Heredia. … El precandidato de Morena prometió adelantar el perfil del que llevará ese importante mando -si gana la presidencia- además de ponerle fecha para terminar con el flagelo: tres años. Un proyecto muy ambicioso que mantiene en duda la amnistía a narcotraficantes. … Sin embargo resulta sorprendente que para decenas de ONG`s dedicadas a tema, cámaras empresariales como la Coparmex de Gustavo de Hoyos Walther, y expertos en seguridad pública, la SSP debe ser una sola secretaría, separada de agendas políticas como la Segob. … Y también resulta sospechosa la defensa desmesurada de la fusión en las cercanías del electoral 2018, más cuando nos confirman la intervención de la Policía Federal de Manelich Castilla Craviotto al tratar de impedir la detención y traslado a Chihuahua del ex secretario adjunto del CEN del PRI Alejandro Gutiérrez, acusado de desvío de más de 500 millones de pesos a campañas electorales, en tiempos de la SHCP de Luis Videgaray Caso, que por supuesto contamina la campaña de José Meade Kuribreña."
68440863,['Redacción'],PRENSA,2018-01-03T03:50:00Z,Frankestein cumple 200 años... y aterrando,Impacto Diario,IMPRESO,Nota de Portada,Diario,60361.4,Portada,"El 1 de enero de 1818 apareció Frankenstein o el moderno Prometeo. Desde entonces el monstruo creado por Mary Shelley se ha convertido en un icono cultural, como atestiguan los estudios que se publican con motivo de su aniversario. De los labios de Mary Shelley, quien en ese entonces tenía 18 años de edad, brotó la historia de un monstruo, construido a base de retazos de cadáveres y condenado a una vida de frustraciones. Lo llamó Frankenstein y nació la noche del 17 de junio de 1816. El 1 de enero de 1818 aparecía con un tiraje de 500 copias Frankenstein o el moderno Prometeo. A principios del siglo XIX, la obra causó conmoción, sus implicaciones eran demasiado profundas en una sociedad que aún se peleaba con el gas, el vapor y el carbón. El referente más claro de Frankenstein es Prometeo, porque, como decía J.B.S. Haldane, no hay ninguna gran invención desde el fuego a volar, que no haya sido catalogada como un insulto a algún dios. Si lo miras así, el monstruo es una perversión, es una blasfemia, pero en sí mismo es de una naturaleza completamente distinta y creo que ese es el gran hallazgo de Shelley: Frankenstein siente re. mordimientos por la creación de algo que es profundamente humano, pero no puede evitar tratarlo como si no lo fuera. Y de hecho el libro es una historia de amor y venganza más que de un descubrimiento singular, aclara Frayling, que sigue así la teoría de Miranda Seymour, la más reciente de las biógrafas de Shelly, quien niega que la autora estuviera interesada en el ángulo tecnológico de la historia y que afirma que el corazón de Frankenstein gira en torno al rechazo, al rechazo del doctor a su propio hijo. Es así como Mary Shelley escribió la novela, considerada la madre de las historias de terror."
68675539,['Redacción'],PRENSA,2018-01-17T06:05:41Z,Ahued: `Confío en ganar la consulta externa`,Impacto Diario,IMPRESO,Nota Informativa,Diario,12844.1,Política,"Me dará gusto que Barrales y Chertorivski se unan a mi gobierno: Armando Ahued Armando Ahued Ortega, precandidato perredista a la jefatura de Gobierno de la Ciudad de México, expresa que a él le dará mucho gusto que Alejandra Barrales y Salomón Chertorivski se unan a su equipo de campaña y después a su gobierno, pues expresó su confianza de que ganará la consulta interna que realiza el Partido de la Revolución Democrática ( PRD ). En precampaña propuso una bolsa de trabajo especial que no sólo ofrezca plazas a personas con discapacidad, sino que tengan mejores salarios, porque ante todo, dijo, se requiere voluntad por lítica para ofrecer una mejor calidad de vida a este sector de la población. Al señalar que en la Ciudad de México hay casi 50 mil personas con discapacidad, el aspirante a ser el candidato de la Coalición Por la Ciudad de México al Frente, comentó que este grupo de la población todavía sufre discriminación, exclusión y segregación. Comentó que desde la Secretaría de Salud local promovió el trato dignó a los discapacitados, no sólo en los hospitales y clínicas del sector salud, sino que a través de El médico en tu casa, se les proporcionó atención médica en su propio domicilio. Destacó que en la Ciudad de México hay avances significativos porque se abrieron plazas laborales para las personas con discapacidad, con la finalidad de que pudieran tener ingresos dignos y garantizar su derecho al trabajo. De llegar a la Jefatura de Gobierno, subrayó, promovería el apoyo a las personas que cuidan a las personas discapacitadas, ya que al ofrecer todo su tiempo para ayudar a su familiar, muchas veces no pueden trabajar o estudiar. También es necesario ofrecer capacitación a quienes cuidan a las personas con discapacidad, para evitar que los propios cuidadores terminen enfermos al cargar o apoyar físicamente a sus familiares."
68527937,['Hugo Páez'],PRENSA,2018-01-09T05:21:10Z,"La Teoría del Caos // Javier Corral, la ofensiva anticorrupción de Anaya y coaligados",Impacto Diario,IMPRESO,Columna Política,Diario,18419.3,,"El aparato NO es lo que era. Los controles perdieron eficacia, ahora NO hay garantía de victoria, así sea de un presunto no priísta como José Meade Kuribreña que tiene con los nervios de punta a su partido y al gobierno federal. La preocupación está a flor de piel y aumentó efervescencia con la aparición en escena de Javier Corral Jurado como la ofensiva anticorrupción de Ricardo Anaya y de la alianza Por México al Frente. Un perfil capaz de aglutinar a la izquierda, al panismo, a intelectuales y figuras antisistema, como lo demostró en la contienda electoral en Chihuahua, y ayer en la conferencia de prensa en el hotel Geneve con el cobijo de Santiago Creel, José Guadalupe Acosta Naranjo, Agustín Basave, Ernesto Ruffo, Juan Carlos Romero Hicks, Jorge Castañeda, Jacqueline Peschard, Mariclaire Acosta, Alejandro Chanona, Clara Jusidman, mientras el letargo de Meade hace estragos en su partido. No solamente Andrés Manuel López Obrador habla de Aurelio Nuño Mayer como posible emergente, también se especula sobre un desesperado Plan `B` con Ricardo Anaya Cortés -no lo creo- para evitar la llegada del candidato de Morena. Si el aparato del Estado no logra un golpe mediático contundente de Meade Kuribreña en la precandidatura, donde dos de los tres punteros están en amplia desventaja sobre el candidato oficial, ni imaginarse una vez abiertas las puertas de la campaña. Meade NO es púgil, poco puede hacer frente a figuras como Roberto Borge de Quintana Roo, como el veracruzano Javier Duarte de Ochoa, Eugenio Hernández y Tomás Yarrington de Tamaulipas, César Duarte Jáquez asediado por Javier Corral Jurado en un escándalo de corrupción que apenas inicia, Coahuila de los Moreira, y un larguísimo etcétera. El PRI como marca lastre, obliga a Meade a negar la militancia y a la vez alabar un dudoso historial, con frases como `El país le debe mucho al PRI`, `Voté por el candidato del PRI Peña Nieto en el 2012 (siendo funcionario de la administración panista Calderón)`, `Javier Duarte traicionó al PRI`, `Duarte NO define a los priístas`, el viacrucis del ex secretario de Hacienda por los estados de la República es el del perdón por la corrupción, por el gasolinazo, por las metas incumplidas de las Reformas, por la inseguridad récord que rebasó la masacre de su antecesor, para colmo, ahora aliado Felipe Calderón Hinojosa y los senadores calderonistas Ernesto Cordero, Roberto Gil Zuarth, Javier Lozano, Salvador Vega y Jorge Lavalle. Vaya, ni siquiera Luisa María `Cocoa` Calderón y Mariana Gómez del Campo, hermana y prima política del ex presidente, se prestaron a tan indignas maniobras. Sin temor a equivocarme, Corral Jurado será uno de los grandes apoyos de Anaya. Probó músculo contra Felipe Calderón, todavía ataviado con la banda presidencial, lo enfrentó con una carta demoledora, sobrevivió a los embates de César Duarte y se impuso en la contienda interna del PAN en Chihuahua, contra todos los pronósticos para vencer de calle al aparato multimillonario del gobernador priísta que salió de la administración estatal con un banco en la bolsa. Ahora cuenta con un gran arsenal anticorrupción por la triangulación de recursos de Hacienda a las campañas del PRI en el 2015, con el ex secretario general adjunto del CEN Alejandro Gutiérrez y el ex titular del ramo en Chihuahua Jaime Herrera en la cárcel, y a los Enriques, Peña Nieto y Ochoa Reza, en el ring. Los antecedentes son suficiente para probar la corteza de Corral, ayer no dudó en acusar a José Antonio González Anaya de utilizar a la Secretaria de Hacienda con propósitos políticos, al presionarlo con recursos destinados al estado, a cambio de bajar la guardia en la investigación a la red de corrupción de Duarte Jáquez y funcionarios del CEN del PRI, una acusación que amerita la intervención del Congreso. El escándalo apenas inicia y difícilmente van a parar a Javier Corral, un perfil que veremos en el 2024, en otros horizontes."
68457005,['Redacción'],PRENSA,2018-01-04T04:49:03Z,El PRI va por 40% de votos: Ochoa,Impacto Diario,IMPRESO,Nota Ocho Columnas,Diario,99047.8,Portada,"Enrique Ochoa Reza, presidente nacional del Partido Revolucionario Institucional (PRI), aseguró que se trabaja en una estrategia para que al menos cuatro de cada 10 mexicanos voten en favor de José Antonio Meade, para alcanzar 40 por ciento de los sufragios, lo que tiene como principal objetivo generar un ambiente de seguridad y de certeza postelectoral. `México no necesita, como lo ha tenido antes por la intervención de (Andrés Manuel) López (Obrador) momentos de incertidumbre postelectoral. Ganando con más de 40 por ciento de los votos (…) es como lograremos también una paz en el proceso postelectoral, generando incertidumbre para incrementar la construcción de empleos de calidad y bien pagados`, subrayó. En entrevista en Radio Fórmula, con Manuel Feregrino, afirmó que eso le daría también tranquilidad al país. Reconoció que es una contienda muy competida, pero resaltó: `En las encuestas más recientes, semana tras semana, conforme va aumentando el nivel de conocimiento popular de la trayectoria honesta y de la preparación académica y profesional de Pepe Meade, es que más gente quiere votar por él`. Aún más , apuntó que se está acreditando en distintos medios internacionales, como el Financial Times, un diario inglés que señala que Meade ganará la Presidencia de México en las elecciones del 2018, dándole certidumbre y estabilidad económica y social al país. `Y por eso vamos a paso firme con Pepe Meade para alcanzar el 40 por ciento de los votos que tenemos como principal objetivo, para generar también un ambiente de seguridad y de certeza postelectoral`, insistió. Resaltó que la revista `Time` señala que una improbable victoria de López Obrador significaría un riesgo para la confianza, para las inversiones y para la creación de empleos en México. Dijo que en esta elección tenemos dos claras alternativas, dos caminos: uno que lleva al populismo autoritario, que quiere convertir a México en Venezuela, `es llevar a México a un camino que no ha funcionado en otras partes del mundo`. El otro camino es de una trayectoria de éxito, desarrollo, progreso y estabilidad económica, puntualizó el dirigente nacional priísta. `CADA SEMANA SUBE PREFERENCIA POR MEADE` Ochoa Reza expresa que, de acuerdo con las últimas encuestas, cada semana sube la preferencia de la ciudadanía por Meade, precandidato de la coalición Meade ciudadano por México. Reitera que `entre más gente conoce a Meade, más gente quiere votar por él`, preferencias que seguirán avanzando conforme lo haga la campaña. En una entrevista para el noticiero `En los tiempos de la radio`, puntualiza que Meade es un hombre preparado, con 20 años de trayectoria pública, con una formación académica sólida y una amplia experiencia en la administración pública. Ochoa Reza dijo que el triunfo de Meade se traducirá en estabilidad económica para México, con creación de más y mejores empleos para todos los habitantes del país. Destacó que la estrategia en la precampaña Meade ciudadano por México es de puertas abiertas a la ciudadanía, transparente, propositiva y ganadora, a través de la cual se busca que al menos cuatro de cada 10 mexicanos voten por quien, reitera, es el candidato más preparado a la Presidencia en todo el país. `Por eso trabajamos mañana, tarde y noche para que a Meade cada vez más gente lo conozca, siga presentando su propuesta dirigida a convertir a México en una potencia para mejorar las condiciones de los mexicanos y su esfuerzo sea reconocido y valorado con mejores oportunidades de empleo y de mayor calidad`, añade. Subrayó que su propuesta difiere completamente de la expuesta por Andrés Manuel López Obrador: `Él ha propuesto liberar a los criminales, darles amnistía a ladrones, la impunidad para los criminales; endeudar a México y sabemos lo que eso representa para las familias en desempleo y crisis social, y cancelar los avances educativos`. Invitó a todos los mexicanos a votar en las elecciones del presente año para elegir a un presidente que lleve a tener un México más seguro y en paz. `Meade propone impulsar la educación para combatir la violencia, mejores empleos de calidad y bien pagados, y seguridad social, todo esto para que existan menos incentivos para incorporarse a las filas de la violencia. También busca una policía mejor capacitada y mejor pagada, así como que participen soldados y marinos y pilotes en labores de seguridad interior para garantizar la paz`. Ochoa informó que los candidatos a los gobiernos de Puebla, Guanajuato, Chiapas y Morelos, de acuerdo con la legislación electoral en dichas entidades, se darán a conocer entre la segunda y tercera semana de enero, cuando se tomen las definiciones para establecer a los precandidatos. Consideró que los precandidatos ya anunciados para Jalisco, Miguel Castro; Ciudad de México, Mikel Arreola; Yucatán, Mauricio Sahuí; Tabasco, Georgina Trujillo, y Veracruz, José Francisco Yunes, son también los mejor preparados para gobernar cada entidad. De igual forma lamentó la muerte del aspirante a la candidatura de Atoyac en el estado de Guerrero, durante su labor por contribuir a que su comunidad estuviera mejor. `Estamos ciertos de que las autoridades llevarán a cabo investigaciones. Tenemos que trabajar todos los días para lograr mejores condiciones de paz y seguridad`, agrega. Ochoa Reza afirmó que no aspira a alguna candidatura. `Estoy feliz como presidente nacional del PRI, una de las responsabilidades más gratas que más he disfrutado en mi vida pública. Es un gran honor poder recorrer todos los estados del país, escuchar a la gente, a la militancia y a partir de allí contribuir al desarrollo de nuestro país`, expresa. `Esto es lo que está haciendo Meade también, ya lleva 11 estados en su precampaña, recorrerá más aún y estoy de acuerdo con lo que recientemente publicó el Financial Times, en el que indica que Meade ganará las elecciones`, agrega. `PRI APUESTA POR CANDIDATOS CON TRAYECTORIA DESTACADA` El PRI se ha concentrado en postular a personas preparadas, con calidad moral y honestidad, como una alternativa positiva para que en México haya mayores oportunidades para todos los mexicanos, señaló Ochoa Reza. Aunque reconoce que se han tenido errores, pero con abanderados de destacada trayectoria y honestidad buscan convencer al ciudadano de votar por el PRI con propuestas y campañas positivas. `Tenemos que ser autocríticos, sabemos que tenemos que mejorar, lo que hemos hecho es postular aspirantes que signifiquen lo que queremos hacer en el gobierno; para convencer al ciudadano hay que hacerlo con propuestas de los precandidatos con probada honestidad y trayectoria`, señaló. En entrevista para el programa radiofónico Por La Mañana, que conduce Ciro Gómez Leyva, señaló que se trabaja para que José Antonio Meade Kuribreña gane. `Pepe Meade, preparado con honestidad, ha llevado a lo largo de su trayectoria desarrollo y progreso. También está reconocido por los medios internaciones como una alternativa positiva`, destacó. Enfatiza nuevamente que hay dos alternativas en 2018: el populismo autoritario que representa Andrés Manuel López Obrador y el desarrollo económico del país con Pepe Meade. `VOTAR POR LÓPEZ OBRADOR ES APOYAR LIBERACIÓN DE CRIMINALES` El líder nacional del PRI advirtió que un voto por el precandidato presidencial de Morena, Andrés Manuel López Obrador, es liberar a los criminales y un sufragio por esa expresión del populismo autoritario significa traer las políticas públicas de Venezuela a México. En entrevista en MVS en la `Mesa para Todos` con Carlos Zúñiga, el dirigente aseguró que en cambio José Antonio Meade es el más preparado, acreditándolo en 20 años de servicio público en distintas administraciones, es un precandidato honesto, un hombre de familia y es la persona que puede llevar a México al siguiente nivel de desarrollo. `Imagínate el miedo que le tiene López, que lleva 18 años recorriendo el país de mentira en mentira, cuando ve que su ventaja en las encuestas se ha reducido y ahora estamos en un empate técnico entre Pepe Meade y López`, agregó. Ochoa Reza acusa a López Obrador de abrazar a la maestra Elba Esther Gordillo, que representa lo peor del sistema educativo del pasado, donde se vendían plazas, donde se le pagaba a maestros por no acudir a dar clases, pero acudían a las marchas y plantones que se vivieron en México. `Y nosotros estamos trabajando en la coalición `Meade, ciudadano por México`, mañana, tarde y noche para que más de 40 por ciento de las mexicanas y de los mexicanos voten por Pepe Meade`, asevera nuevamente. De manera tal, agregó, que tengamos un proceso electoral democrático, participativo y ejemplar `y también que tengamos una ausencia de conflicto poselectoral, como López ha tenido acostumbrado a México a lo largo de las últimas dos elecciones presidenciales`. Según Ochoa Reza, el periódico Financial Times afirma que López Obrador representa una ruptura fundamental con el modelo económico favorable para las inversiones, para la confianza y para el empleo que existe en México. `Y esto es natural, porque en los medios de comunicación nacionales e internacionales se advierte con puntualidad que una improbable presidencia de López traería como modelo económico uno que no ha funcionado en ninguna parte del mundo, ellos quieren convertir a México en Venezuela y no se los vamos a permitir`, advirtió. México, añadió el líder priista, merece mejor destino. `Meade propone que México sea una potencia. Una potencia donde las familias mexicanas tengan la certeza de que habrá comida en la mesa, seguridad en la calle y oportunidades para aprovechar y reconocer el esfuerzo de las mexicanas y de los mexicanos`, añade. Ante la declaración de López Obrador de revivir la Secretaría de Seguridad Pública y de acabar con la inseguridad en tres años, Ochoa Reza resaltó que el abanderado de Morena `propone liberar a los criminales, ponerlos en las calles, en lugar de tras las rejas, darle amnistía a quienes roban, secuestran o extorsionan, esa es la propuesta de López`. En ese contexto, señaló que esa propuesta de López Obrador claramente no funciona. `Liberar a los criminales no pacifica a México. Liberar a los criminales incrementará la inseguridad en las calles y en las casas de los mexicanos`, asevera. `Por eso la locura de López, de proponer liberar a los criminales no es atractiva para la ciudadanía`, abundó. De acuerdo con Ochoa Reza, además de proponer que liberará a los criminales, López Obrador ha propuesto endeudar al país `y todos sabemos el costo que tiene para las familias mexicanas, para el desempleo y la crisis económica cuando se endeuda al país irresponsablemente, como lo propone López`."
68860485,['Redacción'],PRENSA,2018-01-26T03:50:40Z,`La infraestructura potencia el crecimiento`,Impacto Diario,IMPRESO,Nota de Portada,Diario,43559.6,Portada,"LA INFRAESTRUCTURA POTENCIA EL CRECIMIENTO TREGA AMPLIACIÓN DE LA AUTOPISTA ARCO NORTE, TRAMO lOMULCO-JILOTEPEC. Y A PUNTO, DICE, DE CUMPLIR PROMES DE PROYECTOS CARRETEROS: 52 AUTOPISTAS Y 80 VÍAS FEDERALI mmm ACAMBAY Ante los titulares de los ejecutivos mexiquense y federal, Gerardo Ruiz Esparza, secretario de Comunicaciones y Transportes, aseveró que con la entrega de la ampliación de la autopista Arco Norte, en su tramo Atlacomuíco-Jilotepec, se complementa el libramiento más grande de México"
68590091,['Juan Bustillos'],PRENSA,2018-01-12T03:37:43Z,Sólo Para Iniciados // La lealtad de Osorio a Peña Nieto,Impacto Diario,IMPRESO,Columna Política,Diario,26142.4,Opinión,"En definitiva, la felicitación a IMPACTO, El Diario por sus 13 años de vida no fue el último documento que firmó Miguel Osorio Chong antes de estampar su rúbrica en el documento que marcó su salida de la Secretaría de Gobernación, pero sí lo hizo después de reunirse con su equipo para despedirse. Los admiro y respeto, les dijo. Sobre el Diario de esta casa escribió que se ha convertido en referente de la política nacional. Fue un hasta luego generoso que agradecemos cumplidamente, con la esperanza de hacerlo con un cruzado estilo hidalguense (sólo uno, que conste) en cuanto descanse un poco y vuelva a la carga, ahora como candidato del PRI a senador de la República, lo que, sin duda, le brindará otra oportunidad en sus aspiraciones. La publicación de la carta de Miguel coincidió con la afirmación de nuestra parte, sin titubeos ni juegos de tiempos verbales para cubrir una posible equivocación que habría sido monumental y lamentable en plena conmemoración del aniversario del nacimiento de IMPACTO El Diario, de que el miércoles 10 de enero entregaría su oficina a su compañero de gabinete, Alfonso Navarrete. Cuando seleccionamos el 10 de enero de 2004 para publicar la primera edición del Diario fue para hacer coincidir su nacimiento con la efeméride del arranque de la campaña de Luis Donaldo Colosio en 1994. Para nosotros, la fecha es emblemática. Ahora lo es también para Osorio. Desde 2004 también lo es para su sucesor, que aquel 10 de enero del 94 llegó, por primera ocasión, a Gobernación con Jorge Cárpizo. En septiembre de 2012, pocos días después de que Enrique Peña Nieto fue declarado Presidente Electo por el Tribunal Electoral del Poder Judicial de la Federación, se me dijo que con él sería con quien más trato tendría en el nuevo gobierno. De inmediato nos comunicamos y acordamos vernos pronto. No ocurrió así porque el diseño de la Secretaría de Gobernación, absorbiendo a lo que fue la Secretaría de Seguridad Pública, le ocupaba más de las 24 horas que tiene el día. Siempre me pregunté a qué hora dormía. Hubo ocasiones en que contestaba los mensajes vía BlackBerry a las cuatro de la madrugada; lo impresionante era que unas horas después estaba en alguna capital estatal encabezando reuniones de seguridad. Sólo por curiosidad reporteril, a la madrugada siguiente le enviaba algún mensaje y ¡lo contestaba! Por desgracia pasaron de moda los BlackBerry y perdí contacto con él; nunca tuve su número telefónico. En realidad nos vimos muy poco en sus cinco años como secretario de Gobernación y platiqué dos o tres veces con su hombre de mayor confianza, Jorge Márquez, pero la ausencia de ambos fue suplida con eficacia y lealtad por dos viejos amigos míos, el subsecretario Andrés Chao y mi antiguo compañero de guardia nocturna Roberto Femat l en la redacción de (El Heraldo y yo en la de El Universal). Creo que desde Manuel Bartlett, Miguel ha sido el secretario de Gobernación más fuerte. Don Fernando Gutiérrez Barrios también, pero le cercenaron los brazos le quitaron la relación con los medios de comunicación y lo que ahora es Cisen, pero además a Manlio Fabio Beltrones lo enviaron a gobernar Sonora no obstante, le bastó con su prestigio. A Osorio le tocó bailar con la más fea del sexenio y, por si fuera poco, desde el inicio de la campaña de Peña Nieto vivió enfrentado con Luis Videgaray. No hubo forma y, quizás, ni siquiera intento de conciliación de los dos hombres más poderosos del gobierno: el enfrentamiento marcó, en buena parte, el derrotero de la administración. En esas condiciones, Miguel le hizo un gran trabajo a Peña Nieto, que lo reconoció con una inusitada despedida en Los Pinos, a la que asistieron dos terceras partes de los gobernadores, la mitad del gabinete y los funcionarios más relevantes de la dependencia que condujo, con mano firme, por poco más de cinco años. Hay razón para el calor de la despedida presidencial. Miguel fue el primer personade de nivél, igual al que entonces tenía el gobernador Peña Nieto, que le habló de buscar la Presidencia. Desde entonces contó con su lealtad, aun cuando intencionadamente se difundían todo tipo de rumores, incluido el supuesto enfriamiento del mandatario porque el titular de Gobernación decidió promoverse en redes sociales para igualar el marcador con Andrés Manuel López Obrador y Ricardo Anaya, que usaban los spots de sus partidos para su promoción. Habrá tiempo y espacio para hablar de su gestión como titular de la política interior y de la lucha contra el crimen organizado; por ahora sólo destacar que la lealtad comprometida cuando le habló al gobernador mexiquense de buscar la candidatura presidencial del 2012 no falló ni siquiera cuando, en el 2017, Peña Nieto se inclinó por José Antonio Meade para encabezar la lucha por mantener al PRI en Los Pinos, no obstante ser el priísta mejor ubicado en las encuestas. Eso se llama lealtad porque cualquiera sabe que de haber sido otro habría aprovechado el poder de su posición en el gabinete para forzar su postulación como candidato presidencial."
68456924,['Redacción'],PRENSA,2018-01-04T04:52:54Z,"Alguien con mentalidad del Siglo XIX no puede gobernar el país, afirma Nuño",Impacto Diario,IMPRESO,Nota de Portada,Diario,36676.0,Portada,"Andrés Manuel López Obrador, candidato de Morena a la Presidencia de la República, tiene una mentalidad conservadora del siglo XIX, y no podemos permitir que una persona así pretenda gobernar el país en pleno siglo XXI, aseveró Aurelio Nuño Mayer. `López Obrador tiene la mentalidad de un conservador del siglo XIX, piensa en estamentos, piensa que la política se hace con privilegios corporativos y es por eso que hace una alianza con Elba Esther, porque piensa que eso le va a dar votos de los maestros y no el libre pensamiento y acción de los maestros de México`, señaló. En entrevista radiofónica con MVSNoticias, el coordinador de campaña de José Antonio Meade, precandidato del PRI a la Presidencia de México, apuntó que el morenista es un autoritario que no le gusta debatir y simplemente quiere que le obedezcan y responde con calificativos y no con argumentos. `Es un autoritario que le gusta mandar y no que hay un pensamiento critico en el país y eso se refleja en cómo hace política, de ahí esos reflejos de decir: `yo voy a perdonar al crimen organizado o que venga Elba Esther y a ver si me da unos votos, pesando como un conservador del siglo XIX, que cree en las corporaciones`, indicó. Nuño Mayer dijo que en el fondo, López Obrador le tiene miedo a la libertad y es por eso que está en contra de la Reforma Educativa y en contra de un debate. Abundó que el precandidato de Morena sigue sin poder explicar cuál es la lógica de perdonar criminales, en un país que ha sufrido tanto, donde hay tantas víctimas. `No sé si están mandando un guiño al crimen organizado, quieren hacer un pacto con él o simplemente es una locura y una ocurrencia (…) han sido incapaces de explicarnos por qué esa locura`, insistió. Reitero que la propuesta en materia educativa del tabasqueño es acabar con la reforma educativa, lo que significaría terminar con uno de los cambios más importantes que ha tenido nuestro país en los últimos años. `Cancelar la reforma significaría regresar a la herencia y venta de plazas, significaría que las plazas ya no se ganen por concurso y por méritos y que los maestros puedan hacer una carrera por sí mismos, significaría regresar a paros y largos días sin clases`, comentó. Su propuesta de acabar con la reforma educativa quiere decir muy en lo concreto que estaría cancelando el derecho de los niños y de las niñas a una educación de calidad, condenó el exsecretario de Educación Pública (SEP)"
68507662,['PGR'],PRENSA,2018-01-08T05:58:55Z,PGR (inserción),Impacto Diario,IMPRESO,Inserción,Diario,18360.1,Nacional,01800 00 854 00 hasvistoaajpgr.gob.mx www.gob.mx/pgr
