id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68887028,['Arturo R. Pansza'],PRENSA,2018-01-27T08:59:04Z,Derecho a la no discriminación múltiple contra menores: PRI,La Prensa,IMPRESO,Nota Informativa,Diario,12370.0,Nacional,"El grupo parlamentario en la Cámara Baja promueue iniciatiua de ley Arturo R. Pansza La fracción parlamentaria del PRI en la Cámara de Diputados promueve una iniciativa de ley dirigida a garantizar el derecho a la no discriminación múltiple o agravada en contra de los menores de edad, ello ante la amplia variedad y las recurrentes formas de distinción de que son objeto los niños y niñas mexicanos que pone en riesgo su sano desarrollo. Fue el presidente de la Comisión de Justicia del recinto deliberativo de San Lázaro, el priísta álvaro Ibarra Hinojosa, quien dijo que mediante la propuesta se busca reformar el artículo 4, fracción IX, de la Ley General de los Derechos de Niñas, Niños y Adolescentes, para que la definición de discriminación múltiple o agravada se adecúe a los más altos estándares internacionales y brinde mayor protección a los infantes, para lo cual se tomará como referencia la Convención Interamericana contra toda Forma de Discriminación e Intolerancia. El legislador federal por el estado de Nuevo León expuso que la etapa de la niñez, al ser un El grupo parlamentario en la Cámara Baja promueue iniciatiua de ley Arturo R. Pansza La fracción parlamentaria del PRI en la Cámara de Diputados promueve una iniciativa de ley dirigida a garantizar el derecho a la no discriminación múltiple o agravada en contra de los menores de edad, ello ante la amplia variedad y las recurrentes formas de distinción de que son objeto los niños y niñas mexicanos que pone en riesgo su sano desarrollo. Fue el presidente de la Comisión de Justicia del recinto deliberativo de San Lázaro, el priísta álvaro Ibarra Hinojosa, quien dijo que mediante la propuesta se busca reformar el artículo 4, fracción IX, de la Ley General de los Derechos de Niñas, Niños y Adolescentes, para que la definición de discriminación múltiple o agravada se adecúe a los más altos estándares internacionales y brinde mayor protección a los infantes, para lo cual se tomará como referencia la Convención Interamericana contra toda Forma de Discriminación e Intolerancia. El legislador federal por el estado de Nuevo León expuso que la etapa de la niñez, al ser un proceso de constante formación y desarrollo, es cuando las personas mantienen una mayor dependencia de otras, por ejemplo, para acceder a una alimentación adecuada, a servicios médicos y educativos y, en general, a cualquiera de sus derechos reconocidos. Por lo que están en una situación constante de vulnerabi lidad y expuestos a discriminación que muchas veces es falta de atención. Ibarra Hinojosa puntualizó que la discriminación hacia una persona se incrementa cuando además de ser menor de edad, es mujer, pertenece a un pueblo indígena o peor aún, cuando sufre algún tipo de discapaci dad. Hay personas que reúnen todas estas características y se le conoce como discriminación múltiple, comentó. Aseveró que ese tipo de discriminación agrava las condiciones de desarrollo de los infantes y cuando es persistente, determina la calidad de vida de la persona de manera definitiva."
68425703,['José Melton'],PRENSA,2018-01-02T01:29:43Z,Muere uniformado tras derrapar de su `caballo de acero`,La Prensa,IMPRESO,Nota de Portada,Diario,19264.1,Portada,"José Melton, fotos: Rogelio Tinoco José Melton, fotos: Rogelio Tinoco Terrible muerte encontró un elemento de la Secretaría de Seguridad Pública tras derrapar la motocicleta donde viajaba y estamparse contra un árbol en la Delegación Azcapotzalco; testigos solicitaron asistencia médica, pero falleció al instante del golpazo. Minutos después de las 6:00 de la mañana de ayer lunes, los cuerpos de emergencia fueron alertados sobre la presencia de un hombre inconsciente, tirado en el suelo y a unos metros una motocicleta roja Italika, por lo que de inmediato se trasladaron policías preventivos para corroborar la situación. Al llegar, los uniformados corroboraron la emergencia, sin embargo, notaron que se trataba de un compañero de la corporación, pues portaba el unifor me y en el cinturón sus fornituras con elementos propios de un policía capitalino, motivo por el que pidieron a la brevedad la presencia de una ambulancia. Testigos señalaron a los compañeros del lesionado que venía circulando por Avenida Aquiles Serdán, pero al cruce con Tierra Caliente, en la Colonia Tierra Nueva, un descuido provocó que perdiera el control y derrapara varios metros, hasta terminar su loca carrera estampado en un árbol. Minutos más tarde, paramédicos se presentaron al sitio del percance para valorar al elemento de la SSP CDMX, sin embargo, lo único que pudieron hacer fue certificar el deceso debido a las múltiples fracturas y golpes que sufrió tras golpearse con el árbol, por lo que el sitio fue acordonado y el agente del ministerio público notificado. Por lo menos una decena de policías permanecieron alrededor del cuerpo de quien fuera su compañero en la corporación mientras los investigadores de la Procuraduría capitalina se presentaban para iniciar con sus trabajos preliminares. Personal de la Policía de Investigación entrevistó a los posibles testigos para saber si se vio involucrado algún otro vehículo, por lo que también revisan las cámaras de Centro de Comando C5, en un intento por encontrar datos que comprueben lo sucedido. Concluidas las diligencias en el lugar del accidente, el cadáver del uniformado, identificado en el lugar, fue trasladado al anfiteatro de la coordinación territorial AZC-1 donde se inició la carpeta de investigación correspondiente por el delito de homicidio culposo por tránsito de vehículo contra quien resulte responsable. Mortal accidente en la Avenida Aquiles Serdán costó la vida del elemento de la SSP capitalina"
68957752,['Rubén Pérez'],PRENSA,2018-01-31T01:00:01Z,Hoy vence el plazo para tramitar credencial para votar: INE,La Prensa,IMPRESO,Nota Informativa,Diario,6191.02,Nacional,"Rubén Pérez El plazo se vence y este 31 de enero, es el último día para para tramitar, actualizar o corregir la credencial para votar con fotografía que expide el Instituto Nacional Electoral. Quienes no lo hagan no podrán participar en el proceso electoral del próximo lo. de julio. En su cuenta de Twitter el órgano que preside Lorenzo Córdova Vianello, dio a conocer que credenciales expedidas por el #IFE serán válidas para votar el lo. de julio. Asimismo, las autoridades electorales exhortaron a los interesados a acudir al módulo más cercano del INE con una identificación con fotografía, acta de nacimiento y comprobante de domicilio para poder dar entrada al trámite. El Instituto Nacional Electoral puso a disposición de la ciudadanía su Sistema de Atención Ciudadana para agendar una cita y realizar el trámite en la página https app-inter.ife.org.mx/siac2011/citas_initCapturaCitas.siac Sistema de Atención Ciudadana app-inter.ife.org.mx ¿Por qué necesitas hacer esto? Hay programas que usan algunas personas para hacer solicitudes múltiples automatizadas, estos no pueden pasar app-inter.ife.org.mx También se informó que los ciudadanos que realizaron el trámite en 2016 tendrán hasta el 2 de abril para ir por su credencial, pues de lo contrario si no se recoge será destruida y se procederá a la baja del Padrón Electoral."
68674339,['Redacción'],PRENSA,2018-01-17T05:07:32Z,"Matan a balazos a un hombre sobre la costera Miguel Alemán, en Acapulco",La Prensa,IMPRESO,Nota Informativa,Diario,4314.24,República Policiaca,"^E [ Sol de Acapulco ACAPULCO, Gro 16 de enero ( OEM-Informex En plena zona turística, sobre la Costera Miguel Alemán y a plena luz del día, un hombre fue asesinado a balazos en el interior del restaurante Las Palmas, ubicado en la Playa Tamarindo, en el fraccionamiento Hornos. Hasta el momento se ignora el motivo del crimen y las autoridades realizan labores de investigación en busca de indicios que los puedan conducir a los autores del delito de homicidio con arma de fuego."
68460194,['Redacción'],PRENSA,2018-01-04T07:02:42Z,Día de Reyes en la Arena México,La Prensa,IMPRESO,Nota Informativa,Diario,10804.7,Deportes,"fffr í 1 P única ocasión I® la función de Viernes Espectacular de Arena México se cancelará este 5 de enero, y se reprogramará para un día después -sábado- donde todos los niños festejarán la llegada de los Reyes Magos en la Catedral de la lucha libre mundial. Y esta será una función por demás especial, ya que los Pequeños Reyes Magos se harán presentes en la entrada principal de la Arena para sacarse la foto del recuerdo con todos los niños asistentes, además, en lo netamente luchístico, se presentará un interesante duelo en relevos increíbles entre Volador Jr. y Bárbaro Cavernario, contra Último Guerrero y Valiente, duplas pocas veces vistas y que prometen sacar chispas. Una de las rivalidades que marcaron el finado 2017 fue la que se dio entre Niebla Roja y Gran Guerrero, incluso llegando al duelo de máscaras protagonizando el LXXX1V aniversario del Consejo Mundial de Lucha Libre, por lo que este sábado se volve rán a enfrentar, ahora, en mano a mano. Antes Guerrero Maya Jr., Esfinge y Drone harán frente a un trío que se convirtió en el fenómeno del 2017, La Nueva Gene ración Dinamita, Sansón, Cuatrero y Forastero, los primeros dos próximos a viajar a Japón. Otro mano a mano que promete sorprender a la afición es el que protagonizarán Rey Cometa y Soberano Jr dos técnicos altamente espectaculares que surcarán los aires para deleitar al público presente. Pocas veces también se han visto juntos en la Arena México al Inmortal Titán y el poblano Pegasso. En esta ocasión se medirán ante los Cancerberos del Infierno, Virus y Raziel; y para iniciar las hostilidades Magia Blanca, Flyer y el debutante Audaz tendrán como rivales a Templario, Yago y Coyote. Día de Reyes en la Arena México, por única ocasión este sábado 6 de enero, en punto de las 17:00 horas, en la Catedral de la lucha libre mundial."
68455881,['Noel F. Alvarado'],PRENSA,2018-01-04T02:34:58Z,Pleitazo en un acto electoral de Sheinbaum,La Prensa,IMPRESO,Nota de Portada,Diario,14131.2,Portada,"En acto de Sheinbaum se enfrentan morenistas y leales al diputado Mauricio Toledo Noel F. Alvarado Nuevo enfrentamiento entre militantes de Morena y seguidores del diputado Mauricio Toledo -entre ellos funcionarios de la Delegación Coyoacán ocurrió en el primer acto por esta demarcación de la precandidata de Morena a la jefatura de gobierno, Claudia Sheinbaum Pardo, en Villa Quietud, donde arrojaron huevos al templete, cuando se presentaba al presidium. Durante la agresión, el reportero del periódico La jornada, ángel Bolaños, resultó herido en la cabeza y fue trasladado a un hospital para su valoración médica. En la plataforma estaban el precandidato al senado y presidente con licencia del partido en la ciudad, Martí Batres y los diputados locales Miguel Hernández y César Cravioto, este último coordinador del grupo parlamentario. Uno de los proyectiles alcanzó a la precandidata que de inmediato fue rodeada y protegida con una lona, para sacarla de lugar. En tanto, los agresores arremetieron con sillas que fueron arrojadas hacia los asistentes y hacia quienes continuaban en el templete, golpeando inclusive a personas de la tercera edad, que con algunas sillas plegadas usándolas como escudo intentaron proteger de las que les arrojaban. El grupo atacante replegó a los moralistas, los que comenzaron a desmontar el templete utilizando también los paquetes de propaganda de Morena, para arrojarla contra los simpatizantes y en algún momento arrojaron también un cohetón. Se logró identificar entre los agresores a una mujer de nombre Yolanda Antune, quien se dijo es jefa de unidad departamental en el área de Fomento Económico de la Delegación Coyoacán, así como personal de honorarios como Raquel Antune, quien labora en un Cendi, otro de nombre Juan Luis y Martín Soto, entre otros. Al respecto, la dirigencia del PRD en la Ciudad de México, expresó su deslinde total de los hechos de violencia suscitados, durante un aparente acto de precampaña del parti do Morena en la Delegación Coyoacán. Los responsables no solamente son personas ajenas a nuestro instituto, sino que llama poderosamente la atención, derivado de los videos que han trascendido en redes, que de nuevo se vea a sujetos que gritan PRD, PRD al momento de la agresión. Exigimos a las autoridades electorales y a las de la Procuraduría General de Justicia de la Ciudad de México, así como a la Fiscalía para la Atención de Delitos Electorales, su intervención para determinar responsabilidades y establecer la identidad y motivación de los agresores. Manifestamos nuestra total solidaridad con todos quienes fueron agredidos, entre ellos, ángel Bolaños, reportero del diario La jornada, presente en dicho evento. do Morena en la Delegación Coyoacán. Los responsables no solamente son personas ajenas a nuestro instituto, sino que llama poderosamente la atención, derivado de los videos que han trascendido en redes, que de nuevo se vea a sujetos que gritan PRD, PRD al momento de la agresión. Exigimos a las autoridades electorales y a las de la Procuraduría General de Justicia de la Ciudad de México, así como a la Fiscalía para la Atención de Delitos Electorales, su intervención para determinar responsabilidades y establecer la identidad y motivación de los agresores. Manifestamos nuestra total solidaridad con todos quienes fueron agredidos, entre ellos, ángel Bolaños, reportero del diario La jornada, presente en dicho evento."
68752724,['Rubén Pérez'],PRENSA,2018-01-21T03:40:45Z,"Llega a Chalco expo México, Patrimonio",La Prensa,IMPRESO,Nota Informativa,Diario,5726.24,Estado de México,"Rubén Pérez CHALCO, Méx 20 de enero La exposición itinerante México, Patrimonio Mundial, continúa su andar y ahora arribó en este municipio de la zona oriente del Estado de México, después de tener 32 mil visitantes en la localidad de Tlalnepantla. En las instalaciones de la Unidad Deportiva Solidaridad de Chalco, la muestra ofrece en un recorrido de 30 minutos, un viaje por las regiones naturales y zonas arqueológicas del país y de la entidad, mismas que están inscritas en la lista de Patrimonio Mundial de la UNESCO. La exposición multimedia incluye música, lenguas y danzas que, junto con la gastronomía, artesanías e indumentaria, integran el vasto patrimonio cultural intangible que posee México y el Estado de México. Marcela González, secretaria de Cultura, destacó que la promoción del arte, la cultura y el deporte es una herramienta indispensable para transformar vidas y llegar a ser mejores seres humanos, mejores ciudadanos, ejemplo para otras entidades. Agregó que el uso de las tecnologías actuales permite disfrutar de una experiencia envolvente y atractiva, principalmente para los jóvenes, niñas y niños de nuestra entidad. México, Patrimonio Mundial estará abierta al público de martes a domingo de 10:00 a 18:00 horas, su itinerancia en la entidad permite que un mayor número de mexiquenses puedan conocer más sobre las riquezas que posee el Estado y el país."
68752719,['Rubén Pérez'],PRENSA,2018-01-21T03:40:35Z,No permitirán retiro del vagón fatídico en Ecatepec,La Prensa,IMPRESO,Nota Informativa,Diario,3159.45,Estado de México,"Rubén Pérez ECATEPEC, Méx 20 de enero.Luego del fatal percance en la Colonia Jardines de Casa Nueva, en este municipio, tras el descarrilamiento de un tren, con saldo de cinco integrantes de una familia fallecidos, los vecinos de la zona advirtieron a los gobiernos municipal y estatal, que no permitirían el retiro del vagón que causó la tragedía, hasta en tanto no se garanticen las correspondientes indemnizaciones. Las familias de la calle Puerto Manzanillo se opusieron a que se retirara la tolva que mató a los cinco miembros de la familia hasta que las autoridades respondan por el deceso de las personas, además de que exigieron la pronta reparación de las vías para evitar que se vuelvan a presentar nuevas tragedias. Exigieron la revisión de al menos 9 kilómetros de vías que atraviesan varias colonias."
68619193,['Raúl Olmos'],PRENSA,2018-01-14T03:37:04Z,Los agitados días de Fox,La Prensa,IMPRESO,Nota Informativa,Diario,40084.5,Temas dominicales ,"Parte de esa información se integró a la averiguación previa que inició la PGR por los presuntos ilícitos cometidos por Fox. Dos meses después de este primer acercamiento, el Ministerio Público envió otra petición a la SFP para obtener más información del citado expediente. La colaboración con el órgano de fiscalización del Poder Ejecutivo se estrechó al paso de los días hasta integrar una sola investigación del caso. Al frente de la pesquisa estaba Oscar Javier Chino Vite, un joven abogado penalista egresado de la Universidad Nacional Autónoma de México, de militancia priísta, que había iniciado su labor como funcionario público en 1999, en el último tramo del sexenio de Ernesto Zedillo, y que -paradójicamente- logró consolidar su carrera durante el gobierno foxisla; inició investigando el tráfico de drogas y en 2006 se incorporó a la unidad encargada de rastrear y denunciar las tropelías de los políticos. Y vaya paradoja, uno de sus primeros encargos sería seguir las huellas de quien había sido su jefe: el expresidente Fox. En septiembre de 2010 Vicente Fox vivía días agitados, de emociones encontradas. El afamado cantante Elton John había aceptado ofrecer un concierto en su rancho, y aquel suceso prometía lanzar a la fama internacional el llamado Centro Fox, donde el expresidente había edificado un museo en su honor. La presencia del músico inglés garantizaba, además, la llegada de más ingresos vía donativos a las dos fundaciones que presidían él y su esposa Marta Sahagún. Vicente estaba feliz, pero con los nervios de punta, pues el recital requería una logística de relojero: de máxima precisión. El escenario se pretendía instalar entre sembradíos de brócoli y lo que había sido un establo, a 13 kilómetros al sur de la ciudad de León. Los 10,000 visitantes que esperaba recibir sólo tendrían acceso por una estrecha calle que atraviesa la comunidad de San Cristóbal. Tantos vehículos causarían un caos. Pese a los riesgos, las autoridades de Protección Civil se hicieron de la vista gorda y dieron su anuencia para el concierto que organizaba el expresidente, programado para el 15 de octubre de 2010. En esas estaba Vicente Fox, atareado con los preparativos, cuando recibió en su casa una visita inesperada: a la 1:30 p.m. del viernes 24 de septiembre tocó a la puerta de su casa una abogada que desde meses antes investigaba los millonarios depósitos que él y Marta Sahagún habían recibido en nueve cuentas de cuatro bancos entre 2001 y 2006, así como los bienes inmuebles no declarados. Xóchitl Jahel Espíritu Muñoz, quien se desempeñaba como directora de Evolución Patrimonial en el gobierno de Felipe Calderón, le entregó a Vicente un citatorio en el que le daba un plazo de 30 días para demostrar la legal procedencia de sus bienes y aclarar las inconsistencias en sus declaraciones patrimoniales y fiscales. Para verificar que quien lo había atendido era el expresidente, la funcionaría le pidió una identificación y él, confundido, mostró su pasaporte y firmó de recibido el citatorio. Aquel requerimiento no era un asunto menor. De inmediato, Fox llamó a sus abogados y les pidió que hicieran un análisis de las implicaciones de ese exhorto. Conforme revisaban el expediente que había entregado la investigadora, las cejas se arqueaban y se fruncían en una mezcla de sorpresa y enojo. Al final, las caras largas y las voces graves demostraron la seriedad de la acusación: la SFP había descubierto 27 millones de pesos de origen desconocido en las cuentas bancarias de Fox y su esposa. Los asesores legales de la otrora pareja presidencial reconocieron que si no se comprobaba el origen lícito de ese dinero, lo que procedía era presentar una denuncia penal. La sola posibilidad de ir a la cárcel o ser sometido a juicio despertó la furia de Vicente, quien achacó la investigación a una venganza de Felipe Calderón, al que había echado de su gabinete en 2004, cuando el michoacano expresó su intención de ser candidato panista a la presidencia. Sus diferencias se acentuaron y se volvieron odio. Aquel día de septiembre Fox dio un viraje radical y juró vengarse. Fragmento del libro Fox: negocios a la sombra del poder, del periodista Raúl Olmos, que reproducimos con permiso de la editorial Grijalbo."
68618435,['Genoveva Ortiz'],PRENSA,2018-01-14T08:53:37Z,"Producto de la improvisación y amiguismo, nombramiento de Alberto Bazbaz Sacal",La Prensa,IMPRESO,Nota Informativa,Diario,11553.1,Información General,"La improvisación en materia de seguridad pública, seguridad humana y seguridad nacional, ha sido la característica del actual gobierno federal y la designación de Alberto Bazbaz Sacal, al frente del Centro Información y Seguridad Nacional (CISEN) lo confirma, indicó la senadora Angélica de la Peña Gómez. La perredista apuntó que la designación de Bazbaz Sacal ha generado, no solamente críticas por haber privilegiado afectos personales y no experiencia y capacidad, sino también suspicacias, pues en el marco del inicio de las campañas electorales rumbo a la elección presidencial, coloca a un incondicional frente a un ente que durante sexenios ha sido acusado de espionaje político. Dijo que la carrera en la administración pública del hoy director general del CISEN ha sido más que lamentable, siendo recordado más por el escándalo alrededor del caso de la niña Paulette, que por haber obtenido resultados en el combate a la inseguridad y de la delincuencia organizada mientras fue titular de la Procuraduría General de Justicia del Estado de México, nombrado por el entonces gobernador mexiquense Enrique Peña Nieto. La legisladora recordó que mientras Alberto Bazbaz fue responsable de la Unidad de Inteligencia Financiera de la Secretaría de Hacienda -nombrado por el Presidente de la República- de 2013 a 2017, solamente fueron interpuestas 317 denuncias por presuntos hechos de lavado de dinero, a pesar de que México es el tercer país en el mundo con el mayor flujo de recursos financieros ilícitos, estimándose extraoficialmente que se lavan entre 50 y 60 mil millones de dólares al año. De acuerdo a datos del IV informe de Gobierno, entre septiembre de 2015 y julio de 2016 se aseguraron únicamente 237 millones de pesos y 4.2 millones de dólares en las operaciones de combate al lavado de dinero. La senadora Angélica de la Peña indicó que el nombramiento de Alberto Bazbaz Sacal como director del CISEN es una grave equivocación, pues su ineficiencia en el servicio público está más que comprobada."
