id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68471337,['Staff'],PRENSA,2018-01-05T01:39:35Z,Atentado suicida en Kabul deja 11 muertos y 25 heridos,Reporte Indigo Cinco Días,IMPRESO,Nota Informativa,Diario,29915.3,Nacional,"INDIGO STAFF Al menos 11 personas perdieron la vida y otras 25 resultaron heridas en un atentado suicida que tuvo como objetivo a las fuerzas de seguridad de Afganistán en Kabul, la capital del país, informó el Ministerio afgano del Interior. La explosión ocurrió en los límites del noveno distrito policial en la ciudad, donde se encontraba reunido un gran número de oficiales, confirmó Najib Danish, portavoz del citado ministerio, al dar cuenta del ataque que fue reivindicado por el grupo yihadista Estado Islámico ( El ). En este sentido el vocero de la policía afgana, Basir Mu jahid, indicó que se trató de un atentado suicida pero no dio mayores detalles sobre dicho evento. Algunos reportes señalan que los policías realizaban una operación contra vendedores de sustancias ilícitas, mientras que otros indican que los oficiales habían acudido al lugar para tratar de dispersar a los participantes de una protesta. Al notar la presencia de los agentes de seguridad un hombre se acercó y detonó los explosivos que portaba. Recientemente, Kabul ha sufrido ataques suicidas, el más grave fue la semana pasada y dejó más de 40 muertos y 90 heridos dentro de un centro cultural, atentado que los yihadistas asumieron"
68649830,['Lourdes González'],PRENSA,2018-01-16T02:09:59Z,Sube el costo político,Reporte Indigo Cinco Días,IMPRESO,Nota de Portada,Diario,164032.0,Portada,"El centro de la preocupación durante la semana pasada fue la especulación del esperado anuncio de Donald Trump de su salida del Tratado de Libre Comercio de América del Norte (TLCAN), lo que llevó a las automotrices a salir en defensa del acuerdo comercial. `Lo anterior disipó el miedo de que la delegación estadounidense pueda anunciar una salida del TLCAN durante la sexta ronda de renegociación programa para los días 23 al 28 de enero`, indicó un reporte de Banco Base. La expectativa es que durante la sexta ronda en Canadá se alcancen acuerdos importantes, incluyendo una cláusula para que el pacto comercial sea revisado de manera periódica cada cinco años, sin que esto implique la posibilidad de una muerte súbita del acuerdo, señala el documento. Los mercados financieros en Estados Unidos no tuvieron actividad ayer por el día de Martin Luther King. Sin embargo, la recuperación del peso se atribuyó a una menor probabilidad de que Donald Trump abandone el pacto comercial. De esa forma, la divisa mexicana registró su tercer jornada consecutiva de ganancias para cerrar en su mejor nivel desde el 5 de diciembre pasado. VISIÓN OPTIMISTA Por otro lado, la industria automotriz mexicana se ha beneficiado del TLCAN como lo demostró el año pasado con un récord en fabricación y en exportación de unidades a Estados Unidos. De acuerdo a cifras de la Asociación Mexicana de la Industria Automotriz (AMIA), pese a las amenazas por la renegociación del acuerdo comercial, se fabricaron en México 3.7 millones de vehículos ligeros y estimaciones conservadoras apuntan a que en el presente año rebasará las 4 millones de unidades producidas en el país. Otra presión para la manufactura automotriz mexicana vino por el alza de la inflación, que registró el nivel más alto en los últimos 17 años para cerrar en 6.77 por ciento. El factor de riesgo para el sector automotor mexicano en 2018 será la renegociación del tratado comercial porque el 74.2 por ciento de los autos exportados desde México tienen como destino Estados Unidos, de tal suerte que México tuvo una participación de 13.6 por ciento del total de unidades nuevas vendidas en el mercado estadounidense al cierre del año pasado. Los beneficios del TLCAN son reconocidos en Estados Unidos y así lo manifestó la presidenta ejecutiva de General Motors, Mary Barra, quien confía en que el acuerdo comercial sobrevivirá, al mismo tiempo que otros funcionarios de la firma defendieron los planes de continuar fabricando camionetas en México, de acuerdo a la agencia Reuters. Los pronunciamientos a favor del tratado comercial ocurrieron en un evento previo al inicio del auto show de Detroit pese a la insistencia de la administración de Trump de acabar con el pacto. Este optimismo de la automotriz respecto al TLCAN estuvo marcado por el anuncio de su rival Fiat Chrysler, de mover la producción de la siguiente generación de camioneta de uso rudo a Michigan y que se fabrica en México. La medida fue interpretada como una estrategia de negocio por si colapsa el pacto comercial ya que evitaría pagar un impuesto de 25 por ciento. LA UNIÓN HACE LA FUERZA La amenaza de Donald Trump de acabar con el TLCAN, como lo hizo con el Acuerdo de Asociación Transpacífico (TPP, por sus siglas en inglés) en los primeros días de llegar a la Casa Blanca, ha sido considerada como una táctica de negociación, por parte de algunos participantes del mercado. A pocos días de cumplir un año como presidente de Estados Unidos, Trump se empeña en sacar la agenda política que lo llevó a esa posición: regresar las plantas manufactureras a su país, reducir el déficit comercial con México (de lo que culpa al TLCAN), etc. La presión política no es menor, tomando en cuenta que en noviembre próximo se celebran elecciones intermedias en Estados Unidos y Trump quiere llegar con un Partido Republicano bien posicionado frente a su base política. Entre los objetivos que busca la administración de Trump está subir las reglas de origen para el sector automotriz de un 62.5 por ciento, que está vigente a un 85 por ciento y que de ese total un 50 por ciento sea de contenido estadounidense. Al respecto, el presidente de la AMIA, Eduardo Solís ha sostenido que el sector automotor mexicano va a la sexta ronda de conversaciones con la postura clara de que las reglas de origen del acuerdo comercial son las que han permitido a esa industria llevar a niveles exitosos a la producción y empleo de los tres países. Esa defensa ha tenido eco en las organizaciones empresariales de los tres países, a la que se ha unido siete asociaciones como la AMIA, Global Automakers of Canada, Canada Vehicle Manufacturers Association, Global Automarkers, Auto Alliance y American Automotive Policy Council."
68651242,['Redacción'],PRENSA,2018-01-16T03:26:23Z,Huye de orden de aprehensión,Reporte Indigo Cinco Días,IMPRESO,Nota Informativa,Diario,24462.2,Nacional,"El excantante -conocido como Francisco Xavier- y exsenador de la República, aspira a tener nuevamente un escaño en el Senado por la coalición del PAN-PRD-MC. El panista, que ya fue también candidato del PAN a la gubernatura de Hidalgo, ha enfrentado varios problemas con la justicia. El más reciente fue la demanda por daño moral que interpuso contra él omar Fayad, hoy gobernador de Hidalgo, pues en un debate durante la campaña del 2015, Berganza lo involucró en un asesinato y lo cuestionó por su preferencia sexual. El panista tuvo que pagar una indemnización millonada a Fayad. En 2006, mientras hacía campaña como candidato a Senador por MC, fue acusado de tentativa de violación, delito que no le fue probado. Y en 1999, cuando era candidato a gobernador por la coalición PAN-PVEM, fue acusado de secuestrar a un empresario ganadero, caso por el que se libró una orden de aprehensión en su contra de la que él huyó, permaneciendo prófugo por tres años, hasta que el caso terminó archivándose por falta de pruebas. En 1999, Berganza fue acusado de secuestrara un empresario ganadero"
68717065,['Correspondencia'],PRENSA,2018-01-19T01:47:48Z,Crece resistencia en Mexicali,Reporte Indigo Cinco Días,IMPRESO,Carta Abierta,Diario,17365.3,Nacional,"CRECE RESISTENCIA EN MEXICALI Sel Vita Macri y sus terratenientes amigos y extranjeros cercando los lagos en la Patagonia. Pero resulta q los violentos y legítimos dueños de esa tierra son los mapuches. Riaj Israel Hace 12 años lo decía en las redes, que votaran por AMLO por que es tiempo de buscar otros modelos o sistemas, ya que el capitalismo y la globalización están destinados a fallar y terminar con el planeta."
68567526,['Correspondencia'],PRENSA,2018-01-11T02:26:16Z,El ombudsman cadenero,Reporte Indigo Cinco Días,IMPRESO,Carta Abierta,Diario,10203.2,Nacional,"EL OMBUDSMAN CADENERO Luis Mathius González Que bueno que exista un organismo que nos protege, junto con la Suprema Corte de Justicia, al menos eso dicen en sus comerciales Pinches ineptos, vendidos, acomodados. Miranda González D.H solo defiende a personas con antecedentes penales."
68693823,['Antonio Navalón'],PRENSA,2018-01-18T02:05:59Z,Los Puntos Sobre las Íes // Borrón y cuenta nueva,Reporte Indigo Cinco Días,IMPRESO,Columna Política,Diario,56908.3,Nacional,"Hemos pasado de ser un país que le temía al estallido del México bronco, a uno que atraviesa por una guerra civil inconfesa. Hemos pasado de ser un país donde la norma política era no dar razones para que se produjeran los estallidos de un pueblo tan herido y lacerado, a un país en el que manejamos los valores a la conveniencia de un proceso electoral. No hemos dejado de escuchar que López Obrador es un peligro para México, que cuando él llegue todo será cuestionado y que incluso podría destruir el `desarrollo` del país. Curiosamente los que nos dedicamos a hablar y a observar con detenimiento la situación de México, nos hemos dado cuenta de que en muchos sentidos hemos llegado al final. A Benito Juárez le pasó lo mismo en otro momento de la historia, ya no había manera de seguir lidiando con un gobierno que en el fondo era un fiel intérprete de la voluntad de la Iglesia, y por eso las Leyes de Reforma que impulsó marcaron para siempre y de forma indeleble la historia del país. Esa decisión disminuyó la presión social, y es que, muchas veces una ley revolucionaria evita revoluciones. Ahora en este México tan enfrentado, tan lastimado y con tan poco margen de maniobra; hablar de paz y amor, incorporar la piedad como un valor social y proponer un borrón y cuenta nueva, es una dialéctica que si se une al término de amnistía, puede generar una enorme confusión. Porque no creo que sea posible restaurar la existencia del Estado –que en mi opinión es lo que está en juego–, ni la fe pública, proponiendo más perdones. Y en ese sentido, sé que en la historia del mundo Robespierre fue una figura referencial de los excesos, pero también sé que las revoluciones se hacen con cambios dramáticos, y que la historia como los seres humanos son paridos en medio de dolor y sangre. Sin embargo, yo le recomendaría al líder de las encuestas que además de continuar con amor y paz, sería conveniente que conociera la política de reconciliación que implementó Nelson Mandela en Sudáfrica. Porque cuando uno va a gobernar sociedades tan heridas como la nuestra, no es que se tenga que instaurar unalimpieza a lo Robespierre, tan violenta, pero tampoco se puede permitir que la historia pase sin que haya por lo menos una condena moral. El `borrón y cuenta nueva` de AMLO no tiene cabida. Y si es un mensaje para tranquilizar a los que se podrían poner muy nerviosos al pensar que pueden pasar de los palacios de gobierno a los reclusorios, no sirve. Pero no estoy pidiendo que corra la sangre, ni que la ley del péndulo haga justicia. Lo que estoy pidiendo es que al pueblo México se le demuestre que todo lo que ha sufrido durante tanto tiempo, no será gratis."
68651229,['Redacción'],PRENSA,2018-01-16T03:25:30Z,Inhabilitado para ejercer cargos públicos,Reporte Indigo Cinco Días,IMPRESO,Nota Informativa,Diario,22030.3,Nacional,"El exalcalde de Santa Catarina, Nuevo León ( 2006-2009 buscaba repetir ese cargo pero no bajo las siglas del PAN, con quien llegó la primera vez, sino por la coalición de Morena-PTPES. Sin embargo, el acuerdo político no prosperó y la candidatura no se logró. Herrera enfrentó acusa ciones de desvío de recursos del Fondo Metropolitano por 90 millones de pesos, por lo que había sido inhabilitado por siete años para ejercer cargos en la administración pública. Sin embargo, en 2012, el Tribunal de Justicia Administrativa lo exoneró. Renunció al PAN en 2015. Herrera enfrentó acusaciones de desvío de recursos del Fondo Metropolitano por90mdp, fue inhabilitado por siete años, luego fue exonerado"
68717084,['Correspondencia'],PRENSA,2018-01-19T01:49:01Z,La tecnología detrás del dinero,Reporte Indigo Cinco Días,IMPRESO,Carta Abierta,Diario,21805.2,Nacional,"LA TECNOLOGÍA DETRÁS DEL DINERO Eddy Cantú Creo que la gente debe de informarse más sobre este tema, todos queremos hacer dinero rápido y fácil, pero en el intento puedes perderlo todo. Medina Jear Regulación solo significa que los Gobiernos aún no tienen como obtener lucro de ello. León Ortiz Naranjo Si ni el gobierno de EU tiene el monopolio del dinero. Es otro truco de los grandes bancos. Cuidado"
68765135,['Staff'],PRENSA,2018-01-22T01:58:55Z,Promocionan a Quintana Roo en la FITUR,Reporte Indigo Cinco Días,IMPRESO,Nota Informativa,Diario,22351.9,Nacional,"Promocionana Quintana Roo enlaFITUR ESPECIAL La secretaria de Turismo, Marisol Vanegas calificó de exitosa la participación de Quintana Roo en la Feria Mundial de Turismo ( FITUR en donde se reforzó la promoción turística con Europa. La delegación de Quintana Roo liderada por el gobernador Carlos Joaquín sostuvo una intensa agenda de trabajo que incluyó el lanzamiento oficial de la camiseta del Real Club Deportivo Espanyol para reforzar el liderazgo y solidez de la industria turística. Vamos a robustecer nuestra presencia en Europa y para ello conformamos el grupo de consulta, integrado por expertos que aportarán su conocimiento. Queremos contar con su apoyo y compromiso para continuar detonando la inversión, el desarrollo y el empleo tanto en el norte, centro y sur de Quintana Roo, expresó la secretaria de Turismo."
68567407,['Staff'],PRENSA,2018-01-11T06:55:25Z,Assange ya es ecuatoriano,Reporte Indigo Cinco Días,IMPRESO,Nota Informativa,Diario,25807.1,Nacional,"El fundador de WikiLeaks, Julián Assange, recibió la nacionalidad ecuatoriana, luego de permanecer recluido en la Embajada de ese país en Londres, por casi seis años. Al darse a conocer dicha noticia el propio Assange publicó en su cuenta de Twitter una fotografía en la que luce la camiseta de la selección ecuatoriana de fútbol. El Registro Civil de Ecuador muestra el hacker cuenta con la cédula número 1729926483, que acredita su ciudadanía, la cual se estima recibió desde el pasado 21 de diciembre de 2017. De esta forma, Assange, australiano de nacimiento, perdería la condición de asilado que obtuvo en 2012, puesto que un país no puede conceder asilo a sus propios ciudadanos. Pero no perdería la protección que le ha otorgado Ecuador todos estos años ya que, como nacional suyo, el país puede hacer uso de la protección diplomática. Esta noticia se conoce un día después de que la ministra de Exteriores de Ecuador, María Fernanda Espinosa, revelara que el Gobierno de Lenín Moreno buscaba una mediación internacional para resolver la insostenible situación de Assange. El anterior Gobierno, presidido por Rafael Correa, concedió a Assange asilo político en 2012 pero Reino Unido, donde se encontraba en esos momentos, se negó a concederle un salvoconducto para que viajara a Ecuador alegando que debía ejecutar una orden de detención cursada por la Justicia sueca. Assange alega que de ser detenido, será extraditado a Estados Unidos, que le persigue por publicar de documentos clasificados Julián Assange publicó en Twitter una fotografía portando la playera del equipo de Ecuador."
