id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68490981,['Ricardo Muñoz Munguía'],REVISTA,2018-01-06T11:51:04Z,De Culpa y Expiación,Siempre,IMPRESO,Nota Informativa,Semanario Político,47310.9,Nacional,"De culpa y expiación ( Parentalia ediciones, México, 2017 ) exime a los peces de aquella sentencia que los hace víctimas y culpables: El pez por la boca muere, la que hace referencia a los peces cuando muerden el anzuelo y, entonces, literalmente, habrán de morir. Así con las personas que con su palabra pueden morir, aquí de muchos modos. Y, precisamente, la autora de En cada cicatriz cabe la vida, entre otros poemarios, abre su breve volumen para señalar que tal sentencia no debiera aplicar con el bocado que busca el pez, que con la palabra que compromete a alguien: Los peces no murieron por su boca/con alevosas redes los pescaron. La culpa, por supuesto, no debe caber en ningún animal, pues el raciocinio marca/enmarca la absoluta diferencia con las personas. De culpa y expiación expande estas temáticas desde su estupenda portada, a cargo de Gerardo Torres, donde los peces enmarcan sus olores, sus sabores, sus encantos su relación con el hombre y, sobre todo, con la mujer. Y, por igual, también son el pretexto de Rivadeneyra para que conjunte los sueños algo recurrente en gran parte de su obra y el erotismo, que en los escasos flashazos que dibuja con sus versos, provoca hasta la culpa y el deseo es expiación La culpa va más allá del rompimiento de alguna regla o el golpe de al* guna traición, es una sensación de ahogo interior, y algo que también va tomado de la mano con el razonamiento, pues no podría entenderse * de otro modo. Por otro lado, es una de las emociones con una carga impresionante de imágenes que, por su esencia/presencia, definen el * contenido para explotarse de muchos modos a través de la pluma. Sin #embargo, en el poemario que hoy nos ocupa, se concentra, se puntua® liza y, para ello, se detiene en la no culpa, aquí la de los peces, pero sí la culpa de las personas, en las que brota y aplica la expiación, con * medida carga se acentúa la intención de borrar culpas pues, como tal, ningún sacrificio aparece pero, clava en el espíritu la cicuta de la culpa: J Para volver/ sin culpas a tu casa/ pones en escabeche las palabras/ * les quitas la canela a las miradas/ le quitas la sazón a la esperanza/ y te * vas caminando como insomne/ en medio de un silencio de biznaga. Lucía Rivadeneyra ( Morelia, Michoacán, 1957 ) con su plaquette"
68743593,['Nora Rodríguez Aceves'],REVISTA,2018-01-21T09:37:11Z,Meade pagará los lastres del gobierno peñista,Siempre,IMPRESO,Entrevista,Semanario Político,219853.0,Nacional,"ENTfPISTfl Virgilio Bravo Peralta/Analista político MEADE PAGARÁ LOS LASTRES DEL GOBIERNO PEÑISTA José Antonio Meade Kuribreña, precandidato presidencial del pri, está enfrentando un escenario político electoral muy complicado, aun cuando el exsecretario de Hacienda sea un hombre profesional tico, honrado, serio y cuente con un impecable historial académico y administrativo como lo presentan sus coordinadores de campaña, no es suficiente para pagar los platos rotos, atender y saldar las deudas que en materia económica, de seguridad y corrupción tiene la administración de Enrique Peña Nieto con los mexicanos. Al abanderado del tricolor le pesará haber participado en el gasolinazo, aplaudido la visita de Donald Trump, formar parte de este grupo El registro de la precandidatura. POR NORA RODRIGUEZ ACEVES económico tecnócrata que nos tiene endeudados, que ha disparado la inflación y que ha causado mayor pobreza, y sin demérito de los señalamientos de corrupción en el manejo de recursos públicos, asegura Virgilio Bravo Peralta, director del Centro de Negociación, Medición, Conciliación y Arbitraje y del Instituto Internacional de Estudios de Derecho y Jurisprudencia. Destaca que hoy, en pleno siglo XXI, en los países que hay elecciones, las personas que tienen un TIENE QUE ROMPER DE MANERA DRÁSTICA, FUERTE, CON EL PRESIDENTE DE LA REPÚBLICA Y EL SECRETARIO VIDEGARAY. deterioro en su capacidad adquisitiva, en su economía familiar, votan generalmente con el estómago no con la cabeza. El escenario en este momento, para que el candidato pueda tener un buen resultado, pasa por los resultados negativos del gobierno de Peña Nieto, tendrá que recoger esa siembra que han hecho durante estos años y cosechará números negativos, eso ha sucedido siempre. No veo cómo puedan revertido y convertir estos números en algo positivo, porque finalmente habrá esta sanción por parte del electorado. ROMPER CON PEÑA Y VIDEGARAY Bravo Peralta afirma a Siempre! que Meade tiene un lastre muy pesado, difícilmente se podrá desligar, romper, con todo ese grupo que lo colocó como precandidato del PRI. Tiene que romper con Virgilio Bravo Peralta. las personas que son un lastre y una carga, con ese grupo que representa lo negativo de este gobierno, y eso no lo estamos viendo. Tiene que romper de manera drástica, fuerte, distanciarse de sus principales mentores, padrinos, promotores, que pueden ser el presidente de la república y el secretario de Relaciones Exteriores, Luis Videgaray, agrega. Aunque el politólogo reconoce que eso se ve muy complicado y muy difícil, primero, por la personalidad de Meade, y segundo, por los compromisos adquiridos, las complicidades que ha implicado pertenecer a ese grupo político en estos últimos años. El lastre es muy pesado, probablemente mucho más pesado que el que tuvo Luis Donaldo Colosio, quien finalmente se estaba desligando, no del presidente, sino probablemente de algún círculo cercano al mandatario, pero el saldo de Carlos Salinas en ese momento no era negativo, lo supimos después, en este caso el saldo de Enrique Peña Nieto ya es negativo. Advierte que el hecho de que José Antonio Meade no se desprenda, no rompa ya con ese grupo le seguirá constituyendo un lastre, una carga muy pesada, si no lo logra operará en su contra y todos estos aspectos negativos que comento, estas deudas de violencia y corrupción que nos deja este gobierno se las cargarán a él, las pagará completitas aunque no haya sido él o haya participado en menor medida. No romper, lo hemos visto aquí y en otras partes del mundo, implica un costo, y él lo pagaría. GOBIERNO FEDERAL REPROBADO Bravo Peralta considera que, además de la situación económica, tanto la seguridad como la corrupción en México serán dos temas que estarán presentes en las campañas electorales e influirán de una manera definitiva en los ciudadanos que irán a votar el próximo 1 de julio. De acuerdo con los datos publicados en los medios, 2017 ha sido el mes más violento del sexenio de Enrique Peña Nieto, con unos índices de homicidios solo comparables con los de 2011, en plena guerra contra el crimen organizado emprendida por el entonces presidente Felipe Calderón Hinojosa. La violencia que vivimos los mexicanos, literalmente, en cualquier parte del país, en cualquier rincón, en todos los niveles, cualquier tipo de delincuencia desde la organizada hasta la de menor impacto, ha generado una percepción de que este gobierno no ha cumplido con esa mínima garantía de seguridad pública que todo ciudadano debe tener, indica el analista político. Se pensaba que con este gobierno de Peña Nieto, con las políticas que se instrumentarían, con los discursos instrumentados y las personas que estarían encargadas, la inseguridad y la violencia disminuirían sensiblemente, pero ha sido todo lo contrario. En materia de seguridad, el gobierno federal está reprobado, existe una total desaprobación de las acciones del gobierno, por eso se ha incrementado esta percepción de total rechazo, de total castigo a este gobierno, y se verá el próximo 1 de julio. LA CORRUPCIÓN LASTIMA El consultor e investigador en temas de legislación, seguridad nacional, políticas públicas, educación, negocios, tecnologías de la información y comunicación destaca que la corrupción es el gran tema de este país, y ahí sí todos los partidos, todas las cúpulas, incluidos los grupos de poder, están involucrados en que no se combata. La corrupción es algo que lastima, que duele a la sociedad, porque es quien la sufre con los trámites ante el gobierno federal, con la falta de apoyo de las autoridades, por ejemplo, con las tarjetas del Banco del Ahorro Nacional y Servicios Financieros, con la estafa maestra o los actos de corrupción en donde están implicados gobernadores, principalmente del PRI. La corrupción es un tema en el que desafortunadamente la clase política está unida en no permitir su combate frontal, donde la sociedad lo sufre en mayor medida y donde al PRI se le están cargando cada vez más este tipo de fenómenos, asegura Bravo Peralta. Indica que la inseguridad y la corrupción son dos temas que estarán presentes a lo largo de toda la campaña, pero de manera extraña ninguno de los precandidatos ha tomado en sí la bandera de combate a la corrupción, nadie le ha declarado una guerra frontal, eso es grave, sobre todo porque es la clase política y son quienes tienen todos los recursos y los instrumentos, el marco legal para poder hacerlo. En opinión de Bravo Peralta, el único que habla de corrupción constantemente es Ricardo Anaya, Morena ocasionalmente y el PRI solo en la guerra sucia con Morena. Son los grupos LA SITUACION QUE SE VIVE BENEFICIA A LÓPEZ OBRADOR, PORQUE ADEMÁS MANEJA UN DISCURSO SOCIAL QUE YA PERMEÓ. EN EL PRI PUSIERON A LA PERSONA MÁS FRÁGIL, MÁS DÉBIL. empresariales quienes han señalado, incluso en las negociaciones del Tratado de Libre Comercio de América del Norte, la corrupción que existe. Los organismos internacionales recientemente también han señalado que nuestro gobierno no ha cumplido con el combate a la corrupción. Hay un fracaso total de combate a la delincuencia, la violencia exacerbada, y no se ve en el escenario político electoral quién esté ya formulando propuestas concretas, apunta. DISCURSO POPULISTA, EL BENEFICIADO Bravo Peralta asegura que todo este panorama beneficia a aquellos que tienen un discurso más social, popular o de víctima, de redención, de salvación, que podemos llamarles populistas, pero es principalmente ese discurso el que se beneficia. Es ahí donde veo complicado para Anaya colocarse en alguno de ellos, porque finalmente el PAN ha sido copartícipe de estos resultados. Donde sí puede tener un impacto es en su discurso de la corrupción. Se irá viendo cómo se delinean y se perfilan estos discursos, porque ahorita lo que la gente quiere escuchar es, primero, que se combata y se acabe el problema de la inseguridad; dos, cómo recuperar la economía familiar, es ahí donde los candidatos tendrían que abocarse: quién es más creíble que otro, quién tiene un mejor discurso, quién romperá con esos compromisos para posicionarse. Sinceramente veo muy complicado el escenario para Meade, cuesta arriba con un pasivo como nunca había tenido un candidato priista, asegura Bravo Peralta. Aun cuando no se puede decir que Morena y sus candidatos son unas personas llenas de pureza y en un castillo de cristal, ahorita el lastre, las deudas, el fardo, están del otro lado. Por tanto, la situación que se vive en el país beneficia a López Obrador, porque además maneja un discurso social, anticorrupción, de la mafia de la política, que ya permeó; difícil para Meade que hoy en día la mayoría de la sociedad no logra conocerlo, igual que a Anaya. En opinión del doctor en derecho por UNAM, en el PRI pusieron a la persona más frágil, más débil, que está comprometida o tiene conocimiento de todos los negativos económicos de este gobierno. La apuesta ha sido muy arriesgada, audaz, están pensando en que el electorado se olvide, concluye Bravo Peralta, f EN EL PRI PUSIERON A LA PERSONA MÁS FRÁGIL, MÁS DÉBIL. empresariales quienes han señalado, incluso en las negociaciones del Tratado de Libre Comercio de América del Norte, la corrupción que existe. Los organismos internacionales recientemente también han señalado que nuestro gobierno no ha cumplido con el combate a la corrupción. Hay un fracaso total de combate a la delincuencia, la violencia exacerbada, y no se ve en el escenario político electoral quién esté ya formulando propuestas concretas, apunta. DISCURSO POPULISTA, EL BENEFICIADO Bravo Peralta asegura que todo este panorama beneficia a aquellos que tienen un discurso más social, popular o de víctima, de redención, de salvación, que podemos llamarles populistas, pero es principalmente ese discurso el que se beneficia. Es ahí donde veo complicado para Anaya colocarse en alguno de ellos, porque finalmente el PAN ha sido copartícipe de estos resultados. Donde sí puede tener un impacto es en su discurso de la corrupción. Se irá viendo cómo se delinean y se perfilan estos discursos, porque ahorita lo que la gente quiere escuchar es, primero, que se combata y se acabe el problema de la inseguridad; dos, cómo recuperar la economía familiar, es ahí donde los candidatos tendrían que abocarse: quién es más creíble que otro, quién tiene un mejor discurso, quién romperá con esos compromisos para posicionarse. Sinceramente veo muy complicado el escenario para Meade, cuesta arriba con un pasivo como nunca había tenido un candidato priista, asegura Bravo Peralta. Aun cuando no se puede decir que Morena y sus candidatos son unas personas llenas de pureza y en un castillo de cristal, ahorita el lastre, las deudas, el fardo, están del otro lado. Por tanto, la situación que se vive en el país beneficia a López Obrador, porque además maneja un discurso social, anticorrupción, de la mafia de la política, que ya permeó; difícil para Meade que hoy en día la mayoría de la sociedad no logra conocerlo, igual que a Anaya. En opinión del doctor en derecho por UNAM, en el PRI pusieron a la persona más frágil, más débil, que está comprometida o tiene conocimiento de todos los negativos económicos de este gobierno. La apuesta ha sido muy arriesgada, audaz, están pensando en que el electorado se olvide, concluye Bravo Peralta, f"
68743836,['René Sánchez'],REVISTA,2018-01-21T09:55:54Z,Los pelos en la mano,Siempre,IMPRESO,Nota Informativa,Semanario Político,35911.4,Nacional,"Doce son los apóstoles, doce los meses del año y doce son los escritores jóvenes que Rogelio Guedea ( Colima, 1974 ) seleccionó para conformar un interesante libro que tituló Los pelos en la mano. Cuentos de la realidad social. Se trata de una compilación de trabajos escritos de este género literario, donde mujeres y hombres, todos ellos nacidos en nuestro país entre los años de 1970 a 1978, abordan desde diferentes aristas, la situación actual de inseguridad nacional que tiene de cabeza al Estado como a todos los ciudadanos. No se trata de jóvenes aprendices, aficionados o primerizos, sino de escritores con camino andado por las letras. Todos son articulistas en periódicos y revistas, algunos profesores universitarios, varios becarios o egresados de talleres literarios, pero lo más importante es que tienen libros publicados con anterioridad y dos de ellos con obra traducida en varios idiomas. Igual, cuentan con maestrías y doctorados ( en ciencias del lenguaje, literatura, más el caso de un filósofo de la ciencia ) así como con premios recibidos por su trabajo. Ellas ( Julieta García, Mayra Luna, Ximena Sánchez, Yuri Herrera, Guadalupe Sánchez Nettel, Liliana Blum y Nadia Villafuerte así como ellos ( Antonio Ortuño, Jaime Mesa, Alberto Chimal, Martín Solares y Luis Felipe Lomelí comparten a los lectores la crudeza de la realidad vivida a partir de la degradación social y política padecida en las últimas décadas y con la intención de dejar constancia de este nuevo rasgo temático común que caracteriza a esta generación y que de algún modo, los hace converger dentro del panorama actual de la narrativa mexicana. La lectura de cada uno de los trabajos que Rogelio Gueda seleccionó y prologó en Los pelos en la mano. Cuentos de la realidad actual ( Lectorum, México, 2017; 186 pp nos lleva a vivir episodios reales, como son los casos de los adolescentes involucrados en la venta y consumo de drogas; la caza humana a manos de delincuentes; violencia, injusticia y discriminación a la hora de la denuncia; en fin, toda esta problemática social actual vista por estos jóvenes escritores, que no sólo retratan la realidad de su crudeza, sino que de alguna manera buscan mover la sensibilidad de los lectores para de alguna manera saber enfrentarla con menos riesgos. Finalmente, recomiendo leer con atención no sólo los cuentos seleccionados, mismos que cumplen con los requisitos que Borges, Cortázar, Benedetti, García Márquez y otros ya han señalado desde tiempo atrás. También lo que Rogelio Guedea escribe sobre la historia del cuento en México, desde los inicios del siglo XIX hasta nuestros días. Abarcando con lujo de detalles lo que se escribió desde la Independencia, la Reforma y la Revolución, sin olvidar esa generación de creadores resultado del movimiento estudiantil de 1968, que sigue produciendo aún sagare32 @outSook.com"
68490736,['Redacción'],REVISTA,2018-01-06T11:08:32Z,Falleció Regino Díaz Redondo,Siempre,IMPRESO,Nota Informativa,Semanario Político,65350.8,Nacional,"^cdleciá ^eyim Díaj ^edmdo A la edad de 85 años, en la ciudad de Madrid, España, falleció el periodista hispano-mexicano Regino Díaz Redondo el pasado 31 de diciembre. Díaz Redondo nació en España en 1932 y se nacionalizó mexicano. Muy joven ingresó a la Cooperativa Excélsior, empresa periodística donde hizo toda su carrera profesional. Ocupó varios cargos, desde reportero suplente hasta director general. De igual manera, se desempeñó en diferentes cargos administrativos en la cooperativa. Fue director general de Excélsior de 1976 hasta el año 2000. Por su trabajo periodístico fue galardonado con el Premio Nacional de Periodismo en la rama de reportaje en 1975 y en entrevista en 1985. Fue colaborador de la revista Siempre! en temas europeos. Dc4ctut¿c e*t fiaj."
68887952,['Humberto Musacchio'],REVISTA,2018-01-27T10:28:18Z,.,Siempre,IMPRESO,Columna Política,Semanario Político,38151.4,Nacional,.
68611605,['Redacción'],REVISTA,2018-01-13T09:51:00Z,La guerra entre el PRD y Morena será a morir: Ivonne Acuña,Siempre,IMPRESO,Nota Informativa,Semanario Político,56806.9,Nacional,"LA GUERRA ENTRE EL PRD Y MORENA SERÁ A MORIR: IVONNE ACUÑA La lucha entre el Partido de la Revolución Democrática ( PRD ) y el Movimiento Regeneración Nacional ( Morena ) por gobernar la Ciudad de México ( CDMX ) será a morir. El PRD no se dejará arrebatar así como así el poder que le queda, porque ya en otros estados no pinta. Defenderá a toda costa su coto más importante, la Ciudad de México, porque no hay pudor, incluso ya funcionarios reconocidos de la misma dependencia participando en estos eventos hablan de que no hay un pudor para defender la ciudad a como de lugar, si esto es lo que vemos, habrá que preguntarnos por lo que no vemos, ya perdió en las elecciones pasadas, en 2015, cinco delegaciones a manos de Morena, señala Ivonne Acuña Murillo, profesorainvestigadora de la Universidad Iberoamericana. Morena añade es hoy la primera fuerza en la ciudad, el PRD no está dispuesto a ceder este espacio de poder que lo ha colocado con importancia a nivel nacional, y que dada la crisis propia del PRD la desbandada hacia Morena, el hecho de que se haya convertido en un partido de 8,10 puntos en las elecciones le plantea un panorama muy difícil y de ahí también podemos explicar el por qué estas acciones en la ciudad defendiendo como decía a toda costa este coto de poder tan importar para el partido. Apunta que sí se comprueba que quiénes participaron en los actos violentos en Coyoacán eran funcionarios de la delegación y miembros del partido, será una muestra de hasta dónde están dispuestos a llegar, La académica asegura que este enfrentamiento, estas agresiones, aventando sillas, palos, es un panorama preocupante, esperemos que la denuncia y desafortunadamente lo que ya pasó, aunque la muerte de esta persona no haya sido provocada por golpes, ella se puso mal en el evento, por lo menos sirva para calmar los ánimos y que cese esa violencia. Asimismo, que el Pacto de Civilidad, este llamado a la civilidad funcione, aunque coincido con Claudia Sheinbaum, en que no es un borrón y cuenta nueva, porque hay que sancionar a quién violó las normas, las leyes electorales, la convivencia civil, resolver la muerte de esta persona, hay que resolver eso. Si se sanciona a quien ya se reconoció que participó en estos actos de violencia sentaría un precedente, independientemente de que se firme un pacto de civilidad. Por eso, en la foto de la firma de este pacto no aparecen ni Morena, ni el Partido del Trabajo ( PT ) ni el Partido Encuentro Social ( PES ) que van en coalición con ese primer partido. Además, la responsabilidad recae sobre todo en Miguel Ángel Mancera l como gobernante tiene que asegurar las condiciones de gobernabilidad y de seguridad para que se desarrollen estas campañas de manera democrática. Lo mismo los delegados, que son el siguiente paso, ya se anunció que se dialogará con ellos para que también dentro de lo posible eviten estos enfrentamientos. La politóloga de la Ibero considera que la firma del convenio, en esas condiciones pareciera una trampa, porque a sabiendas de que Morena no participaría en función de los eventos previos y de que la misma Claudia afirma, y hasta donde sé, no es ella la que está provocando los enfrentamientos, no es su grupo, sino gente del PRD, cuando el PRD o el mismo Jefe de Gobierno, que aunque no es perredista ha sido respaldado por este partido, llaman a firmar un Pacto de Civilidad sin resolver lo previo a sabiendas de que esta otra coalición Juntos haremos historia no aceptaría, obviamente se cierra la pinza, porque como no están en la foto, la conclusión lógica es, los rijosos son ellos que no quieren firmar un pacto de civilidad y ese es el problema, que se desencadenen estos rumores sin que haya datos concretos, nombres de quién está orquestando estas manifestaciones, eso no es bueno porque si así estamos ahorita que son precampañas en marzo cuando ya arranquen oficialmente las campañas, el panorama se enrarecerá y lo que provocará es estar creando un caldo de cultivo para que haya más violencia. La misma Alejandra afirmó que quien estaba provocando esos actos era Sheinbaum, pero aquí hay que deslindar responsabilidades, hay que presentar a los responsables y saber a qué partido pertenecen, a qué fuerza política, para hablar ya en concreto y no estar corriendo rumores, dice Ivonne Acuña"
68888031,['José Alfonso Suárez del Real y Aguilera'],REVISTA,2018-01-27T10:34:42Z,Capital por Siempre! // IMSS: emblema de la justicia social,Siempre,IMPRESO,Columna Política,Semanario Político,39496.5,Nacional,"cñriTRL ron siempre! 75 aniversario [ 19 de enero de 1943 ] IMSS: EMBLEMA DE LA JUSTICIA SOCIAL POR JOSÉ ALFONSO SUÁREZ DEL REAL Y AGUILERA INSTITUCIÓN QUE CONCENTRA LOS PARADIGMAS DEL BUEN HACER PARA MEJOR VIVIR. Centro Médico Nacional Siglo XXI. En dondequiera que se encontrara un hombre, se puede hacer un beneficio. SÉNECA Evidenciando el abandono del Estado de bienestar que caracterizó a los gobiernos de la mitad del pasado siglo XX, Enrique Peña Nieto y, por supuesto, el jefe de Gobierno de nuestra ciudad, obviaron su adhesión a los festejos del 75 aniversario de creación del Instituto Mexicano del Seguro Social ( IMSS ), entidad que concentra los paradigmas del buen hacer para mejor vivir, en una concepción revolucionaria que, para muchos mexicanos, ha representado un brazo de la justicia social. Concebido por la Ley de Seguro Social decretada un 19 de enero de 1943, la norma lo definió como un servicio público de carácter nacional y obligatorio e integró a su beneficio a todas las personas vinculadas a otras por contratos de trabajo, o de aprendizaje, cualquiera que sea la personalidad jurídica o la naturaleza económica del empleado, así como aquellas personas que son miembros de sociedades cooperativas de producción, de sociedades agrarias de crédito agrícola o ejidal y de administraciones obreras o mixtas, en síntesis: todos los habitantes de aquel México al que la aciaga II Guerra Mundial parecía augurar un mejor futuro. Tomó un largo año concretar las recomendaciones emitidas por la Organización Internacional del Trabajo surgidas en 1919, muchas de ellas integradas a nuestra Constitución desde 1917 en su artículo 123, producto de la audaz decisión de un constituyente que se empeñó en reconocer los derechos de los trabajadores como parte sustantiva de un nuevo pacto en el que el campesinado y el proletariado se hermanaban en pos de equiparar la justicia y la igualdad en acciones de beneficio social y no en simples discursos y pactos. A mucha honra, su primera instalación hospitalaria se ubicó en la colonia Roma, en Orizaba 115, donde sigue operando para el beneficio de muchos de los habitantes de esta residencial colonia. El beneficio urbano del IMSS en la Ciudad de México es irrebatible: fue aquí la sede del primer Centro Médico Nacional, ubicado en los linderos de las colonias Doctores, Buenos Aires y Roma Norte y Sur, ciudad médica concebida y reconstruida con pasión y conjugación de servicios hospitalarios y expresiones artísticas de enorme relevancia nacional. A ello debemos sumar la red de teatros y centros deportivos, pero, sobre todo, la Unidad Habitacional Independencia promovida por Adolfo López Mateos desde la Secretaría del Trabajo, que ya en la Presidencia de la República encargó su realización al director de la institución, Benito Coquet, a fin de que los arquitectos Alejandro Prieto y José María Gutiérrez concibieran la ciudad ideal de los trabajadores, a la que no podría faltar el arte de Luis Ortiz Monasterio, Federico Cantú y Francisco Eppens. Muchas de las acciones del IMSS a lo largo de su historiadan fe del decir del gran Séneca, para quien la búsqueda del hombre garantiza su beneficio."
68612273,['Alejandro Zapata Perogordo'],REVISTA,2018-01-13T10:51:21Z,"Siempre! Desde Aquí // 2018, punto de quiebre",Siempre,IMPRESO,Columna Política,Semanario Político,43077.1,Nacional,"Sima DESDE AQÜ Grandes cambios, impredecibles e inevitables 2018, PUNTO DE QUIEBRE POR ALEJANDRO ZAPATA PEROGORDO En este naciente 2018, un año marcado de inicio por la incertidumbre, se auguran grandes cambios, tan ¡mpredecibles como inevitables. El proceso electoral en la renovación de poderes, particularmente del Ejecutivo federal, viene acompañado con la urgente necesidad de una profunda transformación del régimen político que se encuentra en franca agonía, siendo prácticamente insostenible. Los últimos resultados muestran un creciente proceso de deterioro; los indicadores internacionales nos ubican entre los salarios más bajos a nivel mundial, circunstancia que impacta en el índice de desarrollo humano y, en el ranking de Paz Global ( Global Peace Index que mide el nivel de paz y la ausencia de violencia, la situación ha empeorado considerablemente al pasar del lugar 134 en el 20012, al 142 en el 2017, aunado a los enormes grados de corrupción e impunidad que se padecen, cifras que reclaman corregir urgentemente el rumbo. Sin duda nos encontramos en un punto de quiebre, en circunstancias complejas; pues mientras el proceso electoral abre la oportunidad de la reflexión y el debate, por otra parte fragmenta, divide y confronta. A partir de ese diagnóstico se pronostica una lluvia de propuestas encaminadas a obtener las simpatías ciudadanas, según el segmento a quien van dirigidas. De eso se tratan las campañas electorales, cuyo objetivo es acceder al poder, no obstante, ese producto es parcial, electorero y raya regularmente en el terreno de las ocurrencias. La reconstrucción del Estado de derecho y la edificación de instituciones sólidas y eficaces para abatir los rezagos que deja la actual administración, que lejos de trabajar en revertir las fragilidades del sistema, hereda una profunda crisis que se refleja además en el hartazgo social, constituyen desafíos impostergables para la próxima administración. A efecto de cumplir con los cambios descritos, quien llegue a la Presidencia es muy probable que se encuentre con un gobierno fragmentado, sin mayoría en las Cámaras, con un acotado margen de maniobra, que lo obligaría a buscar acuerdos para construir mayorías. Ese camino se vivió en la época de Fox y Calderón, la experiencia no fue satisfactoria el andar fue tortuoso, lento e insuficiente. De ese panorama fue que surgió la idea de aterrizar los gobiernos de coalición, a efecto de construir mayorías legislativas con agendas comunes, adoptando un sistema semiparlamentario con una relación más estrecha entre los poderes Ejecutivo-Legislativo, sin embargo, desde el aspecto constitucional es operable con posterioridad a las elecciones. Esa figura innovadora en nuestro país es recogida de manera incipiente por la alianza conformada por PAN, PRD y MC, en un esfuerzo por regresar al proceso de transición y un compromiso por aterrizar la consolidación democrática, lo que en principio me parece pertinente y adecuado como inicio de un cambio necesario, con la modalidad de concretar la agenda de manera previa a la jornada electoral, lo que daría certidumbre a una propuesta con rumbo y claridad en el horizonte."
68743192,['Redacción'],REVISTA,2018-01-22T08:46:05Z,Índice,Siempre,IMPRESO,Nota Informativa,Semanario Político,51253.3,Nacional,Índice
68888475,['Camilo José Cela Conde'],REVISTA,2018-01-27T11:17:45Z,Cartas desde Europa // Consideraciones morales Frankenstein,Siempre,IMPRESO,Recorte de Columnas,Semanario Político,151335.0,Nacional,"INTERNACIONALES Cartas desde Europa CONSIDERACIONES MORALES FRANKENSTEIN POR CAMILO JOSÉ CELA CONDE Madrid La revista Science ha encomendado la redacción de uno de sus recientes editoriales a un filósofo, cosa nada habitual en el mundo de las publicaciones dedicadas a la ciencia. Aún lo es menos que las revistas de mayor impacto entre las que siguen las tareas de investigación científica se hagan eco del centenario de la publicación de una novela. Pero es que en esta ocasión se trata de celebrar los dos siglos d el libro Frankenstein o el nuevo Prometeo de Mary Shelley, dedicado a la criatura creada por doctor Víctor Frankenstein que fue fruto, como se sabe, de la apuesta que hicieron lord Byron, John Polidoti, Mary Shelley y el que luego sería su marido, Percy, sobre quién sería capaz de escribir el mejor cuento de terror. El editorial de Science escrito por Kerk van den Belt, profesor de filosofía en la universidad de Wageninge ( Países Bajos ), se centra en las consecuencias morales que tiene para todo científico el atribuirse el papel de Prometeo arrebatando a los supuestos dioses la capacidad de crear nuevas criaturas que no habrían aparecido sin la intervención humana. En realidad ese debate puede ir más lejos porque sería cualquier avance técnico con posibles consecuencias negativas el que podría quedar bajo la lupa de las consideraciones morales. Si el equivalente más obvio del monstruo del doctor Frankenstein sería hoy el de las modificaciones genéticas obtenidas en el laboratorio con la clonación en lo más alto de la escala también cabría hablar de la responsabilidad de los científicos que contribuyeron a crear, por ejemplo, la bomba atómica. Van del Belt se centra para su comentario en dos aspectos distintos de las consecuencias éticas de la creación del doctor Frankenstein como espacio de reflexión para las cautelas éticas actuales sobre el trabajo científico. ¿Cuál sería la acción a considerar, el haber creado una criatura quimérica y terrorífica o el desatender la necesidad de mantenerla bajo control? Para el filósofo holandés autor del editorial de Science, es esta segunda obligación desatendida por Frankenstein la clave de la novela de Mary Shelley. Por extensión, y ya que resulta casi imposible impedir que cualquier cosa susceptible de ser lograda en el laboratorio llegue a ser una realidad, cabría obligar a los científicos a que sus productos queden sujetos a la supervisión necesaria para impedir malos usos. Que eso forme parte de un código deontológico o cuente por añadidura con leyes firmes que garanticen semejante necesidad es un asunto distinto. Siguiendo de cerca el contexto moral del libro del libro de Mary Shelley, lo que vendría a cuento es un dilema semejante presentado por van den Belt. Tiene que ver con el objetivo aún hipotético hecho por el genetista de Harvard George Church de dar a luz a un neandertal con una madre humana a la que se implantase el embrión modificado. ¿Qué sería lo crucial? ¿Decidir si eso es admisible o tener que cuidar del niño neandertal durante toda su vida? f"
