id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68766932,['Felipe Celaya'],PRENSA,2018-01-22T03:32:31Z,Inicia conmemoración,Uno más Uno,IMPRESO,Nota Informativa,Diario,12184.5,Cultura,"Felipe Celaya/Reportero Con la inauguración de la exposición Los pasos de Jorge Ibargüengoitia en el Museo del Pueblo en Guanajuato, dará inicio la conmemoración de los 90 años del natalicio del afamado escritor en su estado natal. La muestra será inaugurada hoy con una ofrenda floral, justo en el aniversario de los 90 años del nacimiento de Jorge Ibargüengoitia ( Guanajuato, 22 de enero de 1928-Madrid, 27 de noviembre de 1983 ). Karenia Hernández, directora del Museo del Pueblo, celebró que el Instituto Nacional de Bellas Artes ( INBA ) haya invitado al Instituto Estatal de Cultura a sumarse a este festejo nacional, pues con esta exposición inician en el estado de Guanajuato las actividades que se llevarán a cabo durante todo el año en honor de Ibargüengoitia. Los Pasos de Jorge Ibargüengoitia, dijo en entrevista con la Secretaría de Cultura, estará exhibiéndose del 22 de enero al 4 de marzo, en la Sala Gorky González. Se hará una ofrenda floral, la verdad es que estamos de fiesta, estamos muy contentos. Destacó que se trata de una exposición muy completa que incluye más de 40 documentos, 50 fotografías, libros, primeras ediciones, diplomas y carteles, procedentes del acervo del INBA. La curaduría se enriqueció con algunas piezas de coleccionistas guanajuatenses que tienen obras originales de la pintora inglesa Joy Laville y que fueron portada de algunos de los libros del maestro, apuntó Karenia Hernández."
68862109,['Felipe Celaya'],PRENSA,2018-01-26T07:44:19Z,Marcha sin dinero y fin,Uno más Uno,IMPRESO,Nota Informativa,Diario,42716.7,Política,"Adivinar lo que vendrá, el gobierno de Chihuahua, el que estaba KM realizando indagatorias a fondo sobre la corrupción de la admimistración anterior en ese estado. Lo develado por el gobernador Javier Corral y su gobierno sobre la reacción de Hacienda lo mostraron, la suspensión de una partida de más de 700 millones ya acordada. La marcha que se inició en Chihuahua se llama a no llevar banderas de ningún partido político, una y otra vez el gobernador Corral ha expresado que esta lucha está por encima de los partidos. Se ha visto cómo han dado respuesta todos los partidos políticos contra la acción del gobierno de Corral, unos con declaraciones contra el gobernador marchista, otros con el silencio. El pacto político y corruptor que denuncia Javier Corral el recular de los gobernadores panistas al guardar silencio ante sus denuncias. Se interpreta el acto de rebeldía de Chihuahua como una estrategia para posicionar al Frente constituido por el PAN-PRD y MC e, incluso, no ha faltado que se diga que Corral quiere la Presidencia. Las respuestas han sido claras y responden a una trayectoria que ha llevado Corral por años. Si uno se pone del lado de Javier Corral, entonces uno es panista, si opina a favor de Andrés Manuel López Obrador, denuncia la violencia y corrupción, entonces es morenista. Si al mismo tiempo tiene estas dos posturas, los partidos políticos lo catalogarían de loco o Chavista. Pero sabemos muy bien que los partidos políticos, más allá de la simpatía que levante alguno de sus dirigentes, están muy lejos de la población. La mayoría de los ciudadanos no confiamos en los partidos políticos, y si votamos por tal o cual candidato es por el regalito monetario`. Corral, a pesar de su distancia con López Obrador, tomó una postura contra el desafuero que intentó realizar Vicente Fox contra él, por considerar que era un proceso que intentaba sacarlo de la competencia electoral de 2006 por la Presidencia de la República. Públicamente, Corral, al lado de Manuel Bartlett, se declaró contra el desafuero de López Obrador, contra el intento de quitarle sus derechos políticos. No sería la única ocasión en que se manifestaría contra ese proceso y contra muchas otras iniciativas de Vicente Fox y de Felipe Calderón. La marcha de Chihuahua es una marcha nacional sin banderas partidistas, pero con los objetivos muy claros: combatir la corrupción extraditando a César Duarte con motivo de las 10 órdenes de aprehensión presentadas y lograr la entrega de los recursos pactados del Ramo 23 por la Secretaría de Hacienda con el gobierno de Chihuahua. Estos recursos, se han repartido de manera discrecional a las entidades, sirviendo a los intereses del partido en el poder y a los tiempos electorales. Para dar una idea de lo que está saliendo a la luz, hay que señalar que, en 2016, el último año del gobierno de César Duarte, año electoral, la Secretaría de Hacienda le entregó a Chihuahua, bajo el Ramo 23 -mil 531 millones de pesos, y al gobierno de Javier Corral, 61 millones hasta el tercer trimestre de 2017 se es el punto principal de la marcha, acentuó Javier Corral, mismo que está al frente de la misma, para tratar de que entienda el Gobierno Federal, que urgen los recursos retenidos por la Secretaría de Hacienda. Comenta Corral, si César Duarte es extraditado con solamente un par de órdenes de aprensión, las de menor pena, las investigaciones no podrán seguirse por las demás, las de mayor pena. Es decir, si la PGR selecciona bien aquellas órdenes de aprehensión que evitan implicar a funcionarios del partido en el poder y del Gobierno Federal, las causas que los implican no podrán seguirse, al menos, a través del juicio que se le lleve al ex gobernador."
68528011,['Javier Cruz de la Fuente'],PRENSA,2018-01-09T05:42:05Z,Verduguillo,Uno más Uno,IMPRESO,Columna Política,Diario,12874.7,Nacional,"A dónde van las elecciones con pesimismo de ciudadanía a la cabeza El inicio de este 2018 está generando que el proceso electoral en puerta no esté siendo visto con agrado por la mayoría de las y los ciudadanos, que son quienes votan en las urnas. El desempleo, la ola de inseguridad y la increíble cifra de más de 180 millones de pesos para desarrollar los comicios en Oaxaca, tiene al pueblo decepcionado ante las y los aspirantes que quieren tener el poder en sus manos, algunos analistas señalan que las elecciones de este año podrían ser sucias, las cuales se desarrollarán en medio de una reñida y polémica votación, así como el peligro por la violencia que vive todo México y en la entidad oaxaqueña la región de la Cuenca del Papaloapan. En este sentido, estimado lector, se ha especulado también que sin duda sería el proceso electoral más impugnado de todos, por ello lo que se desarrollará en las urnas podría estar entre las elecciones más sucias de la historia. Es importante informar que ni siquiera comenzó la campaña oficial y el PRI, el partido político que gobierna México, ya fue acusado por los organismos de control electoral. El partido político tiene la maquinaria política más aceitada de México, y también es profundamente impopular, lo que es sin duda una combinación peligrosa. Apenas ayer una encuesta ubicó a su candidato, el ex secretario de Hacienda, José Antonio Meade, en el tercer puesto, con sólo 16 por ciento de apoyo. Después está el favorito por ahora, Andrés Manuel López Obrador, un izquierdista exaltado, hace campaña abiertamente desde hace más de 12 años, por lo visto desafiando leyes que estipulan un cronograma electoral estricto. Ya se presentó dos veces y tiene reputación de mal perdedor. Mientras tanto, el país atraviesa la peor ola de violencia de este siglo. Esto podría transformar los enfrentamientos que forman parte de las campañas en algo más peligroso, especialmente si la votación está reñida y es polémica, como anticipan muchos. En 2018, deben trabajar por Oaxaca La segunda semana de este nuevo año ya está aquí, y vaya que han sucedido cosas en esta entidad oaxaqueña, desde aquellas voces que quieren la salida del arzobispo de Antequera, monseñor José Luis Chavez Botello, hasta el macabro hallazgo de cabezas en un taxi en la población de Tlacotalpan, cerca de los límites de Oaxaca y Veracruz. Y es todo por hoy."
68791611,['Raúl Arias'],PRENSA,2018-01-23T05:51:17Z,"Decomiso de más de 4 mil piezas de piratería, entre muñecas y bolsas en CDMX",Uno más Uno,IMPRESO,Nota Informativa,Diario,18872.7,Justicia,"Raúl Arias/Reportero LATARDEMX @YAHOO.COM.MX En el marco de las acciones que realiza contra el contrabando y venta de artículos de procedencia ilegal, la Procuraduría General de la República decomisó, en el estado y Ciudad de México, más de cuatro mil muñecas y bolsas para dama que ostentaban etiquetas de prestigiosas firmas comerciales, sin que se registraran incidentes entre las partes. Las investigaciones continúan, a efecto de identificar, localizar, detener y consignar a los dueños de la mercancía. Como parte de las acciones en el combate a los delitos de Propiedad Industrial y los Derechos de Autor, la Procuraduría General de la República, a través de la Subprocuraduría Especializada en Investigación de Delitos Federales, incautó cuatro mil 194 objetos que ostentaban marcas falsificadas en locales ubicados en el Estado y Ciudad de México, puntualizó la dependencia. Expuso que en una primera acción, con apoyo de elementos de la Policía Federal de la División de Investigación, se cumplimentaron tres órdenes de cateo otorgadas por el juez de control adscrito al Centro de Justicia Penal en el Distrito Federal con sede en el Reclusorio Norte; dichos cateos se realizaron en distintas fechas, en cuatro locales comerciales ubicados en la colonia Centro de la Ciudad de México, en donde se aseguraron tres mil 871 muñecas que ostentaban una reconocida marca de juguetes. Asimismo, en una segunda acción y en cumplimento de una orden de cateo otorgada por el juez adscrito al Centro de Justicia Penal Federal con residencia en Almoloya de Juárez, Estado de México, se decomisaron cuatro locales sobre la avenida Lomas Verdes, en Naucalpan de Juárez, con 323 bolsas para mujer que ostentaban marca de lujo. Por estos hechos, los objetos y los locales comerciales fueron puestos a disposición de la autoridad federal para los fines legales que se determinen por la violación a la Ley de Propiedad Industrial, continuándose con la integración de la carpeta de investigación, concluyó el Ministerio Público de la Federación."
68897510,['Roberto Meléndez'],PRENSA,2018-01-28T03:11:17Z,"INM rescató a 65 migrantes centroamericanos en Saltillo, Coahuila",Uno más Uno,IMPRESO,Nota Informativa,Diario,19665.3,Justicia,"Roberto Meléndez S./Reportero LATARDEMX @YAHOO.COM.MX El Instituto Nacional de Migración ( INM ) con personal operativo de la delegación Tamaulipas, rescató a 65 extranjeros que venían escondidos en un espacio aproximado de 15 metros cuadrados, detrás de la presunta paquetería de un autobús de pasajeros con placas de circulación 755-RM-l con razón social ELVICO. Los hechos ocurrieron ayer en el paraje denominado Tanque Escondido, en Saltillo, Coahuila. De los 65 extranjeros, 60 son originarios de El Salvador ( 14 mujeres mayores, 26 hombres mayores, nueve mujeres menores acompañadas, siete hombres menores acompañados, dos menores mujeres no acompañadas, dos menores hombres no acompañados ) y cinco de Honduras ( dos hombres mayores, una mujer mayor, una mujer menor acompañada, un hombre menor acompañado ). Los migrantes, que venían en un estado de hacinamiento, presentaban signos de debilidad, cansancio y deshidratación, por lo que se les brindó de inmediato asistencia médica, agua y comida. Los dos conductores, Sergio JV, de 34 años, y Víctor N, de 52, fueron puestos a disposición de las autoridades correspondientes por el presunto delito de tráfico de personas. El INM garantiza a los extranjeros rescatados de este suceso, un retorno asistido, digno y seguro a su país, proporcionando información en todo momento, sobre su derecho a solicitar refugio en territorio mexicano. De acuerdo con los protocolos que marca la ley, los menores de edad serán puestos de inmediato a disposición del DIF, en coordinación con los Oficiales de Protección a la Infancia ( OPIS para otorgarles una atención especializada hasta ser entregados a sus familiares tras el procedimiento."
68961934,['Roberto Meléndez'],PRENSA,2018-01-31T03:18:24Z,Incineran 8 toneladas de narcóticos en BC,Uno más Uno,IMPRESO,Nota Informativa,Diario,15547.4,Justicia,"Roberto Meléndez S./Reportero bobymesa @yahoo.com.mx Con un valor comercial superior a los 300 millones de pesos, la Procuraduría General de la República, por medio de su Delegación en Baja California, incineró más de ocho toneladas de mariguana, cocaína, hashis y otros enervantes que se presume iban a ser ingresados para su venta y consumo a Estados Unidos, donde tienen gran aceptación y demanda. En total se incineraron ocho toneladas 97 kilos 970 gramos 854 miligramos de narcóticos y mil 117 comprimidos, relacionados con diversas averiguaciones previas, carpetas de investigación y causas penales, puntualizó la dependencia, y asentó que la destrucción incluyó siete toneladas 530 kilos 416 gramos 900 miligramos de mariguana; 473 kilos 165 gramos 100 miligramos de clorhidrato de metanfetamina; 84 kilos 81 gramos 200 miligramos de clorhidrato de cocaína; y cinco kilos 706 gramos 970 miligramos de clorhidrato de diacetil morfina. Elementos de la PGR incineraron más de ocho toneladas de drogas"
68720244,['Roberto Meléndez'],PRENSA,2018-01-19T04:30:08Z,Incineran más de cinco toneladas de droga en Coahuila,Uno más Uno,IMPRESO,Columna Política,Diario,20189.7,República,"Roberto Meléndez S./Reportero BOBYMESA @YAHOO.COM.MX La Procuraduría General de la República ( PGR ) en su delegación Coahuila, incineró más de cinco toneladas de droga aseguradas en operativos conjuntos entre los tres niveles de gobierno, señaló el delegado Fernando Adrián Olivas Jurado. El funcionario añadió que de esta manera se busca lograr un mayor empuje económico a Coahuila, y una mayor tranquilidad de esta entidad, todo ello para fortalecer el Plan Nacional de Desarrollo 2013-2018. Detalló que la PGR, a través de la Delegación Estatal y ajustados a la vigilancia del órgano interno de control de la misma institución, procedió a dar destino legal a los narcóticos y objetos asegurados, reafirmando así el compromiso con la sociedad de dar cuenta del trabajo que se efectúa. A su vez, el Fiscal General de Coahuila, Gerardo Márquez Guevara, señaló que a través de estas acciones refrendamos el compromiso de hacer el mayor esfuerzo y por cada acción de los delincuentes se tendrá una reacción severa del estado. Durante el evento incineraron cinco mil 763 kilos de marihuana; 668.90 kilogramos de cocaína además 146 gramos de metanfetaminas y cristal; 910 litros de alcohol y nueve unidades de traga monedas. Por su parte, el gobernador, Miguel ángel Riquelme Solís, destacó que el reto para Coahuila es hacer la entidad más tranquila del país. Anunció que su administración fortalecerá los cuerpos de seguridad estatales mediante un programa de capacitación y certificación e intensificará los operativos para la detención y decomiso de drogas, armas y objetos del delito. Además, se redoblarán esfuerzos en las acciones en contra de los centros de apuesta clandestinos y de giros negros."
68444999,['Alejandro Romero'],PRENSA,2018-01-03T08:01:43Z,¡Sin agua!,Uno más Uno,IMPRESO,Nota Informativa,Diario,50728.9,Estado de México,"[ Alejandro Romero/jredaccion @hotmail.com La semana anterior, una falla en la línea de distribución del Sistema Cutzamala afectó a varios municipios del Valle de México. Ahora afectará a los habitantes del municipio de Toluca, pues debido a las obras de mantenimiento del Sistema Cutzamala, en varias colonias de la capital mexiquense se restringirá el suministro y habrá baja presión de las 20:00 horas de este miércoles y hasta las 20:00 horas del próximo viernes 5 de enero. De acuerdo con el gobierno municipal de Toluca, se informó que la Comisión Nacional del Agua ( Conagua ) y la Comisión de Agua del Estado de México ( CAME ) realizarán trabajos de mantenimiento, que consisten en la sustitución de un tramo de tubería de la línea dos, la interconexión de la tubería de la línea tres con la dos, y la interconexión de la línea tres con la Torre de Oscilación número cinco. Frente a esta contingencia, las autoridades pidieron a la población hacer un uso racional y moderado del agua, verificar que sus conexiones internas y externas no tengan fugas, evitar lavar patios y regar jardines a chorro de manguera, entre otras recomendaciones. Las autoridades locales dieron a conocer las colonias en las que habrá problemas de suministro de agua: Zopilocalco Sur y Norte, Niños Héroes, Altamirano, Cuauhtémoc, Valle Verde, Nueva Santa María de las Rosas, Las Palomas, Las Margaritas, La Magdalena Atzcapotzaltongo, El Carmen Totoltepec, Galaxia San Lorenzo. Asimismo, San Juan Buenavista, Tres Caminos, Santiago Miltepec, Francisco Murguía, Universidad, Residencial Colón y Ciprés, Morelos Primera y Segunda Secciones, San Bernardino, Sor Juana Inés de la Cruz, Sector Popular, Benito Juárez, Eva Sámano de López Mateos. También, Emiliano Zapata, Del Parque, Moderna de la Cruz, [ Alejandro Romero/jredaccion @hotmail.com La semana anterior, una falla en la línea de distribución del Sistema Cutzamala afectó a varios municipios del Valle de México. Ahora afectará a los habitantes del municipio de Toluca, pues debido a las obras de mantenimiento del Sistema Cutzamala, en varias colonias de la capital mexiquense se restringirá el suministro y habrá baja presión de las 20:00 horas de este miércoles y hasta las 20:00 horas del próximo viernes 5 de enero. De acuerdo con el gobierno municipal de Toluca, se informó que la Comisión Nacional del Agua ( Conagua ) y la Comisión de Agua del Estado de México ( CAME ) realizarán trabajos de mantenimiento, que consisten en la sustitución de un tramo de tubería de la línea dos, la interconexión de la tubería de la línea tres con la dos, y la interconexión de la línea tres con la Torre de Oscilación número cinco. Frente a esta contingencia, las autoridades pidieron a la población hacer un uso racional y moderado del agua, verificar que sus conexiones internas y externas no tengan fugas, evitar lavar patios y regar jardines a chorro de manguera, entre otras recomendaciones. Las autoridades locales dieron a conocer las colonias en las que habrá problemas de suministro de agua: Zopilocalco Sur y Norte, Niños Héroes, Altamirano, Cuauhtémoc, Valle Verde, Nueva Santa María de las Rosas, Las Palomas, Las Margaritas, La Magdalena Atzcapotzaltongo, El Carmen Totoltepec, Galaxia San Lorenzo. Asimismo, San Juan Buenavista, Tres Caminos, Santiago Miltepec, Francisco Murguía, Universidad, Residencial Colón y Ciprés, Morelos Primera y Segunda Secciones, San Bernardino, Sor Juana Inés de la Cruz, Sector Popular, Benito Juárez, Eva Sámano de López Mateos. También, Emiliano Zapata, Del Parque, Moderna de la Cruz, Cóporo, Santa Bárbara, Electricistas, La Retama, Villa Hogar, Isidro Fabela Primera y Segunda Secciones, Las Haciendas, Seminario Tercera y Cuarta Secciones. De igual manera, Vicente Guerrero, Nueva Oxtotitlán, Unión, San Luis Obispo, Lomas Altas, San Miguel Apinahizco, Rincón del Parque, La Teresona, Ocho Cedros, Miguel Hidalgo y Parques Nacionales. Entre tanto, las colonias donde habrá baja presión son: Fraccionamiento Santa Isabel, Héroes del 5 de Mayo, Niños Héroes, Seminario Primera y Quinta secciones, Bosques de Colón, La Merced, Centro Histórico, La Mora, Unidad Victoria, Valle Don Camilo, Tlacopa, Independencia-Meteoro. Asimismo, Izcalli Toluca, Izcalli IPIEM, Salvador Sánchez Colín, Progreso, Guadalupe, Club Jardín, Comisión Federal de Electricidad, Santa Clara, 5 de Mayo, Doctores, Los Ángeles, Reforma, Ferrocarriles Nacionales, San Sebastián y Américas."
68839677,['Eloy Aguilar'],PRENSA,2018-01-25T05:44:37Z,Navarrete y Corral pactan diálogo en caso César Duarte,Uno más Uno,IMPRESO,Nota Informativa,Diario,15597.7,Política,"Eloy Aguilar/Reportero El secretario de Gobernación, Alfonso Navarrete Prida, y el gobernador de Chihuahua, Javier Corral, acordaron iniciar un diálogo abierto y franco para analizar las demandas del panista de agilizar la extradición de César Duarte, el financiamiento federal y los problemas de seguridad en la entidad. Tuvimos un diálogo amplio sobre los temas que nos ocupan en una relación que es bastante más amplia que los problemas, que nosotros, con sensibilidad entendemos que en este momento para el gobierno de Chihuahua le son fundamentales, dijo Navarete Prida. Por su parte, Corral Jurado señaló que se trató de un diálogo abierto, franco, amplio, de una agenda que también ha incorporado una petición reiterada del gobierno de Chihuahua al ámbito federal de un mayor acompañamiento en las estrategias para enfrentar la inseguridad y la delincuencia organizada en Chihuahua. Además, dijo que espera que se resuelvan las dos exigencias fundamentales de la Caravana por la Dignidad, Unidos con Valor en contra de la corrupción política y la impunidad que ha emprendido el pueblo de Chihuahua y que mantendremos en sus objetivos en estos días. Aclaró que la caravana continúa, pero ello no será un obstáculo para el diálogo; pidió que haya un proceso de extradición efectivo en contra del ex gobernador César Duarte Jáquez, que cuenta con 10 órdenes de aprehensión que el Ministerio Público de Chihuahua ya entregó a la Procuraduría General de la República. Y también, agregó, que se cumpla con la transferencia de los recursos que han sido indebidamente retenidos a Chihuahua. Sobre el tema de la seguridad, Javier Corral destacó que en la reunión aceptamos inmediatamente una acción coordinada y vamos a fortalecer las operaciones en Chihuahua. Ya hay allá 250 elementos de la Policía Federal actuando en operativos conjuntos."
68739401,['Roberto Meléndez'],PRENSA,2018-01-20T03:36:24Z,Decomisan semilla de mariguana,Uno más Uno,IMPRESO,Nota Informativa,Diario,14184.9,Justicia,"También medio millón de pesos ROBERTO MELENDEZ S. bobymesa @yahoo.com. mx Personal de la Comisión Nacional de Seguridad y Policía Federal, comisionados en Jalisco, detuvieron a dos mujeres que en compartimentos especiales de una camioneta trasportaban aproximadamente medio kilo de semilla de mariguana y medio millón de pesos en efectivo, cuya legal procedencia no pudieron acreditar. La dependencia al mando del comisionado Renato Sales Heredia, en comunicado oficial precisó que las acciones se realizaron sobre la carretera federal Zapotlanejo-Guadala jara, donde policías federales tuvieron contacto con una camioneta que era conducida por una mujer que no utilizaba el cinturón de seguridad. Al realizarle una inspección del vehículo, los efectivos federales encontraron un mecanismo eléctrico para dar acceso a un compartimento oculto con forro de papel de plomo, para evitar ser detectado en las máquinas de rayos x, instaladas en los arcos de revisión carreteros. Se explicó que en este compartimento se encontraban tres envoltorios de plástico, el primero de ellos contenía semillas de al parecer marihuana con un peso aproximado de 443 gramos, mientras que los otros dos contenían 500 mil pesos. Ante la probable comisión de un delito, la conductora y su acompañante fueron puestas a disposición del Agente del Ministerio Público de la Federación."
