id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
68890242,['Redacción'],REVISTA,2018-01-27T13:28:48Z,Publican Ley de Derechos Culturales,Vértigo,IMPRESO,Nota Informativa,Semanario Político,9835.95,Nacional,"Publican Ley de Derechos Culturales Con el objetivo de garantizar el acceso a bienes y servicios culturales que brindan las instituciones del gobierno de la Ciudad de México se publicó en la Gaceta Oficial la Ley de los Derechos Culturales de los Habitantes y Visitantes de la cdmx. La norma establece las bases en la política cultural así como los beneficios del progreso científico y sus aplicaciones, entre otros. Facilita a las personas con discapacidad las oportunidades necesarias para el uso y disfrute de las instalaciones destinadas a las expresiones culturales y obliga a las dependencias de la administración pública de la ciudad, institutos y órganos desconcentrados a emitir un informe anual de las acciones implementadas y del uso de recursos. Además establece la creación del Instituto de Derechos Culturales."
68491955,['Redacción'],REVISTA,2018-01-06T14:14:31Z,Prevén aumento,Vértigo,IMPRESO,Nota Informativa,Semanario Político,8121.48,Nacional,"Prevén aumento Por el incremento en los insumos que utilizan para la producción, como gas, energía eléctrica y maíz, la Unión Nacional de Industriales de Molinos y Tortillas ( unimtac ) prevé aumentar el precio de la tortilla entre 1.50 a 3 pesos por kilogramo. Durante la primera quincena de diciembre en algunos estados del país ya se aplicó el ajuste."
68891584,['Lucy Bravo'],REVISTA,2018-01-27T15:14:06Z,Aldea Global // Negociar con gelatina,Vértigo,IMPRESO,Columna Política,Semanario Político,41068.1,Nacional,"ALDEA GLOBAL Lucy Bravo @BravoLucy NEGOCIAR CON GELATINA Algo que no podemos negarle a Donald Trump es su capacidad de hacer historia. En un mismo fin de semana el mandatario celebró su primer año en el cargo con un cierre de gobierno sin precedente, ya que su partido con mayoría en el Congreso no logró conseguir un presupuesto a tiempo, y presenció una multitudinaria marcha contra sus políticas conservadoras y el machismo. ¿Por qué? Porque cuando se trata de Trump un trato no es un trato y la Casa Blanca se ha vuelto sinónimo de polarización. Mace tres semanas Trump declaró que si el Congreso lograba un plan para proteger a los dreamers inmigrantes indocumentados que llegaron de niños a Estados Unidos él lo firmaría a cambio de mayor presupuesto para seguridad fronteriza, es decir, un muro. Dos días más tarde un grupo bipartidisla de senadores presentó una propuesta a la medida pero él la rechazó. Después, apenas horas antes del cierre del plazo para aprobar el presupuesto gubernamental en el Congreso, Taimp habría llegado a un acuerdo con el líder minoritario demócrata del Senado, Chuck Schumer, sobre este tema, pero luego revirtió el curso inesperadamente gracias a la influencia de sus halcones antiinmigrantes: John Kelly, jefe de Oficina, y Stephen Miller, asesor principal de la Casa Blanca. Ramificaciones No es ningún secreto que Trump envía mensajes contradictorios todo el tiempo. En febrero pasado los dreamers eran niños absolutamente increíbles que merecían ser tratados con el corazón. Sin embargo, en septiembre Trump acabó con el programa temporal que los protegía de la deportación y ordenó al Congreso encontrar una solución permanente antes del 5 de marzo. Hace algunas semanas prometió entregarles una ley de amor pero días después saltó a los titulares por comparar a los países de origen de algunos de ellos con letrinas. Finalmente, tres días después del cierre de gobierno los demócratas llegaron a un acuerdo con Mitch McConnell, líder de la mayoría republicana del Senado, para extender el presupuesto durante tres semanas a cambio de un acuerdo migratorio. Si esta votación no ocurre Trump podría ver clausurar a su gobierno una vez más. Nadie parece saber lo que la Casa Blanca realmente busca. Ni Trump mismo. Schumer aseveró que tratar con el presidente es como negociar con gelatina. Y ese es un factor clave que trasciende los confines de su aparato gubernamental: su falta de credibilidad tiene ramificaciones que van más allá de los escándalos que llenan las páginas de bestsellers como el libro de Michael Wolff, Fuego y furia, y los supuestos contrapesos en el Congreso que moderarían sus posturas solo parecen alentarlo. Ningún país puede llamarse serio cuando no se puede confiar en la palabra de su líder. Las consecuencias para la comunidad internacional y de manera directa para México pueden ser devastadoras. Cuando la política queda reducida a los caprichosos decretos y a los movimientos táctiles y retráctiles de un presidente, aquel país deja de ser un aliado confiable. Al parecer, los negociadores mexicanos que buscan salvar al Tratado de Libre Comercio de América del Norte tendrán que encontrar la fórmula para negociar con gelatina algo que hasta el momento nadie ha logrado."
68492007,['Redacción'],REVISTA,2018-01-06T14:21:02Z,Campo de entrenamiento,Vértigo,IMPRESO,Nota Informativa,Semanario Político,7717.51,Nacional,"Campo de entrenamiento La Agencia Espacial Mexicana ( AEM ) en conjunto con la NASA y la Universidad de Sonora trabajarán conjuntamente para realizar pruebas en el Campo Volcánico de la Reserva de la Biosfera El Pinacate. El objetivo será entrenar a los astronautas para la misión multinacional de la humanidad a Marte, hacia 2030. El director general de aem, Javier Mendieta Jiménez, recordó que por las características únicas de El Pinacate este lugar ya había sido seleccionado por la NASA como campo de entrenamiento para los astronautas del Programa Apolo, de 1965 a 1970, para la primera exploración lunar hecha por el ser humano."
68890879,['Redacción'],REVISTA,2018-01-27T14:19:26Z,Poder o cárcel,Vértigo,IMPRESO,Nota Informativa,Semanario Político,7079.74,Nacional,"Sao Paulo. Durante la revisión de la sentencia de junio de 2017, que condenaba al ex presidente de Brasil, Luiz Inácio Lula da Silva, a nueve años y medio de cárcel por los delitos de corrupción pasiva y blanqueo, los tres jueces encargados de votar al respecto han ratificado por mayoría la pena de cárcel y han aumentado la condena a 12 años y un mes de prisión. El escenario se tornó muy difícil para llegar a las elecciones presidenciales del próximo octubre, para las que era el candidato favorito, y queda bajo la amenaza de ir a la cárcel en las próximas semanas."
68613847,['Redacción'],REVISTA,2018-01-13T13:39:01Z,Turistas varados,Vértigo,IMPRESO,Nota Informativa,Semanario Político,15179.1,Nacional,"Turistas varados Ginebra. Alrededor de 13 mil turistas se encontraban al cierre de esta edición atrapados en la estación de esquí de Zermatt, en el sur de Suiza, debido a que las condiciones climáticas extremas mantienen en el máximo nivel el riesgo de avalancha a través de los Alpes Suizos. Autoridades locales informaron que varios poblados, incluido Zermatt, quedaron aislados del mundo exterior cuando tanto carreteras como líneas ferroviarias fueron cerradas al < elevar a cinco la alerta de riesgo de avalans cha en la región."
68613995,['Redacción'],REVISTA,2018-01-13T13:54:07Z,Créditos tradicionales,Vértigo,IMPRESO,Nota Informativa,Semanario Político,17080.9,Nacional,"Créditos tradicionales El Fondo de Vivienda del ISSSTE liberó los primeros cinco mil créditos tradicionales en 2018, que se suman a los diez mil derechohabientes que ya iniciaron su trámite en 2017 para obtener su casa más rápido. Este año el Fovissste financiará 55 mil 195 créditos hipotecarios, de los que 39 mil son en el esquema tradicional. La inversión total es de 35 mil 150 millones de pesos en beneficio de trabajadores al servicio del Estado y = 3 2 sus familias O & VS/MS RANDES A SECOME ? Qx^a Créditos tradicionales El Fondo de Vivienda del ISSSTE liberó los primeros cinco mil créditos tradicionales en 2018, que se suman a los diez mil derechohabientes que ya iniciaron su trámite en 2017 para obtener su casa más rápido. Este año el Fovissste financiará 55 mil 195 créditos hipotecarios, de los que 39 mil son en el esquema tradicional. La inversión total es de 35 mil 150 millones de pesos en beneficio de trabajadores al servicio del Estado y = 3 2 sus familias"
68895147,['Juan Gabriel Valencia'],REVISTA,2018-01-27T08:09:02Z,Tiempos Modernos // La verdad imposible en las campañas,Vértigo,IMPRESO,Columna Política,Semanario Político,42011.9,Nacional,"Una de las paradojas más dramáticas de las campañas electorales no es que se digan mentiras o que en flagrancia se distorsionen las cosas hasta el punto de que el elector no sabe qué creer y mucho menos qué pensar. Lo grave de una campaña electoral con diferentes matices entre los países desarrollados y economías emergentes es que simplemente decir la verdad, lo que en otra circunstancia es lo que merecería la opinión pública, es un acto suicida. Así de simple. Basta voltear hacia cualquier parte para comprobarlo. ¿Qué hubiera pasado si al comienzo de sus aspiraciones presidenciales Hillary Clinton hubiese dicho que en Irak lo que debía hacer Estados Unidos era retirar inmediatamente sus tropas involucradas en una guerra sin fundamento alguno y que EU no tiene la menor posibilidad de ganar ni de conseguir lo que les prometió a sus ciudadanos, como un Irak democrático y moderno? Esa es la verdad. Y al decir eso no hubiera conseguido ni la candidatura. No es lo que la opinión pública orientada y contextualizada por los medios y las redes sociales le hicieron creer durante más de diez años. Sería como salir a declarar que todo ha sido inútil, con algunos miles de norteamericanos muertos de por medio y que desde el principio no hubo justificación. Señoras y señores: Nos equivocamos todos. Una cosa así no es bien recibida, por no decir que es intolerable. Esos son los dramas de la verdad de las grandes potencias, pero ocurre en diversos países a otra escala. A finales de los sesenta, hace 50 años, el Banco de México encomendó a un grupo de expertos el análisis de la economía mexicana para remediar estructuralmente su sostenibilidad y crecimiento. La conclusión fue unánime e inapelable: México requería de una profunda reforma fiscal: simple, generalizada competitiva a nivel mundial, que estimulara la inversión y el aumento del capital y del ahorro. Nunca se hizo. Nunca fue el momento político oportuno. El sempiterno dilema de los políticos latinoamericanos: todavía no; ya no. Debilidad No es todavía tiempo de comparar las plataformas y programas propuestos por los candidatos de la campaña presidencial en curso, partidarios, ciudadanos, independientes, dependientes. Todos saben perfectamente y si no ellos en lo personal, sus equipos de trabajo que en esencia su oferta electoral es inalcanzable porque tendrían que proponer una reforma fiscal pospuesta por más de 50 años, lo que para el elector es inaceptable. Es una verdad imposible de decir si lo que uno quiere es ganar y posterionnente construir la excusa correspondiente para explicar lo que no se pudo hacer por la debilidad estructural de las finanzas públicas. ¿Qué más se puede hacer? Endeudarse hasta que la tasa de interés, el tipo de cambio y la inflación incendien a la opinión pública que a priorí rechazó el solo enunciado de una refonna fiscal. No hay milagros, pero hay imponderables que pueden ofrecer una salida, no importa qué ideología se tenga. Se llama la reforma energética de Enrique Peña Nieto."
68890246,['Redacción'],REVISTA,2018-01-27T13:29:13Z,Viene Belle and Sebastian,Vértigo,IMPRESO,Nota Informativa,Semanario Político,14243.3,Nacional,Viene Belle Sebastian La banda escocesa Belle Sebastian anunció por medio de su página de internet que el próximo 14 de junio se presentarán en la Ciudad de México como parte de la gira promocional de su disco How to Solve Our Human Problems. Por ahora no se ha determinado el lugar del concierto ni el costo de los boletos.
68614137,['Víctor Sánchez Baños'],REVISTA,2018-01-13T04:39:39Z,"Poder y Dinero // Osorio, el héroe político del peñismo",Vértigo,IMPRESO,Columna Económica,Semanario Político,42721.6,Nacional,"Poder Miguel Ángel Osorio Chong renunció a Gobernación en medio de honores de héroe. Se convierte en el operador electoral de la campaña de José Antonio Meade. La experiencia política del ex gobernador hidalguense está fuera de duda. El reconocimiento que le hizo el presidente como arquitecto del primer y contundente acuerdo político del sexenio, el Pacto por México, no tiene antecedente. Osorio rindió grandes resultados, como la aprobación de las reformas estructurales. El lazo de amistad y lealtad entre ambos, que se fortaleció desde que eran gobernadores de Hidalgo y el Edomex, respectivamente, quedó consolidado. Osorio será pieza clave para un trabajo político que beneficie al pri en el proceso electoral. Una orden presidencial, que llamó la atención, fue acabar con el huachicoleo (el robo de combustible) y establecer mejores relaciones con los 32 gobernadores de los estados. Más cambios Sale del gabinete otro amigo personal de Enrique Peña Nieto, Luis Miranda, quien renunció como secretario de Desarrollo Social para buscar una cuml federal. Tanto Miranda como Osorio se perfilarían como líderes parlamentarios. Eviel Pérez Magaña se convierte en titular de la Sedesol, dependencia estratégica en momentos electorales y que reparte una fuerte cantidad de recursos, sobre todo a los más pobres y, por ende, a 70% de los electores. Una designación en aras de la institucionalidad es la de Roberto Campa Cifrián en la Secretaría del Trabajo. Una larga trayectoria en el sector público y político. Vaya que les dolió a los opositores al pri la designación de Javier Lozano Alarcón como vocero de la campaña presidencial de José Antonio Meade. Preparado y culto, con excelentes lazos con los medios de comunicación, quien fuera integrante del gabinete de Felipe Calderón se convierte en pieza clave en el equipo priista. Dinero En materia de finanzas públicas Chihuahua pasa por momentos complicados. Las decisiones del gobierno estatal generan un clima de desconfianza que frena inversiones sustanciales en la entidad. Airbus, que en América Latina lidera Rafael Alonso, le vendió 80 aviones A320 a Volaris, compañía que preside Enrique Beltranena. Buen negocio que habla de la expansión que tendrá la aerolínea con miras al nuevo aeropuerto de la Ciudad de México, al mando de Federico Patiño, para 2022. La misma apuesta hará Aeromar, bajo el liderazgo de Andrés Fabre, cuando se convierta en una alita de Avianca con nuevos aviones Airbus. Para México las aerolíneas ven un desarrollo armónico de turismo y negocios. Responsabilidad Social Corporativ a GINgroup, que lidera Raúl Beyruti, hizo un llamado a todos los actores involucrados en el desarrollo de capital humano para fortalecer el talento de los trabajadores, lo que es determinante para elevar sus niveles de productividad. De acuerdo con este ranking, que elabora anualmente el Institute for Management Development, con sede en Suiza, México obtuvo una calificación de 39.4 puntos en una escala del cero a 100."
